rep,alp,num_cell,cell_size,sparse_freq,error
0,0.01,8,50,2,71.17193318101869
0,0.01,8,50,4,68.61097262630652
0,0.01,8,50,6,66.95289122853369
0,0.01,8,50,8,66.42257789844724
0,0.01,8,100,2,70.49298666841683
0,0.01,8,100,4,68.77757254045905
0,0.01,8,100,6,66.74923271281119
0,0.01,8,100,8,66.24002849463066
0,0.01,8,200,2,71.25205832737362
0,0.01,8,200,4,68.57940804738608
0,0.01,8,200,6,66.66416218185886
0,0.01,8,200,8,66.20076321280047
0,0.01,14,50,2,66.75805309736668
0,0.01,14,50,4,65.1441196191442
0,0.01,14,50,6,63.263752524039006
0,0.01,14,50,8,62.10501913283063
0,0.01,14,100,2,66.0438990395161
0,0.01,14,100,4,65.26981494286453
0,0.01,14,100,6,62.85111221142693
0,0.01,14,100,8,62.98046759917896
0,0.01,14,200,2,67.46232525624575
0,0.01,14,200,4,64.73901857317479
0,0.01,14,200,6,63.426433481174435
0,0.01,14,200,8,62.43871339033251
0,0.01,20,50,2,60.17132376331915
0,0.01,20,50,4,57.404797364837435
0,0.01,20,50,6,55.090269466730625
0,0.01,20,50,8,54.30175274572014
0,0.01,20,100,2,59.90424233317469
0,0.01,20,100,4,58.01375518670583
0,0.01,20,100,6,56.137464231022285
0,0.01,20,100,8,54.634085067750384
0,0.01,20,200,2,60.5570006969016
0,0.01,20,200,4,57.47016281872186
0,0.01,20,200,6,55.26629688306421
0,0.01,20,200,8,55.096981756550335
0,0.01,26,50,2,52.09845399814262
0,0.01,26,50,4,47.55553298030646
0,0.01,26,50,6,44.986407197958876
0,0.01,26,50,8,44.403086926142386
0,0.01,26,100,2,52.05823806225566
0,0.01,26,100,4,47.64565988410945
0,0.01,26,100,6,44.51245928588136
0,0.01,26,100,8,43.973259819953256
0,0.01,26,200,2,51.559452332102765
0,0.01,26,200,4,47.072018698005934
0,0.01,26,200,6,45.835363992731544
0,0.01,26,200,8,43.902118485761505
0,0.01,32,50,2,42.654285964185384
0,0.01,32,50,4,35.926490171953056
0,0.01,32,50,6,33.082160051297556
0,0.01,32,50,8,33.530045429930496
0,0.01,32,100,2,41.69529841056301
0,0.01,32,100,4,35.15383232789345
0,0.01,32,100,6,33.45182028751344
0,0.01,32,100,8,33.93920568180717
0,0.01,32,200,2,42.05993961970212
0,0.01,32,200,4,35.58418972107513
0,0.01,32,200,6,33.295072652654724
0,0.01,32,200,8,33.57043215539677
0,0.1,8,50,2,46.676182530547635
0,0.1,8,50,4,45.38756452475468
0,0.1,8,50,6,45.135233218062865
0,0.1,8,50,8,45.3117159229711
0,0.1,8,100,2,46.89759904454148
0,0.1,8,100,4,45.67523099593458
0,0.1,8,100,6,44.89869531889664
0,0.1,8,100,8,44.56021129407389
0,0.1,8,200,2,46.89251825158096
0,0.1,8,200,4,45.7468341086368
0,0.1,8,200,6,45.348608449428305
0,0.1,8,200,8,44.9198576737932
0,0.1,14,50,2,38.5035443346527
0,0.1,14,50,4,37.109906657375745
0,0.1,14,50,6,36.90422777389998
0,0.1,14,50,8,36.77734421675849
0,0.1,14,100,2,38.25630564854636
0,0.1,14,100,4,37.11437065469706
0,0.1,14,100,6,37.138744391692285
0,0.1,14,100,8,37.00498531881948
0,0.1,14,200,2,38.23309466202419
0,0.1,14,200,4,37.15633218433733
0,0.1,14,200,6,36.95359583226079
0,0.1,14,200,8,36.745522362544925
0,0.1,20,50,2,31.67880557110873
0,0.1,20,50,4,30.95816496593203
0,0.1,20,50,6,30.97080825140211
0,0.1,20,50,8,31.1441782499906
0,0.1,20,100,2,31.816865812557296
0,0.1,20,100,4,30.924664665013825
0,0.1,20,100,6,31.256426951413417
0,0.1,20,100,8,31.173871627001944
0,0.1,20,200,2,31.705766939092403
0,0.1,20,200,4,30.900134030147097
0,0.1,20,200,6,30.874070558959968
0,0.1,20,200,8,31.093346306562033
0,0.1,26,50,2,26.65368046064912
0,0.1,26,50,4,26.553518127569685
0,0.1,26,50,6,27.109504316829536
0,0.1,26,50,8,27.63608325241078
0,0.1,26,100,2,26.65245839529974
0,0.1,26,100,4,26.594590278018273
0,0.1,26,100,6,27.160450846395083
0,0.1,26,100,8,27.603666327398532
0,0.1,26,200,2,26.668744181133285
0,0.1,26,200,4,26.649866446613096
