rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.01,128,50,2,"(32, 32)",137.16236084722664
0,0.01,128,50,4,"(32, 32)",155.74435316598422
0,0.01,128,50,6,"(32, 32)",162.1407766437952
0,0.01,128,50,8,"(32, 32)",163.9670078889528
0,0.01,128,100,2,"(32, 32)",136.06373875290203
0,0.01,128,100,4,"(32, 32)",155.2367101438962
0,0.01,128,100,6,"(32, 32)",160.36923112253336
0,0.01,128,100,8,"(32, 32)",161.59678503936456
0,0.01,128,200,2,"(32, 32)",135.1769610074177
0,0.01,128,200,4,"(32, 32)",155.09055471577997
0,0.01,128,200,6,"(32, 32)",159.34143951709984
0,0.01,128,200,8,"(32, 32)",162.40909349463703
0,0.01,224,50,2,"(32, 32)",119.81375165990968
0,0.01,224,50,4,"(32, 32)",135.74799851264552
0,0.01,224,50,6,"(32, 32)",138.78184196141484
0,0.01,224,50,8,"(32, 32)",138.1919487867244
0,0.01,224,100,2,"(32, 32)",116.9663172271921
0,0.01,224,100,4,"(32, 32)",134.88378696614402
0,0.01,224,100,6,"(32, 32)",138.32032047025004
0,0.01,224,100,8,"(32, 32)",137.19109182326372
0,0.01,224,200,2,"(32, 32)",117.07819580173732
0,0.01,224,200,4,"(32, 32)",133.9732185047436
0,0.01,224,200,6,"(32, 32)",139.2269552670639
0,0.01,224,200,8,"(32, 32)",139.92796201176122
0,0.01,320,50,2,"(32, 32)",95.14824435628464
0,0.01,320,50,4,"(32, 32)",99.03372952940414
0,0.01,320,50,6,"(32, 32)",95.65046839422389
0,0.01,320,50,8,"(32, 32)",88.97877630852099
0,0.01,320,100,2,"(32, 32)",95.64636602123913
0,0.01,320,100,4,"(32, 32)",95.18325136938515
0,0.01,320,100,6,"(32, 32)",95.81307861790437
0,0.01,320,100,8,"(32, 32)",89.64078585946217
0,0.01,320,200,2,"(32, 32)",95.34266580460971
0,0.01,320,200,4,"(32, 32)",100.30091909898348
0,0.01,320,200,6,"(32, 32)",95.94625377170016
0,0.01,320,200,8,"(32, 32)",90.75618243635606
0,0.01,416,50,2,"(32, 32)",61.49770115223233
0,0.01,416,50,4,"(32, 32)",48.49007263045989
0,0.01,416,50,6,"(32, 32)",46.2419695506669
0,0.01,416,50,8,"(32, 32)",42.31818197351125
0,0.01,416,100,2,"(32, 32)",62.265757086983484
0,0.01,416,100,4,"(32, 32)",52.13258924969526
0,0.01,416,100,6,"(32, 32)",44.84739452266086
0,0.01,416,100,8,"(32, 32)",43.57354053497854
0,0.01,416,200,2,"(32, 32)",63.32561978331647
0,0.01,416,200,4,"(32, 32)",52.70767900666402
0,0.01,416,200,6,"(32, 32)",44.89949484967896
0,0.01,416,200,8,"(32, 32)",41.45814048428307
0,0.01,512,50,2,"(32, 32)",32.27831178866499
0,0.01,512,50,4,"(32, 32)",24.144982872358682
0,0.01,512,50,6,"(32, 32)",24.329527317759695
0,0.01,512,50,8,"(32, 32)",26.049821656068747
0,0.01,512,100,2,"(32, 32)",31.93420853049272
0,0.01,512,100,4,"(32, 32)",22.505456898493772
0,0.01,512,100,6,"(32, 32)",25.788013435759076
0,0.01,512,100,8,"(32, 32)",26.14109685988409
0,0.01,512,200,2,"(32, 32)",31.222150248953273
0,0.01,512,200,4,"(32, 32)",26.65303376126626
0,0.01,512,200,6,"(32, 32)",25.813122684089528
0,0.01,512,200,8,"(32, 32)",25.058287383040465
0,0.1,128,50,2,"(32, 32)",50.779528929669006
0,0.1,128,50,4,"(32, 32)",55.12493903401089
0,0.1,128,50,6,"(32, 32)",58.56909390093018
0,0.1,128,50,8,"(32, 32)",60.700166898746204
0,0.1,128,100,2,"(32, 32)",50.64248054021557
0,0.1,128,100,4,"(32, 32)",56.73890127135411
0,0.1,128,100,6,"(32, 32)",60.53099946229651
0,0.1,128,100,8,"(32, 32)",60.91504381403834
0,0.1,128,200,2,"(32, 32)",50.55415084806341
0,0.1,128,200,4,"(32, 32)",55.06521208337537
0,0.1,128,200,6,"(32, 32)",60.04450298372043
0,0.1,128,200,8,"(32, 32)",61.88597043589114
0,0.1,224,50,2,"(32, 32)",33.76121244323443
0,0.1,224,50,4,"(32, 32)",32.67452891447274
0,0.1,224,50,6,"(32, 32)",32.94352669926974
0,0.1,224,50,8,"(32, 32)",33.56344182630535
0,0.1,224,100,2,"(32, 32)",33.74845707510124
0,0.1,224,100,4,"(32, 32)",32.942568365510866
0,0.1,224,100,6,"(32, 32)",33.083978436872215
0,0.1,224,100,8,"(32, 32)",33.609633327255715
0,0.1,224,200,2,"(32, 32)",33.76103866335303
0,0.1,224,200,4,"(32, 32)",32.63957929237227
0,0.1,224,200,6,"(32, 32)",33.21087903484474
0,0.1,224,200,8,"(32, 32)",33.39079362454497
0,0.1,320,50,2,"(32, 32)",27.9551546778977
0,0.1,320,50,4,"(32, 32)",28.637879851414162
0,0.1,320,50,6,"(32, 32)",29.987750286347392
0,0.1,320,50,8,"(32, 32)",30.991875906806616
0,0.1,320,100,2,"(32, 32)",27.78414740541625
0,0.1,320,100,4,"(32, 32)",28.68166217121254
0,0.1,320,100,6,"(32, 32)",29.938625561414668
0,0.1,320,100,8,"(32, 32)",30.92161235341178
0,0.1,320,200,2,"(32, 32)",27.919511777221643
0,0.1,320,200,4,"(32, 32)",28.646320515506847
0,0.1,320,200,6,"(32, 32)",29.92713650093353
0,0.1,320,200,8,"(32, 32)",30.840523316214476
0,0.1,416,50,2,"(32, 32)",23.98169685844196
0,0.1,416,50,4,"(32, 32)",26.547265420953746
0,0.1,416,50,6,"(32, 32)",28.554279104252906
0,0.1,416,50,8,"(32, 32)",29.781315710389535
0,0.1,416,100,2,"(32, 32)",24.003229718649727
0,0.1,416,100,4,"(32, 32)",26.48023984241488
