rep,alp,num_cell,cell_size,sparse_freq,error,filter_dim
0,0.01,8,50,2,71.17193318101869,
0,0.01,8,50,4,68.61097262630652,
0,0.01,8,50,6,66.95289122853369,
0,0.01,8,50,8,66.42257789844724,
0,0.01,8,100,2,70.49298666841683,
0,0.01,8,100,4,68.77757254045905,
0,0.01,8,100,6,66.74923271281119,
0,0.01,8,100,8,66.24002849463066,
0,0.01,8,200,2,71.25205832737362,
0,0.01,8,200,4,68.57940804738608,
0,0.01,8,200,6,66.66416218185886,
0,0.01,8,200,8,66.20076321280047,
0,0.01,14,50,2,66.75805309736668,
0,0.01,14,50,4,65.1441196191442,
0,0.01,14,50,6,63.263752524039006,
0,0.01,14,50,8,62.10501913283063,
0,0.01,14,100,2,66.0438990395161,
0,0.01,14,100,4,65.26981494286453,
0,0.01,14,100,6,62.85111221142693,
0,0.01,14,100,8,62.98046759917896,
0,0.01,14,200,2,67.46232525624575,
0,0.01,14,200,4,64.73901857317479,
0,0.01,14,200,6,63.42643348117444,
0,0.01,14,200,8,62.43871339033251,
0,0.01,20,50,2,60.17132376331915,
0,0.01,20,50,4,57.40479736483744,
0,0.01,20,50,6,55.09026946673063,
0,0.01,20,50,8,54.30175274572014,
0,0.01,20,100,2,59.90424233317469,
0,0.01,20,100,4,58.01375518670583,
0,0.01,20,100,6,56.137464231022285,
0,0.01,20,100,8,54.634085067750384,
0,0.01,20,200,2,60.5570006969016,
0,0.01,20,200,4,57.47016281872186,
0,0.01,20,200,6,55.26629688306421,
0,0.01,20,200,8,55.096981756550335,
0,0.01,26,50,2,52.09845399814262,
0,0.01,26,50,4,47.55553298030646,
0,0.01,26,50,6,44.98640719795888,
0,0.01,26,50,8,44.40308692614239,
0,0.01,26,100,2,52.05823806225566,
0,0.01,26,100,4,47.64565988410945,
0,0.01,26,100,6,44.51245928588136,
0,0.01,26,100,8,43.973259819953256,
0,0.01,26,200,2,51.559452332102765,
0,0.01,26,200,4,47.072018698005934,
0,0.01,26,200,6,45.83536399273154,
0,0.01,26,200,8,43.90211848576151,
0,0.01,32,50,2,42.65428596418538,
0,0.01,32,50,2,103.415893271047,
0,0.01,32,50,4,35.926490171953056,
0,0.01,32,50,4,110.57549815435488,
0,0.01,32,50,6,33.08216005129756,
0,0.01,32,50,6,108.68586218171887,
0,0.01,32,50,8,33.530045429930496,
0,0.01,32,50,8,106.75010983106336,
0,0.01,32,100,2,41.69529841056301,
0,0.01,32,100,2,102.36314601063144,
0,0.01,32,100,4,35.15383232789345,
0,0.01,32,100,4,111.05537744630472,
0,0.01,32,100,6,33.45182028751344,
0,0.01,32,100,6,110.16214741388876,
0,0.01,32,100,8,33.93920568180717,
0,0.01,32,100,8,106.4482451753406,
0,0.01,32,200,2,42.05993961970212,
0,0.01,32,200,2,102.88342093097272,
0,0.01,32,200,4,35.58418972107513,
0,0.01,32,200,4,110.292547134288,
0,0.01,32,200,6,33.295072652654724,
0,0.01,32,200,6,107.52014673983687,
0,0.01,32,200,8,33.57043215539677,
0,0.01,32,200,8,107.22744919373818,
0,0.01,56,50,2,93.20881665894169,
0,0.01,56,50,4,100.33319258653606,
0,0.01,56,50,6,97.93698727608016,
0,0.01,56,50,8,95.61356402062074,
0,0.01,56,100,2,92.4433696500438,
0,0.01,56,100,4,99.6194581485112,
0,0.01,56,100,6,97.37382998271625,
0,0.01,56,100,8,95.08313420436735,
0,0.01,56,200,2,92.92782406953047,
0,0.01,56,200,4,99.8253335459482,
0,0.01,56,200,6,96.80221233046667,
0,0.01,56,200,8,95.2603725883058,
0,0.01,80,50,2,80.57141828633546,
0,0.01,80,50,4,79.76543458921476,
0,0.01,80,50,6,74.91374457420447,
0,0.01,80,50,8,71.8551320090132,
0,0.01,80,100,2,79.14030060320361,
0,0.01,80,100,4,80.17138200666673,
0,0.01,80,100,6,75.10570675720987,
0,0.01,80,100,8,71.43310399851593,
0,0.01,80,200,2,79.14984519398745,
0,0.01,80,200,4,79.69457588644421,
0,0.01,80,200,6,74.92668764888577,
0,0.01,80,200,8,72.12618570658856,
0,0.01,104,50,2,61.971768873650056,
0,0.01,104,50,4,54.20911635415613,
0,0.01,104,50,6,48.0016404110028,
0,0.01,104,50,8,43.24605471747346,
