rep,alp,num_cell,error
0,0.01,8,44.33292085173655
0,0.01,14,41.46334985385908
0,0.01,20,41.05325148200655
0,0.01,26,39.1026967984514
0,0.01,32,38.81081289657396
0,0.1,8,40.59657062836031
0,0.1,14,39.70214717641201
0,0.1,20,38.63923219853855
0,0.1,26,37.98438243167605
0,0.1,32,37.69806352291435
0,1.0,8,49.160227057520025
0,1.0,14,41.26518141231136
0,1.0,20,37.43124597243362
0,1.0,26,35.91062907182876
0,1.0,32,34.20894043941655
0,10.0,8,94.29073999353835
0,10.0,14,60.99708656482679
0,10.0,20,44.7154631509717
0,10.0,26,40.504342541003616
0,10.0,32,37.18210404941802
1,0.01,8,43.73730655179303
1,0.01,14,41.87917254711704
1,0.01,20,40.83065125875848
1,0.01,26,39.28945164725753
1,0.01,32,38.89641018265897
1,0.1,8,41.19577535987423
1,0.1,14,39.14160793387479
1,0.1,20,38.49358918951838
1,0.1,26,38.046116953353746
1,0.1,32,37.61991163552679
1,1.0,8,48.808294410596694
1,1.0,14,41.72716304230473
1,1.0,20,38.40768253643826
1,1.0,26,35.88200522689309
1,1.0,32,34.359232056976566
1,10.0,8,90.6832879716334
1,10.0,14,59.73213056278693
1,10.0,20,46.64936143084402
1,10.0,26,39.630567285913536
1,10.0,32,37.780436694002766
2,0.01,8,43.594852950387036
2,0.01,14,41.552563068830196
2,0.01,20,40.126158320264956
2,0.01,26,39.369772573157675
2,0.01,32,39.40089596731708
2,0.1,8,41.01598786111811
2,0.1,14,39.43588446982312
2,0.1,20,38.37882086902081
2,0.1,26,38.341906564635394
2,0.1,32,37.28595677710877
2,1.0,8,50.52541131215994
2,1.0,14,42.0348780544559
2,1.0,20,38.34740467266845
2,1.0,26,35.51544304871177
2,1.0,32,34.84861709062014
2,10.0,8,89.95493998509569
2,10.0,14,59.89238711142702
2,10.0,20,44.737109496082255
2,10.0,26,40.76612478807394
2,10.0,32,37.309669630090454
3,0.01,8,43.8037469367293
3,0.01,14,41.17912543080946
3,0.01,20,40.30679403923656
3,0.01,26,39.65917217289041
3,0.01,32,38.84658569886142
3,0.1,8,40.81872870918248
3,0.1,14,39.04625541131323
3,0.1,20,38.8133653922054
3,0.1,26,38.02843390314322
3,0.1,32,37.280076090771864
3,1.0,8,49.57831897330968
3,1.0,14,41.09775459300264
3,1.0,20,37.5890699408234
3,1.0,26,35.735912348308204
3,1.0,32,34.45130818046623
3,10.0,8,91.21010884008615
3,10.0,14,63.40669384947187
3,10.0,20,44.47681826154945
3,10.0,26,40.41109848730826
3,10.0,32,37.75279124468993
4,0.01,8,44.45730218284403
4,0.01,14,41.86395268259084
4,0.01,20,40.05279328205243
4,0.01,26,39.94745532204202
4,0.01,32,38.681998260701555
4,0.1,8,41.4126717823817
4,0.1,14,39.68930905041268
4,0.1,20,38.83097102520742
4,0.1,26,37.962114823403006
4,0.1,32,37.374927329308534
4,1.0,8,49.02831703492233
4,1.0,14,41.667973235943556
4,1.0,20,37.89203912672038
4,1.0,26,35.53087696963306
4,1.0,32,34.65571322769261
4,10.0,8,91.47150723778711
4,10.0,14,63.40808722483825
4,10.0,20,45.1513924385034
4,10.0,26,40.6125227327245
4,10.0,32,37.31733669709111
5,0.01,8,43.927980566537
5,0.01,14,41.71478248046582
5,0.01,20,40.35319374236369
5,0.01,26,39.83602454592495
5,0.01,32,38.93804446309685
5,0.1,8,41.33049005040221
5,0.1,14,39.8818333429939
5,0.1,20,38.86614447799617
5,0.1,26,37.78164200622794
5,0.1,32,37.18085780729618
5,1.0,8,49.70298942156483
5,1.0,14,40.39423443661502
5,1.0,20,37.62730917703977
5,1.0,26,36.174929001744424
5,1.0,32,34.75270124955217
5,10.0,8,92.43219075873
5,10.0,14,63.085091664221295
5,10.0,20,47.171513680195375
5,10.0,26,40.66002940644544
5,10.0,32,37.79208120324102
6,0.01,8,43.43111244275395
6,0.01,14,41.95488477599936
6,0.01,20,40.4977256701453
6,0.01,26,39.58358954631136
6,0.01,32,39.31710507055613
6,0.1,8,40.47747223285832
6,0.1,14,39.27429137583173
6,0.1,20,38.894538164497355
6,0.1,26,37.89665237780366
6,0.1,32,37.053198793937305
6,1.0,8,48.3030357417765
6,1.0,14,41.05024719907276
6,1.0,20,37.702896692918245
6,1.0,26,36.108447338223314
6,1.0,32,34.19580144709123
6,10.0,8,92.30771167400353
6,10.0,14,59.74768891912689
6,10.0,20,45.16895096035965
6,10.0,26,40.6078198536213
6,10.0,32,36.978508042751955
7,0.01,8,43.944912802001745
7,0.01,14,40.95856121590993
7,0.01,20,40.24020190664188
7,0.01,26,39.470338380192835
7,0.01,32,39.0672019631055
7,0.1,8,40.94432502520978
7,0.1,14,39.97719944574535
7,0.1,20,38.88201370016582
7,0.1,26,38.129374268782676
7,0.1,32,37.241288363320095
7,1.0,8,50.4971249961177
7,1.0,14,41.0011145277429
