rep,alp,num_cell,error
0,0.01,32,62.088609717850474
0,0.01,56,56.14662491258675
0,0.01,80,51.009679586319926
0,0.01,104,46.41864937200871
0,0.01,128,41.97590949940218
0,0.1,32,52.78853342362189
0,0.1,56,46.42215981615968
0,0.1,80,41.56112315256455
0,0.1,104,36.924493968804704
0,0.1,128,32.6477018566918
0,1.0,32,55.26079384845529
0,1.0,56,47.229607394797895
0,1.0,80,41.58420027222206
0,1.0,104,36.459732679850816
0,1.0,128,31.88102575453966
0,10.0,32,58.13291667226043
0,10.0,56,48.249909949342175
0,10.0,80,42.17123289350864
0,10.0,104,37.109689143407174
0,10.0,128,33.26351000296398
1,0.01,32,62.57459562066577
1,0.01,56,56.24919789060269
1,0.01,80,51.039107531275576
1,0.01,104,46.45008135440465
1,0.01,128,41.759583749487014
1,0.1,32,52.779956573665054
1,0.1,56,46.50116240166272
1,0.1,80,41.525232434526544
1,0.1,104,36.91680188868251
1,0.1,128,32.80580812063245
1,1.0,32,55.48132769617998
1,1.0,56,47.24515302714243
1,1.0,80,41.49461918153374
1,1.0,104,36.469090425002406
1,1.0,128,31.819532115572585
1,10.0,32,58.031535684583886
1,10.0,56,48.33016786842547
1,10.0,80,42.13490491382611
1,10.0,104,37.19935636886494
1,10.0,128,33.23946810401223
2,0.01,32,62.77275748795493
2,0.01,56,56.42157653374697
2,0.01,80,51.12024161059335
2,0.01,104,46.42639610644066
2,0.01,128,41.88643009705691
2,0.1,32,52.79982469125024
2,0.1,56,46.48957039145323
2,0.1,80,41.436532079746954
2,0.1,104,37.00295374653242
2,0.1,128,32.716770640548255
2,1.0,32,55.04697832481698
2,1.0,56,47.19427041499489
2,1.0,80,41.47827945043301
2,1.0,104,36.477993379667694
2,1.0,128,31.863404681897432
2,10.0,32,57.56425829592874
2,10.0,56,48.43879062040647
2,10.0,80,42.182569382370325
2,10.0,104,37.182907462035864
2,10.0,128,33.36372630844484
3,0.01,32,62.449270946929225
3,0.01,56,56.1802260259398
3,0.01,80,51.22128645252919
3,0.01,104,46.58548188870363
3,0.01,128,41.8591102173089
3,0.1,32,52.97576335736842
3,0.1,56,46.473156389807905
3,0.1,80,41.493398669893395
3,0.1,104,36.91899505115433
3,0.1,128,32.75561615058243
3,1.0,32,55.35362251233461
3,1.0,56,47.43118465236616
3,1.0,80,41.65436052299728
3,1.0,104,36.522279863421986
3,1.0,128,31.858701540726422
3,10.0,32,57.75039111248529
3,10.0,56,48.317338392771305
3,10.0,80,42.246004130091606
3,10.0,104,37.09715907075103
3,10.0,128,33.193929160856904
4,0.01,32,62.26231547406616
4,0.01,56,56.27536889950514
4,0.01,80,51.09384612561438
4,0.01,104,46.54860972654678
4,0.01,128,41.881175664742685
4,0.1,32,53.04077523264789
4,0.1,56,46.569947700626756
4,0.1,80,41.478779112561895
4,0.1,104,37.032972490513835
4,0.1,128,32.77749440632833
4,1.0,32,55.78377703758157
4,1.0,56,47.433951505241595
4,1.0,80,41.335495405152756
4,1.0,104,36.46839717638748
4,1.0,128,31.81407536351405
4,10.0,32,58.067953717975286
4,10.0,56,48.47820523757703
4,10.0,80,42.0742632669375
4,10.0,104,37.2656102082485
4,10.0,128,33.33761377190027
5,0.01,32,62.38847040496694
5,0.01,56,56.21046261987775
5,0.01,80,50.990641726405585
5,0.01,104,46.432978003010184
5,0.01,128,41.94997269421531
5,0.1,32,52.95722264351432
5,0.1,56,46.57547803419488
5,0.1,80,41.621957341243096
5,0.1,104,37.08570302756943
5,0.1,128,32.657253998284915
5,1.0,32,55.617706917985586
5,1.0,56,47.25405539411602
5,1.0,80,41.57385420054747
5,1.0,104,36.59716504691908
5,1.0,128,31.700792703434452
