rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",63.203930055373775
0,0.01,224,"(32, 32)",56.758656148291685
0,0.01,320,"(32, 32)",51.45135196581434
0,0.01,416,"(32, 32)",46.878145442968616
0,0.01,512,"(32, 32)",42.25296177160721
0,0.1,128,"(32, 32)",57.41341153215846
0,0.1,224,"(32, 32)",49.65502932028231
0,0.1,320,"(32, 32)",44.01648797708275
0,0.1,416,"(32, 32)",39.17321843208547
0,0.1,512,"(32, 32)",34.61937235465462
0,1.0,128,"(32, 32)",51.214820175741565
0,1.0,224,"(32, 32)",45.3516497680981
0,1.0,320,"(32, 32)",40.406246648494765
0,1.0,416,"(32, 32)",35.73400996146424
0,1.0,512,"(32, 32)",31.132266441160812
0,10.0,128,"(32, 32)",53.42236877730908
0,10.0,224,"(32, 32)",46.56517547498991
0,10.0,320,"(32, 32)",41.095354845162895
0,10.0,416,"(32, 32)",36.30847087837265
0,10.0,512,"(32, 32)",32.61120740698295
1,0.01,128,"(32, 32)",62.77589207558113
1,0.01,224,"(32, 32)",56.61336028864023
1,0.01,320,"(32, 32)",51.59426463729408
1,0.01,416,"(32, 32)",46.71088204872628
1,0.01,512,"(32, 32)",42.24835563032953
1,0.1,128,"(32, 32)",57.32806700908632
1,0.1,224,"(32, 32)",49.741306024514614
1,0.1,320,"(32, 32)",44.092781905179166
1,0.1,416,"(32, 32)",39.08600669670194
1,0.1,512,"(32, 32)",34.44124531673158
1,1.0,128,"(32, 32)",51.496006746008106
1,1.0,224,"(32, 32)",45.452462315769054
1,1.0,320,"(32, 32)",40.49975430449381
1,1.0,416,"(32, 32)",35.73017381559085
1,1.0,512,"(32, 32)",31.09008951541729
1,10.0,128,"(32, 32)",53.51210170313369
1,10.0,224,"(32, 32)",46.420809430219315
1,10.0,320,"(32, 32)",41.155885548523955
1,10.0,416,"(32, 32)",36.3681231942765
1,10.0,512,"(32, 32)",32.519568494254194
2,0.01,128,"(32, 32)",63.12518141314433
2,0.01,224,"(32, 32)",56.606425491470375
2,0.01,320,"(32, 32)",51.574587021402536
2,0.01,416,"(32, 32)",46.83074070190136
2,0.01,512,"(32, 32)",42.204006057349794
2,0.1,128,"(32, 32)",57.2770491088207
2,0.1,224,"(32, 32)",49.93260995844262
2,0.1,320,"(32, 32)",43.76765979202742
2,0.1,416,"(32, 32)",39.24996253333764
2,0.1,512,"(32, 32)",34.70952708254881
2,1.0,128,"(32, 32)",51.64114223573228
2,1.0,224,"(32, 32)",45.61529303979582
2,1.0,320,"(32, 32)",40.36876344493046
2,1.0,416,"(32, 32)",35.7707786729973
2,1.0,512,"(32, 32)",31.136241736423393
2,10.0,128,"(32, 32)",53.56549993279758
2,10.0,224,"(32, 32)",46.45040894852914
2,10.0,320,"(32, 32)",41.052889879472005
2,10.0,416,"(32, 32)",36.36413537810125
2,10.0,512,"(32, 32)",32.47168237480159
3,0.01,128,"(32, 32)",63.103049119650485
3,0.01,224,"(32, 32)",56.58112661621502
3,0.01,320,"(32, 32)",51.52717506670849
3,0.01,416,"(32, 32)",46.986950381617135
3,0.01,512,"(32, 32)",42.178297290900915
3,0.1,128,"(32, 32)",57.51693628749624
3,0.1,224,"(32, 32)",49.695119098490295
3,0.1,320,"(32, 32)",44.08626886027285
3,0.1,416,"(32, 32)",39.299309826874214
3,0.1,512,"(32, 32)",34.514225224664784
3,1.0,128,"(32, 32)",51.479099847412385
3,1.0,224,"(32, 32)",45.63290909448506
3,1.0,320,"(32, 32)",40.22504191470526
3,1.0,416,"(32, 32)",35.7315000137302
3,1.0,512,"(32, 32)",31.050305619018047
3,10.0,128,"(32, 32)",53.57624873683242
3,10.0,224,"(32, 32)",46.64943310555686
3,10.0,320,"(32, 32)",40.96416489049644
3,10.0,416,"(32, 32)",36.23976401144837
3,10.0,512,"(32, 32)",32.65062032113228
4,0.01,128,"(32, 32)",63.14588495107882
4,0.01,224,"(32, 32)",56.81304360644767
4,0.01,320,"(32, 32)",51.490389214172794
4,0.01,416,"(32, 32)",46.86928322073258
4,0.01,512,"(32, 32)",42.18433391982475
4,0.1,128,"(32, 32)",57.288562097760874
4,0.1,224,"(32, 32)",49.59792525197538
4,0.1,320,"(32, 32)",43.87860505598299
4,0.1,416,"(32, 32)",39.10832639074084
4,0.1,512,"(32, 32)",34.618660632250744
4,1.0,128,"(32, 32)",51.327998953422096
4,1.0,224,"(32, 32)",45.44558408832108
4,1.0,320,"(32, 32)",40.39042236749522
4,1.0,416,"(32, 32)",35.591387823559664
4,1.0,512,"(32, 32)",31.133178126773977
4,10.0,128,"(32, 32)",53.49763230405522
4,10.0,224,"(32, 32)",46.49336552205205
4,10.0,320,"(32, 32)",41.001583766586485
4,10.0,416,"(32, 32)",36.446475982902186
4,10.0,512,"(32, 32)",32.59302067146398
5,0.01,128,"(32, 32)",63.233952774662924
5,0.01,224,"(32, 32)",56.99575753067382
5,0.01,320,"(32, 32)",51.416581972486256
5,0.01,416,"(32, 32)",46.77207804880666
5,0.01,512,"(32, 32)",42.37122825558304
5,0.1,128,"(32, 32)",57.363688265973884
5,0.1,224,"(32, 32)",49.687920065969536
5,0.1,320,"(32, 32)",43.93860903733461
5,0.1,416,"(32, 32)",39.23076440140822
5,0.1,512,"(32, 32)",34.58926707152683
5,1.0,128,"(32, 32)",51.467737073259194
5,1.0,224,"(32, 32)",45.45151187241231
5,1.0,320,"(32, 32)",40.31302825818188
