rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",63.1200193045409
0,0.01,224,"(32, 32)",56.6281753896002
0,0.01,320,"(32, 32)",51.536866963986306
0,0.01,416,"(32, 32)",46.90647173479039
0,0.01,512,"(32, 32)",42.24581956214478
0,0.1,128,"(32, 32)",57.51388153360264
0,0.1,224,"(32, 32)",49.530221903146185
0,0.1,320,"(32, 32)",44.06172445710437
0,0.1,416,"(32, 32)",39.2890141961481
0,0.1,512,"(32, 32)",34.690447103038906
0,1.0,128,"(32, 32)",51.495858924073936
0,1.0,224,"(32, 32)",45.436103474014665
0,1.0,320,"(32, 32)",40.350986012036365
0,1.0,416,"(32, 32)",35.683598827910835
0,1.0,512,"(32, 32)",31.138691537326007
0,10.0,128,"(32, 32)",53.5610798633023
0,10.0,224,"(32, 32)",46.58475993547514
0,10.0,320,"(32, 32)",41.06994361704525
0,10.0,416,"(32, 32)",36.460434620202925
0,10.0,512,"(32, 32)",32.591439008848326
1,0.01,128,"(32, 32)",63.28114547155719
1,0.01,224,"(32, 32)",56.64121484067878
1,0.01,320,"(32, 32)",51.57007109572958
1,0.01,416,"(32, 32)",46.76169346101354
1,0.01,512,"(32, 32)",42.2043706772931
1,0.1,128,"(32, 32)",57.43419583751012
1,0.1,224,"(32, 32)",49.646301348432246
1,0.1,320,"(32, 32)",44.121099542800636
1,0.1,416,"(32, 32)",39.24761110070034
1,0.1,512,"(32, 32)",34.7406513070922
1,1.0,128,"(32, 32)",51.311237129162045
1,1.0,224,"(32, 32)",45.538975926119136
1,1.0,320,"(32, 32)",40.30726804862797
1,1.0,416,"(32, 32)",35.62466944490969
1,1.0,512,"(32, 32)",31.055227798464173
1,10.0,128,"(32, 32)",53.33879233476057
1,10.0,224,"(32, 32)",46.51488355123194
1,10.0,320,"(32, 32)",41.13205962184913
1,10.0,416,"(32, 32)",36.39556256378952
1,10.0,512,"(32, 32)",32.60276100776727
2,0.01,128,"(32, 32)",62.877709241252504
2,0.01,224,"(32, 32)",56.500091012526944
2,0.01,320,"(32, 32)",51.56209146973577
2,0.01,416,"(32, 32)",47.142622468207385
2,0.01,512,"(32, 32)",42.2318020515666
2,0.1,128,"(32, 32)",57.51790751369018
2,0.1,224,"(32, 32)",49.74066588283938
2,0.1,320,"(32, 32)",44.08305431390641
2,0.1,416,"(32, 32)",39.09709683735634
2,0.1,512,"(32, 32)",34.67802038480337
2,1.0,128,"(32, 32)",51.526469900162134
2,1.0,224,"(32, 32)",45.352948549892425
2,1.0,320,"(32, 32)",40.32689146086319
2,1.0,416,"(32, 32)",35.65278152593271
2,1.0,512,"(32, 32)",31.135472324526216
