rep,alp,num_cell,error,filter_dim
0,0.01,8,60.12852686572316,
0,0.01,14,54.824850954896014,
0,0.01,20,50.33075355503799,
0,0.01,26,46.63715165334562,
0,0.01,32,61.548326872730826,
0,0.01,32,43.45930910462754,
0,0.01,56,55.94692330717626,
0,0.01,80,51.41548121161014,
0,0.01,104,47.88257178446642,
0,0.01,128,63.21945858311727,"(32, 32)"
0,0.01,128,62.823889554733874,"(32, 32)"
0,0.01,128,44.55997069297936,
0,0.01,224,57.05183356077598,"(32, 32)"
0,0.01,224,57.210642550160166,"(32, 32)"
0,0.01,320,52.56959687175458,"(32, 32)"
0,0.01,320,52.342025865086434,"(32, 32)"
0,0.01,416,48.59215838901454,"(32, 32)"
0,0.01,416,48.36177367145384,"(32, 32)"
0,0.01,512,45.09179662120457,"(32, 32)"
0,0.01,512,45.104666907845306,"(32, 32)"
0,0.1,8,52.82979294299668,
0,0.1,14,47.13427906103752,
0,0.1,20,42.68659152269241,
0,0.1,26,39.45333858621022,
0,0.1,32,53.05617838699805,
0,0.1,32,36.354164002572354,
0,0.1,56,47.327844749268266,
0,0.1,80,43.440363332658585,
0,0.1,104,40.14160359378796,
0,0.1,128,57.017225239387294,"(32, 32)"
0,0.1,128,56.90144484550978,"(32, 32)"
0,0.1,128,37.33679032214819,
0,0.1,224,50.46851882173011,"(32, 32)"
0,0.1,224,50.67633833094179,"(32, 32)"
0,0.1,320,45.95984319084116,"(32, 32)"
0,0.1,320,46.00755811877799,"(32, 32)"
0,0.1,416,42.258848539047904,"(32, 32)"
0,0.1,416,42.27579681349389,"(32, 32)"
0,0.1,512,39.30438119476651,"(32, 32)"
0,0.1,512,39.26744454870342,"(32, 32)"
0,1.0,8,68.78449837459227,
0,1.0,14,55.49064529898929,
0,1.0,20,48.63676777025981,
0,1.0,26,43.7920648694044,
0,1.0,32,55.64744756145587,
0,1.0,32,39.91927187918765,
0,1.0,56,48.754946413719786,
0,1.0,80,44.23085129210345,
0,1.0,104,40.24671856316412,
0,1.0,128,52.30274801383369,"(32, 32)"
0,1.0,128,52.07727434646454,"(32, 32)"
0,1.0,128,37.22599864104384,
0,1.0,224,46.86517906559301,"(32, 32)"
0,1.0,224,47.15081286574121,"(32, 32)"
0,1.0,320,42.78293697132461,"(32, 32)"
0,1.0,320,42.81919120234978,"(32, 32)"
0,1.0,416,39.4921966281054,"(32, 32)"
0,1.0,416,39.2497579968032,"(32, 32)"
0,1.0,512,36.15820085674586,"(32, 32)"
0,1.0,512,36.251566622852096,"(32, 32)"
0,10.0,8,78.97416679906439,
0,10.0,14,58.37165871968186,
0,10.0,20,49.720196600392576,
0,10.0,26,44.57958605458166,
0,10.0,32,58.08731435799861,
0,10.0,32,40.44796292111351,
0,10.0,56,50.18674340158799,
0,10.0,80,45.081075366173934,
0,10.0,104,40.88649249886646,
0,10.0,128,54.56945669039694,"(32, 32)"
0,10.0,128,54.43440404206063,"(32, 32)"
0,10.0,128,37.56593197902696,
0,10.0,224,47.86462831823693,"(32, 32)"
0,10.0,224,48.286056368205365,"(32, 32)"
0,10.0,320,43.53023657676861,"(32, 32)"
0,10.0,320,43.5877292864419,"(32, 32)"
0,10.0,416,39.69246521175249,"(32, 32)"
0,10.0,416,39.7665482629344,"(32, 32)"
0,10.0,512,36.70693241928937,"(32, 32)"
0,10.0,512,36.667839800245325,"(32, 32)"
1,0.01,8,60.19993873162178,
1,0.01,14,54.952058878848334,
1,0.01,20,50.33271862858868,
1,0.01,26,46.420055126468085,
1,0.01,32,61.74074701334895,
1,0.01,32,43.30889829162283,
1,0.01,56,56.12647644683748,
1,0.01,80,51.67052755799323,
1,0.01,104,47.81015024831398,
1,0.01,128,62.98725989360888,"(32, 32)"
1,0.01,128,63.051204278442725,"(32, 32)"
1,0.01,128,44.41019267029468,
1,0.01,224,57.0454381230492,"(32, 32)"
1,0.01,224,57.15078520681811,"(32, 32)"
1,0.01,320,52.37844655206956,"(32, 32)"
1,0.01,320,52.54113193676487,"(32, 32)"
1,0.01,416,48.7536621283248,"(32, 32)"
1,0.01,416,48.56290984502439,"(32, 32)"
1,0.01,512,45.4363061467343,"(32, 32)"
1,0.01,512,45.18219051587951,"(32, 32)"
1,0.1,8,52.63614918812907,
1,0.1,14,46.57455853484888,
1,0.1,20,42.99509832256284,
1,0.1,26,39.37627948922516,
1,0.1,32,53.27274424209112,
1,0.1,32,36.32438404797587,
1,0.1,56,47.50965000307102,
1,0.1,80,43.361203376779926,
1,0.1,104,39.9411916444418,
1,0.1,128,56.79838425258974,"(32, 32)"
1,0.1,128,57.09159545507942,"(32, 32)"
1,0.1,128,37.02602208572938,
1,0.1,224,50.43211095824114,"(32, 32)"
1,0.1,224,50.53433672949696,"(32, 32)"
1,0.1,320,45.94128933802401,"(32, 32)"
1,0.1,320,46.13957583652047,"(32, 32)"
1,0.1,416,42.26073400716631,"(32, 32)"
1,0.1,416,42.27266080893981,"(32, 32)"
1,0.1,512,39.21968127357028,"(32, 32)"
1,0.1,512,39.1685784759345,"(32, 32)"
1,1.0,8,68.85053828187621,
1,1.0,14,55.9327295410946,
1,1.0,20,49.09924231292297,
1,1.0,26,43.87947659600228,
1,1.0,32,55.617089006883575,
1,1.0,32,39.951633489679146,
1,1.0,56,48.73437840497493,
1,1.0,80,44.23242679079984,
1,1.0,104,40.37051791890978,
1,1.0,128,51.94141006900038,"(32, 32)"
1,1.0,128,52.457524473919705,"(32, 32)"
1,1.0,128,37.26015380106873,
1,1.0,224,46.92269724996544,"(32, 32)"
1,1.0,224,46.79593886010653,"(32, 32)"
1,1.0,320,42.791350282108,"(32, 32)"
1,1.0,320,42.51418929250246,"(32, 32)"
1,1.0,416,39.29518699585,"(32, 32)"
1,1.0,416,39.31219327045855,"(32, 32)"
1,1.0,512,36.38583584920864,"(32, 32)"
1,1.0,512,36.35899226270408,"(32, 32)"
1,10.0,8,79.4099438981724,
1,10.0,14,58.21596194034667,
1,10.0,20,49.92621539474606,
1,10.0,26,44.16309754447598,
1,10.0,32,58.501635471533945,
1,10.0,32,40.29189205533999,
1,10.0,56,50.247533823103744,
1,10.0,80,44.92314111666821,
1,10.0,104,40.89187688955518,
1,10.0,128,54.54398293041657,"(32, 32)"
1,10.0,128,54.48115052597804,"(32, 32)"
1,10.0,128,37.50473928385585,
1,10.0,224,48.1396117780093,"(32, 32)"
1,10.0,224,48.04268643613948,"(32, 32)"
1,10.0,320,43.58036882129776,"(32, 32)"
1,10.0,320,43.47849518215233,"(32, 32)"
1,10.0,416,39.833178313737086,"(32, 32)"
1,10.0,416,39.84933688618362,"(32, 32)"
1,10.0,512,36.71510911138011,"(32, 32)"
1,10.0,512,36.67824535195746,"(32, 32)"
2,0.01,8,60.05904007710171,
2,0.01,14,54.83952703927263,
2,0.01,20,50.34615289410476,
2,0.01,26,46.81642739459003,
2,0.01,32,61.53602915541682,
2,0.01,32,43.53000114933418,
2,0.01,56,56.41457718436239,
2,0.01,80,51.5665695896398,
2,0.01,104,47.71620656088234,
2,0.01,128,63.26102046928606,"(32, 32)"
2,0.01,128,62.99299906629281,"(32, 32)"
2,0.01,128,44.51836642028174,
2,0.01,224,56.95636605039855,"(32, 32)"
2,0.01,224,57.25895564233791,"(32, 32)"
2,0.01,320,52.461317725376574,"(32, 32)"
2,0.01,320,52.44228973155938,"(32, 32)"
2,0.01,416,48.53404668940471,"(32, 32)"
2,0.01,416,48.69541026582517,"(32, 32)"
2,0.01,512,45.24081799834282,"(32, 32)"
2,0.01,512,45.27762986817543,"(32, 32)"
2,0.1,8,53.08677658978597,
2,0.1,14,46.9872717971314,
2,0.1,20,42.65623426052823,
2,0.1,26,39.413141626615335,
2,0.1,32,52.77268447169309,
2,0.1,32,36.48982849532406,
2,0.1,56,47.59357218417979,
2,0.1,80,43.38247976754269,
2,0.1,104,40.13930591570476,
2,0.1,128,56.708514102794354,"(32, 32)"
2,0.1,128,57.21823751573215,"(32, 32)"
2,0.1,128,37.249069509469486,
2,0.1,224,50.67331475427708,"(32, 32)"
2,0.1,224,50.519767971276174,"(32, 32)"
2,0.1,320,45.8624516925365,"(32, 32)"
2,0.1,320,45.93826297463752,"(32, 32)"
2,0.1,416,42.21229586338684,"(32, 32)"
2,0.1,416,42.44677664444807,"(32, 32)"
2,0.1,512,39.24730454440744,"(32, 32)"
2,0.1,512,39.23649792565864,"(32, 32)"
2,1.0,8,68.93923098620789,
2,1.0,14,56.05935711168467,
2,1.0,20,48.6746596126087,
2,1.0,26,43.764396129980206,
2,1.0,32,55.53138100045659,
2,1.0,32,39.60882228488257,
2,1.0,56,48.88285698141056,
2,1.0,80,44.09027894847011,
2,1.0,104,40.256620632645536,
2,1.0,128,52.27534242624576,"(32, 32)"
2,1.0,128,52.099635111579865,"(32, 32)"
2,1.0,128,37.30264515024475,
2,1.0,224,46.86149821824724,"(32, 32)"
2,1.0,224,46.95396372320519,"(32, 32)"
2,1.0,320,42.66684018536888,"(32, 32)"
2,1.0,320,42.63009129878878,"(32, 32)"
2,1.0,416,39.3852271951784,"(32, 32)"
2,1.0,416,39.22418865777336,"(32, 32)"
2,1.0,512,36.37691500627197,"(32, 32)"
