rep,alp,num_cell,error
0,0.01,32,61.548326872730826
0,0.01,56,55.94692330717626
0,0.01,80,51.41548121161014
0,0.01,104,47.88257178446642
0,0.01,128,44.55997069297936
0,0.1,32,53.05617838699805
0,0.1,56,47.327844749268266
0,0.1,80,43.440363332658585
0,0.1,104,40.14160359378796
0,0.1,128,37.33679032214819
0,1.0,32,55.64744756145587
0,1.0,56,48.754946413719786
0,1.0,80,44.23085129210345
0,1.0,104,40.246718563164116
0,1.0,128,37.225998641043844
0,10.0,32,58.08731435799861
0,10.0,56,50.18674340158799
0,10.0,80,45.081075366173934
0,10.0,104,40.88649249886646
0,10.0,128,37.56593197902696
1,0.01,32,61.74074701334895
1,0.01,56,56.12647644683748
1,0.01,80,51.67052755799323
1,0.01,104,47.81015024831398
1,0.01,128,44.41019267029468
1,0.1,32,53.272744242091115
1,0.1,56,47.50965000307102
1,0.1,80,43.361203376779926
1,0.1,104,39.9411916444418
1,0.1,128,37.02602208572938
1,1.0,32,55.617089006883575
1,1.0,56,48.73437840497493
1,1.0,80,44.232426790799835
1,1.0,104,40.37051791890978
1,1.0,128,37.26015380106873
1,10.0,32,58.501635471533945
1,10.0,56,50.247533823103744
1,10.0,80,44.92314111666821
1,10.0,104,40.89187688955518
1,10.0,128,37.50473928385585
2,0.01,32,61.53602915541682
2,0.01,56,56.414577184362386
2,0.01,80,51.5665695896398
2,0.01,104,47.71620656088234
2,0.01,128,44.51836642028174
2,0.1,32,52.77268447169309
2,0.1,56,47.59357218417979
2,0.1,80,43.382479767542684
2,0.1,104,40.13930591570476
2,0.1,128,37.249069509469486
2,1.0,32,55.53138100045659
2,1.0,56,48.88285698141056
2,1.0,80,44.09027894847011
2,1.0,104,40.256620632645536
2,1.0,128,37.30264515024475
2,10.0,32,58.821863578321455
2,10.0,56,50.30913696422312
2,10.0,80,44.904555637194285
2,10.0,104,40.9646015409248
2,10.0,128,37.55080451357466
3,0.01,32,61.674853728221045
3,0.01,56,56.009089141015764
3,0.01,80,51.45252365284507
3,0.01,104,47.91621003748825
3,0.01,128,44.26057251743964
3,0.1,32,52.94656377346391
3,0.1,56,47.63755788967246
3,0.1,80,43.28420549898902
3,0.1,104,40.10350482873461
3,0.1,128,37.19309865656533
3,1.0,32,56.05078679671683
3,1.0,56,48.76132856935788
3,1.0,80,44.10671073388601
3,1.0,104,40.338522811041365
3,1.0,128,37.20966551739292
3,10.0,32,58.70814156032815
3,10.0,56,50.40588779875098
3,10.0,80,44.97946927827379
3,10.0,104,40.987112904239225
3,10.0,128,37.58073097123087
4,0.01,32,61.65314941034526
4,0.01,56,55.93679601130417
4,0.01,80,51.493397557992125
4,0.01,104,47.65230100185598
4,0.01,128,44.70201709471761
4,0.1,32,53.30932664985863
4,0.1,56,47.64337924941629
4,0.1,80,43.41686956513209
4,0.1,104,40.0922801342239
4,0.1,128,37.16527646006454
4,1.0,32,55.70545096443326
4,1.0,56,48.67037999779372
4,1.0,80,44.12165223300532
4,1.0,104,40.6071110234122
4,1.0,128,37.10093057704371
4,10.0,32,58.195424721330916
4,10.0,56,50.25599433483783
4,10.0,80,44.92588411967344
4,10.0,104,40.944299776697875
4,10.0,128,37.499163961627794
5,0.01,32,61.58190119639177
5,0.01,56,56.03484547829037
5,0.01,80,51.42448889256293
5,0.01,104,47.94915749105048
5,0.01,128,44.51002980903376
5,0.1,32,52.94816440502054
5,0.1,56,47.34864790858079
5,0.1,80,43.42421017435271
5,0.1,104,40.26314301662741
5,0.1,128,37.23022043323246
5,1.0,32,55.442824459596366
5,1.0,56,48.64217071577027
5,1.0,80,44.13107404966872
5,1.0,104,40.38742988979402
5,1.0,128,37.17591243976077
5,10.0,32,58.08094896907413
5,10.0,56,50.42250028966657
5,10.0,80,44.886268029851905
5,10.0,104,41.19345725801514
5,10.0,128,37.428994360461374
6,0.01,32,61.67697897938054
6,0.01,56,56.020163380154116
6,0.01,80,51.58626812221306
6,0.01,104,47.97120235772449
6,0.01,128,44.4394205056631
6,0.1,32,53.0758452870587
6,0.1,56,47.62729060554258
6,0.1,80,43.41982778120568
6,0.1,104,39.9632118331136
6,0.1,128,37.35406433420513
