rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",63.21945858311727
0,0.01,224,"(32, 32)",57.05183356077598
0,0.01,320,"(32, 32)",52.569596871754584
0,0.01,416,"(32, 32)",48.59215838901454
0,0.01,512,"(32, 32)",45.09179662120457
0,0.1,128,"(32, 32)",57.017225239387294
0,0.1,224,"(32, 32)",50.46851882173011
0,0.1,320,"(32, 32)",45.95984319084116
0,0.1,416,"(32, 32)",42.258848539047904
0,0.1,512,"(32, 32)",39.30438119476651
0,1.0,128,"(32, 32)",52.30274801383369
0,1.0,224,"(32, 32)",46.86517906559301
0,1.0,320,"(32, 32)",42.78293697132461
0,1.0,416,"(32, 32)",39.4921966281054
0,1.0,512,"(32, 32)",36.158200856745864
0,10.0,128,"(32, 32)",54.56945669039694
0,10.0,224,"(32, 32)",47.86462831823693
0,10.0,320,"(32, 32)",43.53023657676861
0,10.0,416,"(32, 32)",39.69246521175249
0,10.0,512,"(32, 32)",36.70693241928937
1,0.01,128,"(32, 32)",62.98725989360888
1,0.01,224,"(32, 32)",57.045438123049195
1,0.01,320,"(32, 32)",52.37844655206956
1,0.01,416,"(32, 32)",48.7536621283248
1,0.01,512,"(32, 32)",45.4363061467343
1,0.1,128,"(32, 32)",56.79838425258974
1,0.1,224,"(32, 32)",50.43211095824114
1,0.1,320,"(32, 32)",45.94128933802401
1,0.1,416,"(32, 32)",42.260734007166306
1,0.1,512,"(32, 32)",39.21968127357028
1,1.0,128,"(32, 32)",51.94141006900038
1,1.0,224,"(32, 32)",46.92269724996544
1,1.0,320,"(32, 32)",42.791350282108
1,1.0,416,"(32, 32)",39.295186995849996
1,1.0,512,"(32, 32)",36.38583584920864
1,10.0,128,"(32, 32)",54.54398293041657
1,10.0,224,"(32, 32)",48.1396117780093
1,10.0,320,"(32, 32)",43.58036882129776
1,10.0,416,"(32, 32)",39.833178313737086
1,10.0,512,"(32, 32)",36.71510911138011
2,0.01,128,"(32, 32)",63.26102046928606
2,0.01,224,"(32, 32)",56.95636605039855
2,0.01,320,"(32, 32)",52.461317725376574
2,0.01,416,"(32, 32)",48.53404668940471
2,0.01,512,"(32, 32)",45.24081799834282
2,0.1,128,"(32, 32)",56.708514102794354
2,0.1,224,"(32, 32)",50.67331475427708
2,0.1,320,"(32, 32)",45.8624516925365
2,0.1,416,"(32, 32)",42.212295863386835
2,0.1,512,"(32, 32)",39.24730454440744
2,1.0,128,"(32, 32)",52.27534242624576
2,1.0,224,"(32, 32)",46.861498218247235
2,1.0,320,"(32, 32)",42.666840185368876
2,1.0,416,"(32, 32)",39.3852271951784
2,1.0,512,"(32, 32)",36.37691500627197
2,10.0,128,"(32, 32)",54.28388358377886
2,10.0,224,"(32, 32)",48.15793055647406
2,10.0,320,"(32, 32)",43.412454621664466
2,10.0,416,"(32, 32)",39.74459638994598
2,10.0,512,"(32, 32)",36.61114052240878
3,0.01,128,"(32, 32)",63.14476540708208
3,0.01,224,"(32, 32)",57.22314452916677
3,0.01,320,"(32, 32)",52.48471173709053
3,0.01,416,"(32, 32)",48.569579247923414
3,0.01,512,"(32, 32)",44.84923870244311
3,0.1,128,"(32, 32)",57.177300149130424
3,0.1,224,"(32, 32)",50.27366760248671
3,0.1,320,"(32, 32)",46.04290822744336
3,0.1,416,"(32, 32)",42.32784683738832
3,0.1,512,"(32, 32)",39.214684312885616
3,1.0,128,"(32, 32)",52.141155785501624
3,1.0,224,"(32, 32)",46.877608569995324
3,1.0,320,"(32, 32)",42.96680047068886
3,1.0,416,"(32, 32)",39.28644148116408
3,1.0,512,"(32, 32)",36.370626494723076
3,10.0,128,"(32, 32)",54.234918422938314
3,10.0,224,"(32, 32)",48.2033025852685
3,10.0,320,"(32, 32)",43.649222964157744
3,10.0,416,"(32, 32)",39.802690240618475
3,10.0,512,"(32, 32)",36.60403733003564
4,0.01,128,"(32, 32)",63.033215137991526
4,0.01,224,"(32, 32)",57.293489288006555
4,0.01,320,"(32, 32)",52.599387815851
4,0.01,416,"(32, 32)",48.40634086309762
4,0.01,512,"(32, 32)",45.15340976956623
4,0.1,128,"(32, 32)",56.583523176471225
4,0.1,224,"(32, 32)",50.438001779095266
4,0.1,320,"(32, 32)",45.990122398019494
4,0.1,416,"(32, 32)",42.22674177698125
4,0.1,512,"(32, 32)",39.18886290009997
4,1.0,128,"(32, 32)",52.11901736974839
4,1.0,224,"(32, 32)",46.85644823317098
4,1.0,320,"(32, 32)",42.727849252157405
4,1.0,416,"(32, 32)",39.443467016750866
4,1.0,512,"(32, 32)",36.46243668198605
4,10.0,128,"(32, 32)",54.35069763100834
4,10.0,224,"(32, 32)",48.04352205812213
4,10.0,320,"(32, 32)",43.609969383461674
4,10.0,416,"(32, 32)",39.845896895667515
4,10.0,512,"(32, 32)",36.51104678899489
5,0.01,128,"(32, 32)",63.12264097734725
5,0.01,224,"(32, 32)",57.15258063149341
5,0.01,320,"(32, 32)",52.47724461364173
5,0.01,416,"(32, 32)",48.6602351933764
5,0.01,512,"(32, 32)",45.06027736817187
5,0.1,128,"(32, 32)",56.86738683029145
5,0.1,224,"(32, 32)",50.55766610897377
5,0.1,320,"(32, 32)",45.9733732532083
5,0.1,416,"(32, 32)",42.35826230390588
5,0.1,512,"(32, 32)",39.22398252802597
5,1.0,128,"(32, 32)",52.239512910602095
5,1.0,224,"(32, 32)",46.907145919223794
5,1.0,320,"(32, 32)",42.62624936775875
5,1.0,416,"(32, 32)",39.38932210423656
5,1.0,512,"(32, 32)",36.407999545123126
5,10.0,128,"(32, 32)",54.224108516387545
5,10.0,224,"(32, 32)",48.02226456214615
5,10.0,320,"(32, 32)",43.43846921868615
5,10.0,416,"(32, 32)",39.78610954959081
5,10.0,512,"(32, 32)",36.6510377057852
6,0.01,128,"(32, 32)",63.029255295956354
6,0.01,224,"(32, 32)",57.13936673062799
6,0.01,320,"(32, 32)",52.45056135169955
6,0.01,416,"(32, 32)",48.36969051745519
6,0.01,512,"(32, 32)",45.22727003415563
6,0.1,128,"(32, 32)",56.78024894071254
6,0.1,224,"(32, 32)",50.55158360054317
6,0.1,320,"(32, 32)",45.97258468182837
6,0.1,416,"(32, 32)",42.383284937603065
6,0.1,512,"(32, 32)",39.335112504537584
6,1.0,128,"(32, 32)",51.943406413014515
6,1.0,224,"(32, 32)",46.864761129487015
6,1.0,320,"(32, 32)",42.744378640529916
6,1.0,416,"(32, 32)",39.301795654430315
6,1.0,512,"(32, 32)",36.171492018845235
6,10.0,128,"(32, 32)",54.40480235023661
6,10.0,224,"(32, 32)",48.19094622567833
6,10.0,320,"(32, 32)",43.76370355977175
6,10.0,416,"(32, 32)",39.874977135726446
6,10.0,512,"(32, 32)",36.534482161936005
7,0.01,128,"(32, 32)",62.85380460866454
7,0.01,224,"(32, 32)",57.075233968956134
7,0.01,320,"(32, 32)",52.50016454035088
7,0.01,416,"(32, 32)",48.60965786799176
7,0.01,512,"(32, 32)",45.3383708473711
7,0.1,128,"(32, 32)",56.87057511440141
7,0.1,224,"(32, 32)",50.69633935507698
7,0.1,320,"(32, 32)",45.8162621674641
7,0.1,416,"(32, 32)",42.29101007763033
7,0.1,512,"(32, 32)",39.16100679991212
7,1.0,128,"(32, 32)",52.136405922735825
7,1.0,224,"(32, 32)",46.9688179386178
7,1.0,320,"(32, 32)",42.709226248486225
7,1.0,416,"(32, 32)",39.259946401115435
7,1.0,512,"(32, 32)",36.2640776034959
7,10.0,128,"(32, 32)",54.29539429326563
7,10.0,224,"(32, 32)",47.97579464952528
7,10.0,320,"(32, 32)",43.45459565681759
