rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",62.823889554733874
0,0.01,224,"(32, 32)",57.210642550160166
0,0.01,320,"(32, 32)",52.342025865086434
0,0.01,416,"(32, 32)",48.36177367145384
0,0.01,512,"(32, 32)",45.104666907845306
0,0.1,128,"(32, 32)",56.90144484550978
0,0.1,224,"(32, 32)",50.67633833094179
0,0.1,320,"(32, 32)",46.007558118777986
0,0.1,416,"(32, 32)",42.27579681349389
0,0.1,512,"(32, 32)",39.26744454870342
0,1.0,128,"(32, 32)",52.07727434646454
0,1.0,224,"(32, 32)",47.15081286574121
0,1.0,320,"(32, 32)",42.81919120234978
0,1.0,416,"(32, 32)",39.249757996803204
0,1.0,512,"(32, 32)",36.251566622852096
0,10.0,128,"(32, 32)",54.43440404206063
0,10.0,224,"(32, 32)",48.286056368205365
0,10.0,320,"(32, 32)",43.5877292864419
0,10.0,416,"(32, 32)",39.7665482629344
0,10.0,512,"(32, 32)",36.667839800245325
1,0.01,128,"(32, 32)",63.051204278442725
1,0.01,224,"(32, 32)",57.15078520681811
1,0.01,320,"(32, 32)",52.54113193676487
1,0.01,416,"(32, 32)",48.56290984502439
1,0.01,512,"(32, 32)",45.18219051587951
1,0.1,128,"(32, 32)",57.09159545507942
1,0.1,224,"(32, 32)",50.534336729496964
1,0.1,320,"(32, 32)",46.13957583652047
1,0.1,416,"(32, 32)",42.27266080893981
1,0.1,512,"(32, 32)",39.1685784759345
1,1.0,128,"(32, 32)",52.457524473919705
1,1.0,224,"(32, 32)",46.795938860106524
1,1.0,320,"(32, 32)",42.51418929250246
1,1.0,416,"(32, 32)",39.31219327045855
1,1.0,512,"(32, 32)",36.35899226270408
1,10.0,128,"(32, 32)",54.48115052597804
1,10.0,224,"(32, 32)",48.04268643613948
1,10.0,320,"(32, 32)",43.47849518215233
1,10.0,416,"(32, 32)",39.84933688618362
1,10.0,512,"(32, 32)",36.67824535195746
2,0.01,128,"(32, 32)",62.99299906629281
2,0.01,224,"(32, 32)",57.25895564233791
2,0.01,320,"(32, 32)",52.44228973155938
2,0.01,416,"(32, 32)",48.69541026582517
2,0.01,512,"(32, 32)",45.27762986817543
2,0.1,128,"(32, 32)",57.21823751573215
2,0.1,224,"(32, 32)",50.519767971276174
2,0.1,320,"(32, 32)",45.938262974637524
2,0.1,416,"(32, 32)",42.44677664444807
2,0.1,512,"(32, 32)",39.23649792565864
2,1.0,128,"(32, 32)",52.099635111579865
2,1.0,224,"(32, 32)",46.953963723205185
2,1.0,320,"(32, 32)",42.63009129878878
2,1.0,416,"(32, 32)",39.224188657773354
2,1.0,512,"(32, 32)",36.324532227415226
2,10.0,128,"(32, 32)",54.50463752964099
2,10.0,224,"(32, 32)",48.13182716989504
2,10.0,320,"(32, 32)",43.322860425451076
2,10.0,416,"(32, 32)",39.85273025138918
2,10.0,512,"(32, 32)",36.70511153794108
3,0.01,128,"(32, 32)",63.01952362296954
3,0.01,224,"(32, 32)",57.079662670911084
3,0.01,320,"(32, 32)",52.52009158106865
3,0.01,416,"(32, 32)",48.6592655607177
3,0.01,512,"(32, 32)",45.2036884271429
3,0.1,128,"(32, 32)",56.88641360273811
3,0.1,224,"(32, 32)",50.76165562472027
3,0.1,320,"(32, 32)",46.00928105144759
3,0.1,416,"(32, 32)",42.27769871449663
3,0.1,512,"(32, 32)",39.22349071042431
3,1.0,128,"(32, 32)",51.807561807019866
3,1.0,224,"(32, 32)",46.73865146896833
3,1.0,320,"(32, 32)",42.692391736641135
3,1.0,416,"(32, 32)",39.34461020331478
3,1.0,512,"(32, 32)",36.22379608154525
3,10.0,128,"(32, 32)",54.36765434370578
3,10.0,224,"(32, 32)",48.08770765552748
3,10.0,320,"(32, 32)",43.67239795569604
3,10.0,416,"(32, 32)",39.801508369808836
3,10.0,512,"(32, 32)",36.60913544339169
4,0.01,128,"(32, 32)",63.15041496883519
4,0.01,224,"(32, 32)",57.31491892461725
4,0.01,320,"(32, 32)",52.5245159491813
4,0.01,416,"(32, 32)",48.65025038777261
4,0.01,512,"(32, 32)",45.113196987688106
4,0.1,128,"(32, 32)",57.02803099862451
4,0.1,224,"(32, 32)",50.45111289786437
4,0.1,320,"(32, 32)",45.914178442764005
4,0.1,416,"(32, 32)",42.40084586289424
4,0.1,512,"(32, 32)",39.35078024375421
4,1.0,128,"(32, 32)",51.905122141839975
4,1.0,224,"(32, 32)",46.952931555731915
4,1.0,320,"(32, 32)",42.88361407792348
4,1.0,416,"(32, 32)",39.452151761278756
4,1.0,512,"(32, 32)",36.45731046858481
4,10.0,128,"(32, 32)",54.298413310043244
4,10.0,224,"(32, 32)",48.255987714912614
4,10.0,320,"(32, 32)",43.563513548346876
4,10.0,416,"(32, 32)",39.73863340803178
4,10.0,512,"(32, 32)",36.625735643309255
5,0.01,128,"(32, 32)",63.03627226400021
5,0.01,224,"(32, 32)",57.239621483532936
5,0.01,320,"(32, 32)",52.64251942904289
5,0.01,416,"(32, 32)",48.77946117965321
5,0.01,512,"(32, 32)",45.195214632632265
5,0.1,128,"(32, 32)",56.68745528348696
5,0.1,224,"(32, 32)",50.57291025095571
5,0.1,320,"(32, 32)",46.01552075307854
5,0.1,416,"(32, 32)",42.29592381490445
5,0.1,512,"(32, 32)",39.19968960892154
5,1.0,128,"(32, 32)",52.29249531164074
5,1.0,224,"(32, 32)",46.88636503663807
5,1.0,320,"(32, 32)",42.81167566104478
5,1.0,416,"(32, 32)",39.31623475690679
5,1.0,512,"(32, 32)",36.240331741650394
5,10.0,128,"(32, 32)",54.269672114371275
5,10.0,224,"(32, 32)",48.45064121290502
5,10.0,320,"(32, 32)",43.50467139406375
5,10.0,416,"(32, 32)",39.70868190893916
5,10.0,512,"(32, 32)",36.64905042263856
6,0.01,128,"(32, 32)",62.876132446768885
6,0.01,224,"(32, 32)",56.871251814862504
6,0.01,320,"(32, 32)",52.23950469548958
6,0.01,416,"(32, 32)",48.45165111928904
6,0.01,512,"(32, 32)",45.036734401221
6,0.1,128,"(32, 32)",57.047701568173856
6,0.1,224,"(32, 32)",50.570354780476784
6,0.1,320,"(32, 32)",45.819599762013134
6,0.1,416,"(32, 32)",42.34182201092478
6,0.1,512,"(32, 32)",39.14853611105621
6,1.0,128,"(32, 32)",51.88947136574956
6,1.0,224,"(32, 32)",46.88980263507201
6,1.0,320,"(32, 32)",42.78780420113297
6,1.0,416,"(32, 32)",39.20513830568477
6,1.0,512,"(32, 32)",36.289964416267814
6,10.0,128,"(32, 32)",54.30475110788562
6,10.0,224,"(32, 32)",48.27471832240625
6,10.0,320,"(32, 32)",43.539397628044746
6,10.0,416,"(32, 32)",39.90541337464834
6,10.0,512,"(32, 32)",36.824857596790864
7,0.01,128,"(32, 32)",62.98352474167747
7,0.01,224,"(32, 32)",57.155722138567654
7,0.01,320,"(32, 32)",52.24026362038616
7,0.01,416,"(32, 32)",48.58267786402826
7,0.01,512,"(32, 32)",45.21807185931926
7,0.1,128,"(32, 32)",57.18771579055513
7,0.1,224,"(32, 32)",50.63484672576678
7,0.1,320,"(32, 32)",45.96781956750848
7,0.1,416,"(32, 32)",42.46574973988401
7,0.1,512,"(32, 32)",39.07457659999025
7,1.0,128,"(32, 32)",52.33942791303623
7,1.0,224,"(32, 32)",47.025854385458786
7,1.0,320,"(32, 32)",42.91858084153547
7,1.0,416,"(32, 32)",39.28597695399075
7,1.0,512,"(32, 32)",36.359334921886486
7,10.0,128,"(32, 32)",54.267029651549464
7,10.0,224,"(32, 32)",48.16871995520332
7,10.0,320,"(32, 32)",43.58915295717137
7,10.0,416,"(32, 32)",39.833960768946795
7,10.0,512,"(32, 32)",36.707967842236776
8,0.01,128,"(32, 32)",62.93497244524184
8,0.01,224,"(32, 32)",57.119850310548884
8,0.01,320,"(32, 32)",52.379473474688496
8,0.01,416,"(32, 32)",48.62949866345312
8,0.01,512,"(32, 32)",45.11869873686527
8,0.1,128,"(32, 32)",57.019702685065035
8,0.1,224,"(32, 32)",50.753214955090165
8,0.1,320,"(32, 32)",45.993962845411545
8,0.1,416,"(32, 32)",42.218107115554226
8,0.1,512,"(32, 32)",39.046020498462546
8,1.0,128,"(32, 32)",52.16161383308725
8,1.0,224,"(32, 32)",47.00238388184339
8,1.0,320,"(32, 32)",42.799610107642465
8,1.0,416,"(32, 32)",39.39117704834612
8,1.0,512,"(32, 32)",36.45970123921924
8,10.0,128,"(32, 32)",54.265441700905605
8,10.0,224,"(32, 32)",48.26399443080471
8,10.0,320,"(32, 32)",43.58924944216351
8,10.0,416,"(32, 32)",39.7652948092259
8,10.0,512,"(32, 32)",36.74546116417935
9,0.01,128,"(32, 32)",62.80727058771125
9,0.01,224,"(32, 32)",57.18469991864219
9,0.01,320,"(32, 32)",52.485186821262644
9,0.01,416,"(32, 32)",48.435162100207116
9,0.01,512,"(32, 32)",45.25972942478756
9,0.1,128,"(32, 32)",57.01019098966839
9,0.1,224,"(32, 32)",50.491009695678606
9,0.1,320,"(32, 32)",45.93039387865234
9,0.1,416,"(32, 32)",42.19433009489524
9,0.1,512,"(32, 32)",39.1096692746682
9,1.0,128,"(32, 32)",52.04625438364832
9,1.0,224,"(32, 32)",46.8942121273242
9,1.0,320,"(32, 32)",42.78169280353154
9,1.0,416,"(32, 32)",39.29349086136616
9,1.0,512,"(32, 32)",36.36005605888452
9,10.0,128,"(32, 32)",54.492137376769065
9,10.0,224,"(32, 32)",48.30080818147753
9,10.0,320,"(32, 32)",43.33335847609353
9,10.0,416,"(32, 32)",39.81127994889682
9,10.0,512,"(32, 32)",36.781239161980004
