rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.01,128,50,2,"(32, 32)",67.18645248661069
0,0.01,128,50,4,"(32, 32)",85.76988292207986
0,0.01,128,50,6,"(32, 32)",91.90519197510662
0,0.01,128,50,8,"(32, 32)",95.63722793087685
0,0.01,128,100,2,"(32, 32)",66.07758392235131
0,0.01,128,100,4,"(32, 32)",85.74648758170143
0,0.01,128,100,6,"(32, 32)",92.3081876642434
0,0.01,128,100,8,"(32, 32)",94.46735504463125
0,0.01,128,200,2,"(32, 32)",66.22397626385813
0,0.01,128,200,4,"(32, 32)",83.82114681554351
0,0.01,128,200,6,"(32, 32)",91.65864530204425
0,0.01,128,200,8,"(32, 32)",95.7323310625143
0,0.01,224,50,2,"(32, 32)",55.96463156009104
0,0.01,224,50,4,"(32, 32)",75.97897836173547
0,0.01,224,50,6,"(32, 32)",84.01747755605135
0,0.01,224,50,8,"(32, 32)",85.92261800741294
0,0.01,224,100,2,"(32, 32)",54.71875470573715
0,0.01,224,100,4,"(32, 32)",75.65245841419384
0,0.01,224,100,6,"(32, 32)",83.77962864833334
0,0.01,224,100,8,"(32, 32)",86.37812845882807
0,0.01,224,200,2,"(32, 32)",54.81866082917166
0,0.01,224,200,4,"(32, 32)",74.8519565996729
0,0.01,224,200,6,"(32, 32)",84.0744159180234
0,0.01,224,200,8,"(32, 32)",84.87692640587545
0,0.01,320,50,2,"(32, 32)",42.94055804561178
0,0.01,320,50,4,"(32, 32)",56.19586832192451
0,0.01,320,50,6,"(32, 32)",58.75029063051452
0,0.01,320,50,8,"(32, 32)",56.55881237844296
0,0.01,320,100,2,"(32, 32)",43.671962261624586
0,0.01,320,100,4,"(32, 32)",57.46331080988458
0,0.01,320,100,6,"(32, 32)",61.08341560861304
0,0.01,320,100,8,"(32, 32)",60.250045744692585
0,0.01,320,200,2,"(32, 32)",42.60326052621559
0,0.01,320,200,4,"(32, 32)",57.03560891411699
0,0.01,320,200,6,"(32, 32)",59.91477775868046
0,0.01,320,200,8,"(32, 32)",59.475442482712175
0,0.01,416,50,2,"(32, 32)",25.997062810638308
0,0.01,416,50,4,"(32, 32)",27.00407668525793
0,0.01,416,50,6,"(32, 32)",28.404508866769767
0,0.01,416,50,8,"(32, 32)",20.00153754999884
