rep,alp,num_cell,error,filter_dim
0,0.01,8,25.244787830194824,
0,0.01,14,21.48667299499955,
0,0.01,20,18.799864926766052,
0,0.01,26,16.813792012427125,
0,0.01,32,24.96700810740945,
0,0.01,32,14.860693198217335,
0,0.01,56,21.42371363300157,
0,0.01,80,18.96229415711421,
0,0.01,104,16.782376555237846,
0,0.01,128,25.651896954266267,"(32, 32)"
0,0.01,128,14.913612450852694,
0,0.01,224,21.901478202784418,"(32, 32)"
0,0.01,320,19.232163426845776,"(32, 32)"
0,0.01,416,17.119518432974484,"(32, 32)"
0,0.01,512,15.170933860243888,"(32, 32)"
0,0.1,8,23.16531289442433,
0,0.1,14,17.692156067648213,
0,0.1,20,14.559249580663517,
0,0.1,26,12.15800561461058,
0,0.1,32,20.45488407972149,
0,0.1,32,10.1270859064945,
0,0.1,56,16.500734601863126,
0,0.1,80,13.782259465136892,
0,0.1,104,11.50854456710224,
0,0.1,128,23.13690637850225,"(32, 32)"
0,0.1,128,9.690946888675072,
0,0.1,224,18.52866153747651,"(32, 32)"
0,0.1,320,15.56275602689279,"(32, 32)"
0,0.1,416,13.199583474725632,"(32, 32)"
0,0.1,512,11.309159433714248,"(32, 32)"
0,1.0,8,39.95484683698088,
0,1.0,14,22.250599713762107,
0,1.0,20,16.7433656677586,
0,1.0,26,13.397912053517848,
0,1.0,32,21.5913928190371,
0,1.0,32,10.696976771136615,
0,1.0,56,16.268450430223364,
0,1.0,80,13.013487788075892,
0,1.0,104,10.544097579898152,
0,1.0,128,19.14951304322072,"(32, 32)"
0,1.0,128,8.657629240582136,
0,1.0,224,14.960216917209488,"(32, 32)"
0,1.0,320,12.12768068863532,"(32, 32)"
0,1.0,416,10.03074516380811,"(32, 32)"
0,1.0,512,8.119100688499326,"(32, 32)"
0,10.0,8,48.12170490031944,
0,10.0,14,23.474640006818145,
0,10.0,20,17.351021227065292,
0,10.0,26,14.027018361366304,
0,10.0,32,22.872660449515237,
0,10.0,32,12.01528799231754,
0,10.0,56,16.80710739383056,
0,10.0,80,13.581662752047391,
0,10.0,104,11.36982324199454,
0,10.0,128,20.108878176227226,"(32, 32)"
0,10.0,128,9.970434351482716,
0,10.0,224,15.420420352930847,"(32, 32)"
0,10.0,320,12.652919453510382,"(32, 32)"
0,10.0,416,10.750653624069868,"(32, 32)"
0,10.0,512,9.443530650592589,"(32, 32)"
1,0.01,8,25.264340851091617,
1,0.01,14,21.475658832076107,
1,0.01,20,18.902612459180936,
1,0.01,26,16.78646843326307,
1,0.01,32,24.839295646522107,
1,0.01,32,14.864529298373595,
1,0.01,56,21.411068829187467,
1,0.01,80,18.86565415369233,
1,0.01,104,16.84677646037107,
1,0.01,128,25.884642200410298,"(32, 32)"
1,0.01,128,14.804737874048534,
1,0.01,224,22.101680470782497,"(32, 32)"
1,0.01,320,19.315107151082863,"(32, 32)"
1,0.01,416,17.13798431669282,"(32, 32)"
1,0.01,512,15.007124543991011,"(32, 32)"
1,0.1,8,22.96791442596853,
1,0.1,14,17.631772302614674,
1,0.1,20,14.603105768623315,
1,0.1,26,12.159360512180957,
1,0.1,32,20.34896619640544,
1,0.1,32,10.22888409029382,
1,0.1,56,16.399412637752647,
1,0.1,80,13.61276703879989,
1,0.1,104,11.534163109655452,
1,0.1,128,23.004832962447846,"(32, 32)"
1,0.1,128,9.746883187591743,
1,0.1,224,18.621466691940064,"(32, 32)"
1,0.1,320,15.463718528502769,"(32, 32)"
1,0.1,416,13.170583279263512,"(32, 32)"
1,0.1,512,11.135450448156536,"(32, 32)"
1,1.0,8,40.1173412108332,
1,1.0,14,22.119989032432223,
1,1.0,20,16.676275357226476,
1,1.0,26,13.224687113242569,
1,1.0,32,21.67928473021133,
1,1.0,32,10.786975169758586,
1,1.0,56,16.249125765245516,
1,1.0,80,13.053871480845356,
1,1.0,104,10.512481174157305,
1,1.0,128,19.068434895150308,"(32, 32)"
1,1.0,128,8.649580717123301,
1,1.0,224,15.122086047225023,"(32, 32)"
1,1.0,320,12.275718627529129,"(32, 32)"
1,1.0,416,10.072854537272576,"(32, 32)"
1,1.0,512,8.167657701215125,"(32, 32)"
1,10.0,8,47.20576360071368,
1,10.0,14,23.341336657928565,
1,10.0,20,17.152287371270642,
1,10.0,26,14.143630577726125,
1,10.0,32,22.71286963087,
1,10.0,32,11.895197506740493,
1,10.0,56,16.946057962329956,
1,10.0,80,13.535241787022288,
1,10.0,104,11.359753126228895,
1,10.0,128,20.07936684890683,"(32, 32)"
1,10.0,128,9.881038123506729,
1,10.0,224,15.472797396044234,"(32, 32)"
1,10.0,320,12.717091145228334,"(32, 32)"
1,10.0,416,10.748658384839226,"(32, 32)"
1,10.0,512,9.46010242559942,"(32, 32)"
2,0.01,8,25.12141278977357,
2,0.01,14,21.545036077002194,
2,0.01,20,18.751571385976145,
2,0.01,26,16.750340700243047,
2,0.01,32,25.026609373980577,
2,0.01,32,14.86325250489993,
2,0.01,56,21.39052584550613,
2,0.01,80,18.928028621242422,
2,0.01,104,16.826600468823237,
2,0.01,128,25.74799109464962,"(32, 32)"
2,0.01,128,14.776171596181296,
2,0.01,224,21.920558724069757,"(32, 32)"
2,0.01,320,19.356310782800563,"(32, 32)"
2,0.01,416,16.96977992295554,"(32, 32)"
