rep,alp,num_cell,error
0,0.01,8,23.89972289495354
0,0.01,14,21.20551850451118
0,0.01,20,18.779705269707772
0,0.01,26,17.000256929138992
0,0.01,32,15.56185764687593
0,0.1,8,20.768618032866733
0,0.1,14,17.725840392857446
0,0.1,20,15.477721785637058
0,0.1,26,13.654180653649993
0,0.1,32,12.220710616607102
0,1.0,8,29.250823115317353
0,1.0,14,21.962530305653715
0,1.0,20,17.909725897058383
0,1.0,26,15.412064451326936
0,1.0,32,13.462468853332702
0,10.0,8,33.52695963094069
0,10.0,14,23.528227228192627
0,10.0,20,18.583703053079574
0,10.0,26,15.8523136748689
0,10.0,32,13.720683524229772
1,0.01,8,23.750580870903395
1,0.01,14,20.968223508316736
1,0.01,20,18.7817362438356
1,0.01,26,17.05095698559925
1,0.01,32,15.653444811691012
1,0.1,8,20.842461541886074
1,0.1,14,17.666185240513823
1,0.1,20,15.513409382418292
1,0.1,26,13.646662159372196
1,0.1,32,12.153077483826097
1,1.0,8,29.240714661596396
1,1.0,14,21.895886373652257
1,1.0,20,18.114494172882782
1,1.0,26,15.47759041990383
1,1.0,32,13.411681882112415
1,10.0,8,33.482362801546934
1,10.0,14,22.971373697539335
1,10.0,20,18.594628064876527
1,10.0,26,15.696175657380175
1,10.0,32,13.906363840387266
2,0.01,8,23.89018517557762
2,0.01,14,21.028135978887477
2,0.01,20,18.75624834853219
2,0.01,26,17.087416122219494
2,0.01,32,15.646695630946505
2,0.1,8,20.971905489362104
2,0.1,14,17.690710632300252
2,0.1,20,15.44223122934559
2,0.1,26,13.670821667012905
2,0.1,32,12.306243081233772
2,1.0,8,29.027788791522585
2,1.0,14,22.081041104332485
2,1.0,20,18.24124552155061
2,1.0,26,15.525873186062588
2,1.0,32,13.43771830536697
2,10.0,8,33.74837150883418
2,10.0,14,22.928516842853945
2,10.0,20,18.83897660814764
2,10.0,26,15.850055470655349
2,10.0,32,13.838696799690696
3,0.01,8,23.697815191589633
3,0.01,14,20.957013411572092
3,0.01,20,18.83692912430868
3,0.01,26,16.985952295306202
3,0.01,32,15.57946110450823
3,0.1,8,21.02725467453964
3,0.1,14,17.801817893305067
3,0.1,20,15.505533153688297
3,0.1,26,13.6037175258707
3,0.1,32,12.285396429240043
3,1.0,8,29.07065564644794
3,1.0,14,21.848127589537306
3,1.0,20,18.22582985410677
3,1.0,26,15.536487578891906
3,1.0,32,13.42739885944464
3,10.0,8,33.8671125400158
3,10.0,14,23.060147379977415
3,10.0,20,18.580437416044145
3,10.0,26,15.883762134209036
3,10.0,32,13.915731082617281
4,0.01,8,23.847631216075108
4,0.01,14,20.944223081777647
4,0.01,20,18.81596813994584
4,0.01,26,17.09369231219556
4,0.01,32,15.620534884468723
4,0.1,8,20.96863029434442
4,0.1,14,17.672631798146295
4,0.1,20,15.482663457455129
4,0.1,26,13.692882019698084
4,0.1,32,12.268144987699198
4,1.0,8,28.711817256398017
4,1.0,14,22.04002597329605
4,1.0,20,18.190742229902437
4,1.0,26,15.589259661211239
4,1.0,32,13.37275562885716
4,10.0,8,34.14648962563593
4,10.0,14,23.343401598596536
4,10.0,20,18.61878402722218
