rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",25.854632557604077
0,0.01,224,"(32, 32)",22.15646908844099
0,0.01,320,"(32, 32)",19.561158253051573
0,0.01,416,"(32, 32)",17.715581593819476
0,0.01,512,"(32, 32)",16.163868979931465
0,0.1,128,"(32, 32)",23.162782723131603
0,0.1,224,"(32, 32)",19.238027242929746
0,0.1,320,"(32, 32)",16.621768838192363
0,0.1,416,"(32, 32)",14.518807151704937
0,0.1,512,"(32, 32)",13.13544027077805
0,1.0,128,"(32, 32)",19.493995426708533
0,1.0,224,"(32, 32)",15.77783649654536
0,1.0,320,"(32, 32)",13.321479741746622
0,1.0,416,"(32, 32)",11.682220408879497
0,1.0,512,"(32, 32)",10.284191139916826
0,10.0,128,"(32, 32)",20.561123416354906
0,10.0,224,"(32, 32)",16.351070828616443
0,10.0,320,"(32, 32)",13.625642113909986
0,10.0,416,"(32, 32)",11.769690065929812
0,10.0,512,"(32, 32)",10.647853731762922
1,0.01,128,"(32, 32)",25.55814098695812
1,0.01,224,"(32, 32)",22.16768696475642
1,0.01,320,"(32, 32)",19.613989687495547
1,0.01,416,"(32, 32)",17.58370874856872
1,0.01,512,"(32, 32)",16.289097276828883
1,0.1,128,"(32, 32)",23.120202633982814
1,0.1,224,"(32, 32)",19.588721206465692
1,0.1,320,"(32, 32)",16.53679784551406
1,0.1,416,"(32, 32)",14.48553323898618
1,0.1,512,"(32, 32)",13.029833819602423
1,1.0,128,"(32, 32)",19.456696674967954
1,1.0,224,"(32, 32)",15.733428835713683
1,1.0,320,"(32, 32)",13.369687602945021
1,1.0,416,"(32, 32)",11.76446324827527
1,1.0,512,"(32, 32)",10.130705932843668
1,10.0,128,"(32, 32)",20.53768137354292
1,10.0,224,"(32, 32)",16.259422504825615
1,10.0,320,"(32, 32)",13.703169401786315
1,10.0,416,"(32, 32)",12.031980497303842
1,10.0,512,"(32, 32)",10.680644374081812
2,0.01,128,"(32, 32)",25.895137893123994
2,0.01,224,"(32, 32)",22.311455624712295
2,0.01,320,"(32, 32)",19.681845394854943
2,0.01,416,"(32, 32)",17.907163373676823
2,0.01,512,"(32, 32)",16.049659554266604
2,0.1,128,"(32, 32)",22.98749467643274
2,0.1,224,"(32, 32)",19.352921833565436
2,0.1,320,"(32, 32)",16.679964571579006
2,0.1,416,"(32, 32)",14.43700285877195
2,0.1,512,"(32, 32)",13.19996495097738
2,1.0,128,"(32, 32)",19.63724267160877
2,1.0,224,"(32, 32)",15.76166381070041
2,1.0,320,"(32, 32)",13.348946982011894
2,1.0,416,"(32, 32)",11.682377146412268
2,1.0,512,"(32, 32)",10.269837326648378
2,10.0,128,"(32, 32)",20.565639360553554
2,10.0,224,"(32, 32)",16.266345562397298
2,10.0,320,"(32, 32)",13.612180506071862
2,10.0,416,"(32, 32)",11.959395375868617
2,10.0,512,"(32, 32)",10.618511058505772
3,0.01,128,"(32, 32)",25.90597464089561
3,0.01,224,"(32, 32)",22.046323124543186
3,0.01,320,"(32, 32)",19.601878060651195
3,0.01,416,"(32, 32)",17.694584374678794
3,0.01,512,"(32, 32)",16.058428415288507
3,0.1,128,"(32, 32)",22.912278530883974
3,0.1,224,"(32, 32)",19.38540143793551
3,0.1,320,"(32, 32)",16.542117493040738
3,0.1,416,"(32, 32)",14.477727555950421
3,0.1,512,"(32, 32)",13.023490223723512
3,1.0,128,"(32, 32)",19.388393079994156
3,1.0,224,"(32, 32)",15.790726458391337
3,1.0,320,"(32, 32)",13.294838952290245
3,1.0,416,"(32, 32)",11.65605036587591
3,1.0,512,"(32, 32)",10.298609586032358
3,10.0,128,"(32, 32)",20.586943872163385
3,10.0,224,"(32, 32)",16.38484967271923
3,10.0,320,"(32, 32)",13.750305588534248
3,10.0,416,"(32, 32)",11.931628955480052
3,10.0,512,"(32, 32)",10.662531547902203
4,0.01,128,"(32, 32)",25.80389704289059
4,0.01,224,"(32, 32)",22.282982286737663
