rep,alp,num_cell,error,filter_dim
0,0.01,8,23.89972289495354,
0,0.01,14,21.20551850451118,
0,0.01,20,18.77970526970777,
0,0.01,26,17.000256929138992,
0,0.01,32,24.949215768479743,
0,0.01,32,15.56185764687593,
0,0.01,56,21.58822927827991,
0,0.01,80,19.34356531600422,
0,0.01,104,17.20315615506517,
0,0.01,128,25.85463255760408,"(32, 32)"
0,0.01,128,15.876985801187312,
0,0.01,224,22.15646908844099,"(32, 32)"
0,0.01,320,19.561158253051573,"(32, 32)"
0,0.01,416,17.715581593819476,"(32, 32)"
0,0.01,512,16.163868979931465,"(32, 32)"
0,0.1,8,20.768618032866733,
0,0.1,14,17.725840392857446,
0,0.1,20,15.477721785637058,
0,0.1,26,13.654180653649991,
0,0.1,32,20.70604020233216,
0,0.1,32,12.220710616607102,
0,0.1,56,17.38540041743533,
0,0.1,80,14.914446930204509,
0,0.1,104,13.052446649015296,
0,0.1,128,23.162782723131603,"(32, 32)"
0,0.1,128,11.780578756055949,
0,0.1,224,19.238027242929743,"(32, 32)"
0,0.1,320,16.621768838192363,"(32, 32)"
0,0.1,416,14.518807151704936,"(32, 32)"
0,0.1,512,13.13544027077805,"(32, 32)"
0,1.0,8,29.250823115317356,
0,1.0,14,21.962530305653715,
0,1.0,20,17.909725897058383,
0,1.0,26,15.412064451326936,
0,1.0,32,21.489965980612915,
0,1.0,32,13.462468853332702,
0,1.0,56,17.084689959491886,
0,1.0,80,14.329733122891405,
0,1.0,104,12.485997711636042,
0,1.0,128,19.493995426708533,"(32, 32)"
0,1.0,128,10.93379070054169,
0,1.0,224,15.77783649654536,"(32, 32)"
0,1.0,320,13.321479741746622,"(32, 32)"
0,1.0,416,11.682220408879497,"(32, 32)"
0,1.0,512,10.284191139916826,"(32, 32)"
0,10.0,8,33.52695963094069,
0,10.0,14,23.528227228192627,
0,10.0,20,18.58370305307957,
0,10.0,26,15.8523136748689,
0,10.0,32,23.218289397691027,
0,10.0,32,13.720683524229772,
0,10.0,56,17.706955955643192,
0,10.0,80,14.815122734331322,
0,10.0,104,12.775938987189727,
0,10.0,128,20.561123416354903,"(32, 32)"
0,10.0,128,11.35072805615504,
0,10.0,224,16.351070828616443,"(32, 32)"
0,10.0,320,13.625642113909986,"(32, 32)"
0,10.0,416,11.769690065929812,"(32, 32)"
0,10.0,512,10.647853731762922,"(32, 32)"
1,0.01,8,23.750580870903395,
1,0.01,14,20.968223508316736,
1,0.01,20,18.7817362438356,
1,0.01,26,17.05095698559925,
1,0.01,32,24.75772205455434,
1,0.01,32,15.653444811691012,
1,0.01,56,21.57217605869252,
1,0.01,80,19.22196553940304,
1,0.01,104,17.30119929925041,
1,0.01,128,25.55814098695812,"(32, 32)"
1,0.01,128,15.826364221572716,
1,0.01,224,22.16768696475642,"(32, 32)"
1,0.01,320,19.613989687495547,"(32, 32)"
1,0.01,416,17.58370874856872,"(32, 32)"
1,0.01,512,16.289097276828883,"(32, 32)"
1,0.1,8,20.842461541886077,
1,0.1,14,17.666185240513823,
1,0.1,20,15.513409382418292,
1,0.1,26,13.646662159372196,
1,0.1,32,20.75864919541869,
