rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,0.01,128,50,2,"(32, 32)",73.7552760160509
0,0.01,128,50,4,"(32, 32)",87.2170884327089
0,0.01,128,50,6,"(32, 32)",90.9306925005141
0,0.01,128,50,8,"(32, 32)",92.4950896738283
0,0.01,128,100,2,"(32, 32)",73.560964952397
0,0.01,128,100,4,"(32, 32)",86.1709334708522
0,0.01,128,100,6,"(32, 32)",90.1715950902872
0,0.01,128,100,8,"(32, 32)",92.6335162573353
0,0.01,128,200,2,"(32, 32)",72.3921632066047
0,0.01,128,200,4,"(32, 32)",86.1964144781933
0,0.01,128,200,6,"(32, 32)",90.3726358909105
0,0.01,128,200,8,"(32, 32)",92.0652401393982
0,0.01,224,50,2,"(32, 32)",64.3367978713058
0,0.01,224,50,4,"(32, 32)",76.492961784171
0,0.01,224,50,6,"(32, 32)",80.7221084232787
0,0.01,224,50,8,"(32, 32)",80.4885005437895
0,0.01,224,100,2,"(32, 32)",63.3553706360703
0,0.01,224,100,4,"(32, 32)",77.2153157512955
0,0.01,224,100,6,"(32, 32)",80.001832011227
0,0.01,224,100,8,"(32, 32)",80.2374218979726
0,0.01,224,200,2,"(32, 32)",63.1535855070497
0,0.01,224,200,4,"(32, 32)",76.3111642881527
0,0.01,224,200,6,"(32, 32)",80.1920597150691
0,0.01,224,200,8,"(32, 32)",81.2821322711843
0,0.01,320,50,2,"(32, 32)",53.5072521036116
0,0.01,320,50,4,"(32, 32)",61.7594081800399
0,0.01,320,50,6,"(32, 32)",63.1347981921803
0,0.01,320,50,8,"(32, 32)",61.043001089602
0,0.01,320,100,2,"(32, 32)",53.116127691456
0,0.01,320,100,4,"(32, 32)",62.8217049150129
0,0.01,320,100,6,"(32, 32)",62.8709366321526
0,0.01,320,100,8,"(32, 32)",60.3825349706352
0,0.01,320,200,2,"(32, 32)",52.997771522168
0,0.01,320,200,4,"(32, 32)",62.2543095395323
0,0.01,320,200,6,"(32, 32)",63.5550701708958
0,0.01,320,200,8,"(32, 32)",60.52833253115
0,0.01,416,50,2,"(32, 32)",38.1950326036578
0,0.01,416,50,4,"(32, 32)",38.917802460547
0,0.01,416,50,6,"(32, 32)",34.8245356521265
0,0.01,416,50,8,"(32, 32)",29.1235335476111
0,0.01,416,100,2,"(32, 32)",39.5983790075507
0,0.01,416,100,4,"(32, 32)",39.7777718029574
0,0.01,416,100,6,"(32, 32)",32.6895335277884
0,0.01,416,100,8,"(32, 32)",33.0364228008395
0,0.01,416,200,2,"(32, 32)",37.821898397391
0,0.01,416,200,4,"(32, 32)",38.561753771222
0,0.01,416,200,6,"(32, 32)",31.7328253724077
0,0.01,416,200,8,"(32, 32)",31.6483376980962
0,0.01,512,50,2,"(32, 32)",18.1940054778256
0,0.01,512,50,4,"(32, 32)",8.53998451106433
0,0.01,512,50,6,"(32, 32)",5.41143832112768
0,0.01,512,50,8,"(32, 32)",5.7172496057282
0,0.01,512,100,2,"(32, 32)",17.2223665347599
0,0.01,512,100,4,"(32, 32)",5.10544820254568
0,0.01,512,100,6,"(32, 32)",5.38559193820905
0,0.01,512,100,8,"(32, 32)",5.64840947272179
0,0.01,512,200,2,"(32, 32)",19.3099074120379
0,0.01,512,200,4,"(32, 32)",5.43481273675944
0,0.01,512,200,6,"(32, 32)",5.34529600032166
0,0.01,512,200,8,"(32, 32)",5.69318818085242
0,0.1,128,50,2,"(32, 32)",26.630981131689
0,0.1,128,50,4,"(32, 32)",38.779384964723
0,0.1,128,50,6,"(32, 32)",42.8191751218736
0,0.1,128,50,8,"(32, 32)",39.8152575054414
0,0.1,128,100,2,"(32, 32)",25.1641826372142
0,0.1,128,100,4,"(32, 32)",38.5365589998266
0,0.1,128,100,6,"(32, 32)",41.4112921181974
0,0.1,128,100,8,"(32, 32)",42.0463426230929
0,0.1,128,200,2,"(32, 32)",25.8456265968649
0,0.1,128,200,4,"(32, 32)",37.5754402708452
0,0.1,128,200,6,"(32, 32)",42.382144787007
0,0.1,128,200,8,"(32, 32)",41.9498472045007
0,0.1,224,50,2,"(32, 32)",9.08296534174903
0,0.1,224,50,4,"(32, 32)",8.20190327583735
0,0.1,224,50,6,"(32, 32)",10.028834161977
0,0.1,224,50,8,"(32, 32)",9.41383172856413
0,0.1,224,100,2,"(32, 32)",8.94281743997094
0,0.1,224,100,4,"(32, 32)",8.31456025484483
0,0.1,224,100,6,"(32, 32)",8.87909099153385
0,0.1,224,100,8,"(32, 32)",8.68328887088495
0,0.1,224,200,2,"(32, 32)",8.98360475638512
0,0.1,224,200,4,"(32, 32)",8.15934092683665
0,0.1,224,200,6,"(32, 32)",8.43475523208559
0,0.1,224,200,8,"(32, 32)",8.6606414342409
0,0.1,320,50,2,"(32, 32)",6.44684522495245
0,0.1,320,50,4,"(32, 32)",6.88951963524623
0,0.1,320,50,6,"(32, 32)",7.45236029390658
0,0.1,320,50,8,"(32, 32)",7.90273571692255
0,0.1,320,100,2,"(32, 32)",6.50701613665477
0,0.1,320,100,4,"(32, 32)",6.84208010850367
0,0.1,320,100,6,"(32, 32)",7.41388190062573
0,0.1,320,100,8,"(32, 32)",7.86607121083615
0,0.1,320,200,2,"(32, 32)",6.4396613483358
0,0.1,320,200,4,"(32, 32)",6.85764633328534
0,0.1,320,200,6,"(32, 32)",7.40344210807429
0,0.1,320,200,8,"(32, 32)",7.85296381501479
0,0.1,416,50,2,"(32, 32)",5.39728380343613
0,0.1,416,50,4,"(32, 32)",6.30215815560137
0,0.1,416,50,6,"(32, 32)",7.05306538703277
0,0.1,416,50,8,"(32, 32)",7.53236121372983
0,0.1,416,100,2,"(32, 32)",5.42699355663158
0,0.1,416,100,4,"(32, 32)",6.25461652011702
0,0.1,416,100,6,"(32, 32)",6.98558276356603
0,0.1,416,100,8,"(32, 32)",7.47262102628264
0,0.1,416,200,2,"(32, 32)",5.37823176258609
0,0.1,416,200,4,"(32, 32)",6.26193532015921
0,0.1,416,200,6,"(32, 32)",7.00372133792784
0,0.1,416,200,8,"(32, 32)",7.46027841902402
0,0.1,512,50,2,"(32, 32)",4.89262412653025
0,0.1,512,50,4,"(32, 32)",6.01678408070525
0,0.1,512,50,6,"(32, 32)",6.82341151493506
0,0.1,512,50,8,"(32, 32)",7.33677959382382
0,0.1,512,100,2,"(32, 32)",4.86452277701981
0,0.1,512,100,4,"(32, 32)",5.96636755564741
0,0.1,512,100,6,"(32, 32)",6.76311575013013
0,0.1,512,100,8,"(32, 32)",7.25115484050617
0,0.1,512,200,2,"(32, 32)",4.88105554327676
0,0.1,512,200,4,"(32, 32)",5.98492349446667
0,0.1,512,200,6,"(32, 32)",6.79059487839543
0,0.1,512,200,8,"(32, 32)",7.239122320266
0,1,128,50,2,"(32, 32)",10.836557074933
0,1,128,50,4,"(32, 32)",10.4697904610639
0,1,128,50,6,"(32, 32)",10.9799719460273
0,1,128,50,8,"(32, 32)",11.3200258965078
0,1,128,100,2,"(32, 32)",10.8606010787726
0,1,128,100,4,"(32, 32)",10.4692275208839
0,1,128,100,6,"(32, 32)",10.9477114720205
0,1,128,100,8,"(32, 32)",11.2698902198569
0,1,128,200,2,"(32, 32)",10.7574137473189
0,1,128,200,4,"(32, 32)",10.5020584631829
0,1,128,200,6,"(32, 32)",10.9192865930952
0,1,128,200,8,"(32, 32)",11.2330209396196
0,1,224,50,2,"(32, 32)",8.0161403914167
0,1,224,50,4,"(32, 32)",8.93289471398781
0,1,224,50,6,"(32, 32)",9.68765160226639
0,1,224,50,8,"(32, 32)",10.1777499295242
0,1,224,100,2,"(32, 32)",8.01335483698358
0,1,224,100,4,"(32, 32)",8.93735338637667
0,1,224,100,6,"(32, 32)",9.63233252301769
0,1,224,100,8,"(32, 32)",10.1030553671989
0,1,224,200,2,"(32, 32)",8.02798692488734
0,1,224,200,4,"(32, 32)",8.92815588283839
0,1,224,200,6,"(32, 32)",9.62432086084367
0,1,224,200,8,"(32, 32)",10.0796849189439
0,1,320,50,2,"(32, 32)",7.20171668462224
0,1,320,50,4,"(32, 32)",8.49338790424887
0,1,320,50,6,"(32, 32)",9.19421245311727
0,1,320,50,8,"(32, 32)",9.77779007920541
0,1,320,100,2,"(32, 32)",7.17217471757649
0,1,320,100,4,"(32, 32)",8.43363310189406
0,1,320,100,6,"(32, 32)",9.16685335373789
0,1,320,100,8,"(32, 32)",9.74749038871923
0,1,320,200,2,"(32, 32)",7.15633928668031
0,1,320,200,4,"(32, 32)",8.42563637161025
0,1,320,200,6,"(32, 32)",9.12962621184824
0,1,320,200,8,"(32, 32)",9.66114381893452
0,1,416,50,2,"(32, 32)",6.80637441193901
0,1,416,50,4,"(32, 32)",8.23878734294825
0,1,416,50,6,"(32, 32)",9.00833909148939
0,1,416,50,8,"(32, 32)",9.60487918045016
0,1,416,100,2,"(32, 32)",6.78606950217356
0,1,416,100,4,"(32, 32)",8.18440922063233
0,1,416,100,6,"(32, 32)",8.95705041496532
0,1,416,100,8,"(32, 32)",9.50829796033649
0,1,416,200,2,"(32, 32)",6.7726222408918
0,1,416,200,4,"(32, 32)",8.16212993910427
0,1,416,200,6,"(32, 32)",8.95761384662206
0,1,416,200,8,"(32, 32)",9.51669711382572
0,1,512,50,2,"(32, 32)",6.62754312323517
0,1,512,50,4,"(32, 32)",8.06355479829507
0,1,512,50,6,"(32, 32)",8.89279754321053
0,1,512,50,8,"(32, 32)",9.49264763866723
0,1,512,100,2,"(32, 32)",6.60827252366837
0,1,512,100,4,"(32, 32)",8.01377969362943
0,1,512,100,6,"(32, 32)",8.82610229005542
0,1,512,100,8,"(32, 32)",9.42204059309809
0,1,512,200,2,"(32, 32)",6.59803813328265
0,1,512,200,4,"(32, 32)",8.04010993502788
0,1,512,200,6,"(32, 32)",8.82680308479542
