rep,alp,num_cell,cell_size,sparse_freq,error,filter_dim
0,0.01,8,50,2,30.975746634708205,
0,0.01,8,50,4,31.548574809002837,
0,0.01,8,50,6,30.957604551572352,
0,0.01,8,50,8,30.99076742693619,
0,0.01,8,100,2,30.75252919534262,
0,0.01,8,100,4,32.010049016951335,
0,0.01,8,100,6,30.96325345345039,
0,0.01,8,100,8,30.75236378089972,
0,0.01,8,200,2,30.815935295452984,
0,0.01,8,200,4,31.49895905485301,
0,0.01,8,200,6,31.335442823729625,
0,0.01,8,200,8,31.03601068433245,
0,0.01,14,50,2,28.566022993719905,
0,0.01,14,50,4,29.686246311419296,
0,0.01,14,50,6,29.290657868972776,
0,0.01,14,50,8,29.041152759823166,
0,0.01,14,100,2,28.547294926804177,
0,0.01,14,100,4,29.433344197370253,
0,0.01,14,100,6,29.187512938927476,
0,0.01,14,100,8,29.121717996641745,
0,0.01,14,200,2,28.57831454540067,
0,0.01,14,200,4,29.87726791903276,
0,0.01,14,200,6,28.682168103551053,
0,0.01,14,200,8,29.324099264921585,
0,0.01,20,50,2,25.85371857981549,
0,0.01,20,50,4,26.318710282911105,
0,0.01,20,50,6,25.341531639989636,
0,0.01,20,50,8,25.103474292203195,
0,0.01,20,100,2,25.6648805995938,
0,0.01,20,100,4,26.185225285538305,
0,0.01,20,100,6,25.6353610793938,
0,0.01,20,100,8,24.967268688581505,
0,0.01,20,200,2,25.991211652997595,
0,0.01,20,200,4,25.611958008631216,
0,0.01,20,200,6,26.147094290875938,
0,0.01,20,200,8,24.265655890922265,
0,0.01,26,50,2,21.49372479436472,
0,0.01,26,50,4,21.65502838168137,
0,0.01,26,50,6,20.527319777281438,
0,0.01,26,50,8,20.058558567094263,
0,0.01,26,100,2,22.36318026723925,
0,0.01,26,100,4,22.06404596807216,
0,0.01,26,100,6,20.461839187755256,
0,0.01,26,100,8,20.064926618664774,
0,0.01,26,200,2,21.993356048273156,
0,0.01,26,200,4,21.281234315482703,
0,0.01,26,200,6,20.360936934191777,
0,0.01,26,200,8,19.550857540747757,
0,0.01,32,50,2,17.24103467965166,
0,0.01,32,50,2,52.3876979247978,
0,0.01,32,50,4,15.413895820223043,
0,0.01,32,50,4,59.621693261539015,
0,0.01,32,50,6,14.0571618014661,
0,0.01,32,50,6,60.52847622417895,
0,0.01,32,50,8,14.912008968432437,
0,0.01,32,50,8,60.26234236805209,
0,0.01,32,100,2,17.31579073813029,
0,0.01,32,100,2,53.23254140568584,
0,0.01,32,100,4,15.491759540073586,
0,0.01,32,100,4,59.868412491647206,
0,0.01,32,100,6,14.307642749672151,
0,0.01,32,100,6,60.19265465138344,
0,0.01,32,100,8,14.041185561332542,
0,0.01,32,100,8,60.0543916848079,
0,0.01,32,200,2,17.02816974188068,
0,0.01,32,200,2,51.64333075332775,
0,0.01,32,200,4,15.852023219994232,
0,0.01,32,200,4,59.80271680140137,
0,0.01,32,200,6,15.728783865137848,
0,0.01,32,200,6,61.097120514991445,
0,0.01,32,200,8,14.271119512579732,
0,0.01,32,200,8,60.22341788412135,
0,0.01,56,50,2,47.061626127319045,
0,0.01,56,50,4,54.27072001010341,
0,0.01,56,50,6,54.66992731759735,
0,0.01,56,50,8,54.69165340673164,
0,0.01,56,100,2,46.69388733747768,
0,0.01,56,100,4,54.85937611257475,
0,0.01,56,100,6,55.16917427948267,
0,0.01,56,100,8,55.02948788925367,
0,0.01,56,200,2,46.977586555833625,
0,0.01,56,200,4,54.54385777621584,
0,0.01,56,200,6,54.49107641256368,
0,0.01,56,200,8,54.31091653954102,
0,0.01,80,50,2,39.81327567550085,
0,0.01,80,50,4,46.08058202899151,
0,0.01,80,50,6,44.01026497658616,
0,0.01,80,50,8,44.66104337301152,
0,0.01,80,100,2,40.01933936859197,
0,0.01,80,100,4,46.135244870319966,
0,0.01,80,100,6,46.295397402422125,
0,0.01,80,100,8,43.48565893440025,
0,0.01,80,200,2,39.97875402786592,
0,0.01,80,200,4,46.12017408313304,
0,0.01,80,200,6,45.16408437594069,
0,0.01,80,200,8,44.10622575025958,
0,0.01,104,50,2,31.11110073573833,
0,0.01,104,50,4,33.12543783798197,
0,0.01,104,50,6,29.964920387970697,
0,0.01,104,50,8,30.388521050042677,
0,0.01,104,100,2,31.566731265632036,
0,0.01,104,100,4,32.052922355738,
0,0.01,104,100,6,32.98315045764016,
0,0.01,104,100,8,29.89597411083788,
0,0.01,104,200,2,31.06652069166649,
0,0.01,104,200,4,33.47010226327246,
0,0.01,104,200,6,32.219107032965844,
0,0.01,104,200,8,29.048727533569867,
0,0.01,128,50,2,73.7552760160509,"(32, 32)"
0,0.01,128,50,2,19.933157612377983,
0,0.01,128,50,4,87.2170884327089,"(32, 32)"
0,0.01,128,50,4,20.283413200043555,
0,0.01,128,50,6,90.9306925005141,"(32, 32)"
0,0.01,128,50,6,15.61198652414165,
0,0.01,128,50,8,92.4950896738283,"(32, 32)"
0,0.01,128,50,8,13.947221453289176,
0,0.01,128,100,2,73.560964952397,"(32, 32)"
0,0.01,128,100,2,19.915576133506462,
0,0.01,128,100,4,86.1709334708522,"(32, 32)"
0,0.01,128,100,4,18.37578233363932,
0,0.01,128,100,6,90.1715950902872,"(32, 32)"
0,0.01,128,100,6,15.042815329245558,
0,0.01,128,100,8,92.6335162573353,"(32, 32)"
0,0.01,128,100,8,14.510939056274816,
0,0.01,128,200,2,72.3921632066047,"(32, 32)"
0,0.01,128,200,2,20.827539182467447,
0,0.01,128,200,4,86.1964144781933,"(32, 32)"
0,0.01,128,200,4,16.709489828342644,
0,0.01,128,200,6,90.3726358909105,"(32, 32)"
0,0.01,128,200,6,15.660436257123482,
0,0.01,128,200,8,92.0652401393982,"(32, 32)"
0,0.01,128,200,8,12.698145867715615,
0,0.01,224,50,2,64.3367978713058,"(32, 32)"
0,0.01,224,50,4,76.492961784171,"(32, 32)"
0,0.01,224,50,6,80.7221084232787,"(32, 32)"
0,0.01,224,50,8,80.4885005437895,"(32, 32)"
0,0.01,224,100,2,63.3553706360703,"(32, 32)"
0,0.01,224,100,4,77.2153157512955,"(32, 32)"
0,0.01,224,100,6,80.001832011227,"(32, 32)"
0,0.01,224,100,8,80.2374218979726,"(32, 32)"
