rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",24.90330865164941
0,0.01,224,"(32, 32)",20.432296137080375
0,0.01,320,"(32, 32)",17.678814915773394
0,0.01,416,"(32, 32)",15.644983802755329
0,0.01,512,"(32, 32)",13.642993070371798
0,0.1,128,"(32, 32)",22.461628046450024
0,0.1,224,"(32, 32)",18.064196233070405
0,0.1,320,"(32, 32)",15.089319309381022
0,0.1,416,"(32, 32)",12.711301529917094
0,0.1,512,"(32, 32)",10.67369660543401
0,1.0,128,"(32, 32)",18.553319850911706
0,1.0,224,"(32, 32)",14.55398900254602
0,1.0,320,"(32, 32)",11.68690105678298
0,1.0,416,"(32, 32)",9.66342952940494
0,1.0,512,"(32, 32)",7.844703889878384
0,10.0,128,"(32, 32)",19.869440032794
0,10.0,224,"(32, 32)",15.373494640561686
0,10.0,320,"(32, 32)",12.42940284503759
0,10.0,416,"(32, 32)",10.467033587137179
0,10.0,512,"(32, 32)",9.404542685650414
1,0.01,128,"(32, 32)",24.937803338292557
1,0.01,224,"(32, 32)",20.54742584070324
1,0.01,320,"(32, 32)",17.79732458603411
1,0.01,416,"(32, 32)",15.640883162556273
1,0.01,512,"(32, 32)",13.517544260631617
1,0.1,128,"(32, 32)",22.397567961000295
1,0.1,224,"(32, 32)",17.894918587886615
1,0.1,320,"(32, 32)",15.010484464528894
1,0.1,416,"(32, 32)",12.597006705638229
1,0.1,512,"(32, 32)",10.669949046391359
1,1.0,128,"(32, 32)",18.73098798077891
1,1.0,224,"(32, 32)",14.787733273185811
1,1.0,320,"(32, 32)",11.875192901650735
1,1.0,416,"(32, 32)",9.660857351415778
1,1.0,512,"(32, 32)",7.869469774699698
1,10.0,128,"(32, 32)",19.849810298138124
1,10.0,224,"(32, 32)",15.39694248414624
1,10.0,320,"(32, 32)",12.499534903456784
1,10.0,416,"(32, 32)",10.594601037154472
1,10.0,512,"(32, 32)",9.359493197552903
2,0.01,128,"(32, 32)",24.875021162934623
2,0.01,224,"(32, 32)",20.54789358885043
2,0.01,320,"(32, 32)",17.68838595810071
2,0.01,416,"(32, 32)",15.530486120708128
2,0.01,512,"(32, 32)",13.625628955568049
2,0.1,128,"(32, 32)",22.271124337997946
2,0.1,224,"(32, 32)",17.846431497290993
2,0.1,320,"(32, 32)",14.96638039964392
2,0.1,416,"(32, 32)",12.802526397528881
2,0.1,512,"(32, 32)",10.826033397093797
2,1.0,128,"(32, 32)",18.66276152951955
2,1.0,224,"(32, 32)",14.458736373751158
2,1.0,320,"(32, 32)",11.708569959826452
2,1.0,416,"(32, 32)",9.54079252234036
2,1.0,512,"(32, 32)",7.914658007194601
2,10.0,128,"(32, 32)",19.8832043682221
2,10.0,224,"(32, 32)",15.437566100685597
2,10.0,320,"(32, 32)",12.417535141307058
2,10.0,416,"(32, 32)",10.563697701892217
2,10.0,512,"(32, 32)",9.377912958907421
3,0.01,128,"(32, 32)",24.705083143306272
3,0.01,224,"(32, 32)",20.627853935921426
3,0.01,320,"(32, 32)",17.59951758157035
3,0.01,416,"(32, 32)",15.51851655536384
3,0.01,512,"(32, 32)",13.439234705889337
3,0.1,128,"(32, 32)",22.60184723048053
3,0.1,224,"(32, 32)",17.8560232519935
3,0.1,320,"(32, 32)",15.014497236281366
3,0.1,416,"(32, 32)",12.654800294335029
3,0.1,512,"(32, 32)",10.739477108350806
3,1.0,128,"(32, 32)",18.516311774413794
3,1.0,224,"(32, 32)",14.558143193197497
3,1.0,320,"(32, 32)",11.775739843366216
3,1.0,416,"(32, 32)",9.676510983155493
3,1.0,512,"(32, 32)",7.9204208574316235
3,10.0,128,"(32, 32)",20.18960314681371
3,10.0,224,"(32, 32)",15.281998879272756
3,10.0,320,"(32, 32)",12.431695705150958
3,10.0,416,"(32, 32)",10.543757315533083
3,10.0,512,"(32, 32)",9.324121175062874
4,0.01,128,"(32, 32)",24.77604607183837
4,0.01,224,"(32, 32)",20.62822785983932
4,0.01,320,"(32, 32)",17.74024437393063
4,0.01,416,"(32, 32)",15.595957506143932
4,0.01,512,"(32, 32)",13.636770361412287
4,0.1,128,"(32, 32)",22.326338123232837
4,0.1,224,"(32, 32)",18.079202921522505
4,0.1,320,"(32, 32)",14.958503035040518
4,0.1,416,"(32, 32)",12.732934339040794
4,0.1,512,"(32, 32)",10.647400165277016
4,1.0,128,"(32, 32)",18.614431672704992
4,1.0,224,"(32, 32)",14.68069819959819
4,1.0,320,"(32, 32)",11.840332021181931
4,1.0,416,"(32, 32)",9.676653296390993
4,1.0,512,"(32, 32)",7.875286036549447
4,10.0,128,"(32, 32)",19.632912662491957
4,10.0,224,"(32, 32)",15.404881909891904
4,10.0,320,"(32, 32)",12.37894446191641
4,10.0,416,"(32, 32)",10.530389133664363
4,10.0,512,"(32, 32)",9.263183477927658
5,0.01,128,"(32, 32)",24.906630375540935
5,0.01,224,"(32, 32)",20.388268579418504
5,0.01,320,"(32, 32)",17.763562568382774
5,0.01,416,"(32, 32)",15.580811417179936
5,0.01,512,"(32, 32)",13.622165210045194
5,0.1,128,"(32, 32)",22.472869283222398
5,0.1,224,"(32, 32)",17.843627074130545
5,0.1,320,"(32, 32)",15.188332114951992
5,0.1,416,"(32, 32)",12.700237025654777
5,0.1,512,"(32, 32)",10.723110724373676
5,1.0,128,"(32, 32)",18.632251940598316
5,1.0,224,"(32, 32)",14.712921997344754
5,1.0,320,"(32, 32)",11.80734560291887
5,1.0,416,"(32, 32)",9.64078169189923
5,1.0,512,"(32, 32)",7.879494731601881
