rep,alp,num_cell,error
0,0.01,8,22.35653956446765
0,0.01,14,18.587785036509235
0,0.01,20,16.177369471580338
0,0.01,26,13.980084422761163
0,0.01,32,12.491854035183414
0,0.1,8,21.299374831790196
0,0.1,14,15.575094373977347
0,0.1,20,12.37791747564733
0,0.1,26,10.28251904479122
0,0.1,32,8.561911681074589
0,1.0,8,40.627707053737794
0,1.0,14,20.424128740047617
0,1.0,20,14.824904129207228
0,1.0,26,11.844366616173703
0,1.0,32,9.304231390675978
0,10.0,8,47.896890043150655
0,10.0,14,21.42279340137322
0,10.0,20,15.634734638476477
0,10.0,26,12.397052882278741
0,10.0,32,10.64380677723819
1,0.01,8,22.630720226847394
1,0.01,14,18.68147532843103
1,0.01,20,16.058943655349303
1,0.01,26,14.233132937328659
1,0.01,32,12.385143554003381
1,0.1,8,21.16757507577623
1,0.1,14,15.371804502309628
1,0.1,20,12.480427181073182
1,0.1,26,10.336276117315592
1,0.1,32,8.52509955294924
1,1.0,8,39.010325703262325
1,1.0,14,20.712134132077644
1,1.0,20,14.861562990981538
1,1.0,26,11.637772793138591
1,1.0,32,9.26382608946854
1,10.0,8,51.220589810110596
1,10.0,14,21.020045930792282
1,10.0,20,15.527140943054471
1,10.0,26,12.363483811778593
1,10.0,32,10.542066503689535
2,0.01,8,22.61275779024688
2,0.01,14,18.477454288567024
2,0.01,20,16.09815056645192
2,0.01,26,14.154000143502044
2,0.01,32,12.3068470637145
2,0.1,8,21.527952786079496
2,0.1,14,15.439221614330059
2,0.1,20,12.483184948706922
2,0.1,26,10.379669058049908
2,0.1,32,8.552997523212554
2,1.0,8,39.68620247709804
2,1.0,14,20.706401568548042
2,1.0,20,14.899556126479515
2,1.0,26,11.633183869838167
2,1.0,32,9.27117496389652
2,10.0,8,50.10219452823809
2,10.0,14,21.105104275581162
2,10.0,20,15.554577998068545
2,10.0,26,12.640082386569235
2,10.0,32,10.73308190076937
3,0.01,8,22.71508440462587
3,0.01,14,18.525178631990784
3,0.01,20,15.902206416557261
3,0.01,26,14.071254056936905
3,0.01,32,12.375757059387064
3,0.1,8,21.194056033931627
3,0.1,14,15.319992536737203
3,0.1,20,12.488647646476451
3,0.1,26,10.203089107900118
3,0.1,32,8.518715170035524
3,1.0,8,40.30415156067825
3,1.0,14,20.138751905421188
