rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",24.90330865
0,0.01,224,"(32, 32)",20.43229614
0,0.01,320,"(32, 32)",17.67881492
0,0.01,416,"(32, 32)",15.6449838
0,0.01,512,"(32, 32)",13.64299307
0,0.1,128,"(32, 32)",22.46162805
0,0.1,224,"(32, 32)",18.06419623
0,0.1,320,"(32, 32)",15.08931931
0,0.1,416,"(32, 32)",12.71130153
0,0.1,512,"(32, 32)",10.67369661
0,1,128,"(32, 32)",18.55331985
0,1,224,"(32, 32)",14.553989
0,1,320,"(32, 32)",11.68690106
0,1,416,"(32, 32)",9.663429529
0,1,512,"(32, 32)",7.84470389
0,10,128,"(32, 32)",19.86944003
0,10,224,"(32, 32)",15.37349464
0,10,320,"(32, 32)",12.42940285
0,10,416,"(32, 32)",10.46703359
0,10,512,"(32, 32)",9.404542686
1,0.01,128,"(32, 32)",24.93780334
1,0.01,224,"(32, 32)",20.54742584
1,0.01,320,"(32, 32)",17.79732459
1,0.01,416,"(32, 32)",15.64088316
1,0.01,512,"(32, 32)",13.51754426
1,0.1,128,"(32, 32)",22.39756796
1,0.1,224,"(32, 32)",17.89491859
1,0.1,320,"(32, 32)",15.01048446
1,0.1,416,"(32, 32)",12.59700671
1,0.1,512,"(32, 32)",10.66994905
1,1,128,"(32, 32)",18.73098798
1,1,224,"(32, 32)",14.78773327
1,1,320,"(32, 32)",11.8751929
1,1,416,"(32, 32)",9.660857351
1,1,512,"(32, 32)",7.869469775
1,10,128,"(32, 32)",19.8498103
1,10,224,"(32, 32)",15.39694248
1,10,320,"(32, 32)",12.4995349
1,10,416,"(32, 32)",10.59460104
1,10,512,"(32, 32)",9.359493198
2,0.01,128,"(32, 32)",24.87502116
2,0.01,224,"(32, 32)",20.54789359
2,0.01,320,"(32, 32)",17.68838596
2,0.01,416,"(32, 32)",15.53048612
2,0.01,512,"(32, 32)",13.62562896
2,0.1,128,"(32, 32)",22.27112434
2,0.1,224,"(32, 32)",17.8464315
2,0.1,320,"(32, 32)",14.9663804
2,0.1,416,"(32, 32)",12.8025264
2,0.1,512,"(32, 32)",10.8260334
2,1,128,"(32, 32)",18.66276153
2,1,224,"(32, 32)",14.45873637
2,1,320,"(32, 32)",11.70856996
2,1,416,"(32, 32)",9.540792522
2,1,512,"(32, 32)",7.914658007
2,10,128,"(32, 32)",19.88320437
2,10,224,"(32, 32)",15.4375661
2,10,320,"(32, 32)",12.41753514
2,10,416,"(32, 32)",10.5636977
2,10,512,"(32, 32)",9.377912959
3,0.01,128,"(32, 32)",24.70508314
3,0.01,224,"(32, 32)",20.62785394
3,0.01,320,"(32, 32)",17.59951758
3,0.01,416,"(32, 32)",15.51851656
3,0.01,512,"(32, 32)",13.43923471
3,0.1,128,"(32, 32)",22.60184723
3,0.1,224,"(32, 32)",17.85602325
3,0.1,320,"(32, 32)",15.01449724
3,0.1,416,"(32, 32)",12.65480029
3,0.1,512,"(32, 32)",10.73947711
3,1,128,"(32, 32)",18.51631177
3,1,224,"(32, 32)",14.55814319
3,1,320,"(32, 32)",11.77573984
3,1,416,"(32, 32)",9.676510983
3,1,512,"(32, 32)",7.920420857
3,10,128,"(32, 32)",20.18960315
3,10,224,"(32, 32)",15.28199888
3,10,320,"(32, 32)",12.43169571
3,10,416,"(32, 32)",10.54375732
3,10,512,"(32, 32)",9.324121175
4,0.01,128,"(32, 32)",24.77604607
4,0.01,224,"(32, 32)",20.62822786
4,0.01,320,"(32, 32)",17.74024437
4,0.01,416,"(32, 32)",15.59595751
4,0.01,512,"(32, 32)",13.63677036
4,0.1,128,"(32, 32)",22.32633812
4,0.1,224,"(32, 32)",18.07920292
4,0.1,320,"(32, 32)",14.95850304
4,0.1,416,"(32, 32)",12.73293434
4,0.1,512,"(32, 32)",10.64740017
4,1,128,"(32, 32)",18.61443167
4,1,224,"(32, 32)",14.6806982
4,1,320,"(32, 32)",11.84033202
4,1,416,"(32, 32)",9.676653296
4,1,512,"(32, 32)",7.875286037
4,10,128,"(32, 32)",19.63291266
4,10,224,"(32, 32)",15.40488191
4,10,320,"(32, 32)",12.37894446
4,10,416,"(32, 32)",10.53038913
4,10,512,"(32, 32)",9.263183478
5,0.01,128,"(32, 32)",24.90663038
5,0.01,224,"(32, 32)",20.38826858
5,0.01,320,"(32, 32)",17.76356257
5,0.01,416,"(32, 32)",15.58081142
5,0.01,512,"(32, 32)",13.62216521
5,0.1,128,"(32, 32)",22.47286928
5,0.1,224,"(32, 32)",17.84362707
5,0.1,320,"(32, 32)",15.18833211
5,0.1,416,"(32, 32)",12.70023703
5,0.1,512,"(32, 32)",10.72311072
5,1,128,"(32, 32)",18.63225194
5,1,224,"(32, 32)",14.712922
5,1,320,"(32, 32)",11.8073456
5,1,416,"(32, 32)",9.640781692
5,1,512,"(32, 32)",7.879494732
5,10,128,"(32, 32)",20.18797051
5,10,224,"(32, 32)",15.29054274
5,10,320,"(32, 32)",12.40920055
5,10,416,"(32, 32)",10.60864597
5,10,512,"(32, 32)",9.278448331
6,0.01,128,"(32, 32)",24.90539848
6,0.01,224,"(32, 32)",20.51644257
6,0.01,320,"(32, 32)",17.72073122
6,0.01,416,"(32, 32)",15.59142009
6,0.01,512,"(32, 32)",13.60482807
6,0.1,128,"(32, 32)",22.57114995
6,0.1,224,"(32, 32)",18.05668309
6,0.1,320,"(32, 32)",14.96921789
6,0.1,416,"(32, 32)",12.7037445
6,0.1,512,"(32, 32)",10.64689033
6,1,128,"(32, 32)",18.53492862
6,1,224,"(32, 32)",14.65069748
6,1,320,"(32, 32)",11.80045847
6,1,416,"(32, 32)",9.689617688
