rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",24.592540667609704
0,0.01,224,"(32, 32)",20.801825641327902
0,0.01,320,"(32, 32)",18.05512633506334
0,0.01,416,"(32, 32)",16.172841390585006
0,0.01,512,"(32, 32)",14.580322361693463
0,0.1,128,"(32, 32)",22.58899221805812
0,0.1,224,"(32, 32)",18.513711230045732
0,0.1,320,"(32, 32)",15.60415247401707
0,0.1,416,"(32, 32)",13.89049839781662
0,0.1,512,"(32, 32)",12.249652779776971
0,1.0,128,"(32, 32)",19.17454275210226
0,1.0,224,"(32, 32)",15.489085507767829
0,1.0,320,"(32, 32)",13.062949724988538
0,1.0,416,"(32, 32)",11.313628756866356
0,1.0,512,"(32, 32)",9.923194040643452
0,10.0,128,"(32, 32)",20.7870990065334
0,10.0,224,"(32, 32)",16.044960271751073
0,10.0,320,"(32, 32)",13.641257289988344
0,10.0,416,"(32, 32)",11.689754819362825
0,10.0,512,"(32, 32)",10.41150667689163
1,0.01,128,"(32, 32)",24.882189147902405
1,0.01,224,"(32, 32)",20.65043856175865
1,0.01,320,"(32, 32)",18.189707304207623
1,0.01,416,"(32, 32)",16.097902817701872
1,0.01,512,"(32, 32)",14.652140287218721
1,0.1,128,"(32, 32)",22.70006312222884
1,0.1,224,"(32, 32)",18.58150169800017
1,0.1,320,"(32, 32)",15.828906327118602
1,0.1,416,"(32, 32)",13.994065661871796
1,0.1,512,"(32, 32)",12.3363860364644
1,1.0,128,"(32, 32)",19.22528451379148
1,1.0,224,"(32, 32)",15.345739293938857
1,1.0,320,"(32, 32)",13.057030805922029
1,1.0,416,"(32, 32)",11.27310419151677
1,1.0,512,"(32, 32)",9.877355173990368
1,10.0,128,"(32, 32)",20.46251144269042
1,10.0,224,"(32, 32)",16.193371506938224
1,10.0,320,"(32, 32)",13.559782397569425
1,10.0,416,"(32, 32)",11.698232853127276
1,10.0,512,"(32, 32)",10.460932577073617
2,0.01,128,"(32, 32)",25.009476887243842
2,0.01,224,"(32, 32)",20.696491327405738
2,0.01,320,"(32, 32)",18.01153872781973
2,0.01,416,"(32, 32)",16.186929464411705
2,0.01,512,"(32, 32)",14.50390848559941
2,0.1,128,"(32, 32)",22.921614132510328
2,0.1,224,"(32, 32)",18.2858474036889
2,0.1,320,"(32, 32)",15.853039548144674
2,0.1,416,"(32, 32)",13.8011369872599
2,0.1,512,"(32, 32)",12.406086418553167
2,1.0,128,"(32, 32)",19.092376210040047
2,1.0,224,"(32, 32)",15.351904914279215
2,1.0,320,"(32, 32)",13.126436427396078
2,1.0,416,"(32, 32)",11.362252942579318
2,1.0,512,"(32, 32)",9.926803878474644
2,10.0,128,"(32, 32)",20.420085895742503
2,10.0,224,"(32, 32)",16.238692472278316
2,10.0,320,"(32, 32)",13.60236094682231
2,10.0,416,"(32, 32)",11.754734627516271
2,10.0,512,"(32, 32)",10.397115094525903
3,0.01,128,"(32, 32)",24.679359040183304
3,0.01,224,"(32, 32)",20.76649104738551
3,0.01,320,"(32, 32)",17.878105267315625
3,0.01,416,"(32, 32)",16.015721584121877
3,0.01,512,"(32, 32)",14.534936974503301
3,0.1,128,"(32, 32)",22.57650389873939
3,0.1,224,"(32, 32)",18.4282336726873
3,0.1,320,"(32, 32)",15.9416710276115
3,0.1,416,"(32, 32)",13.854970135252204
3,0.1,512,"(32, 32)",12.26490950714704
3,1.0,128,"(32, 32)",18.734117113236245
3,1.0,224,"(32, 32)",15.536762571750188
3,1.0,320,"(32, 32)",13.01633835173756
3,1.0,416,"(32, 32)",11.22720621768148
3,1.0,512,"(32, 32)",9.878133542214949
3,10.0,128,"(32, 32)",20.31561471386954
3,10.0,224,"(32, 32)",16.18335921301509
3,10.0,320,"(32, 32)",13.734040170522205
3,10.0,416,"(32, 32)",11.769557179277777
3,10.0,512,"(32, 32)",10.623857144992446
4,0.01,128,"(32, 32)",24.782873959143735
4,0.01,224,"(32, 32)",20.7877330333427
4,0.01,320,"(32, 32)",17.895155846854287
4,0.01,416,"(32, 32)",16.22462841954462
4,0.01,512,"(32, 32)",14.522429252211836
4,0.1,128,"(32, 32)",22.56832320285937
4,0.1,224,"(32, 32)",18.49733488114107
4,0.1,320,"(32, 32)",15.825891305130547
4,0.1,416,"(32, 32)",13.77853996636568
4,0.1,512,"(32, 32)",12.151812765892767
4,1.0,128,"(32, 32)",19.149415033634085
4,1.0,224,"(32, 32)",15.425283068960788
4,1.0,320,"(32, 32)",13.021029995259637
4,1.0,416,"(32, 32)",11.338428773027399
4,1.0,512,"(32, 32)",9.888208946921505
4,10.0,128,"(32, 32)",20.491586214610628
4,10.0,224,"(32, 32)",16.280149221275344
4,10.0,320,"(32, 32)",13.492185944964083
4,10.0,416,"(32, 32)",11.657985200153668
4,10.0,512,"(32, 32)",10.485978892140496
5,0.01,128,"(32, 32)",24.790455978280917
5,0.01,224,"(32, 32)",20.60893150702695
5,0.01,320,"(32, 32)",18.04361135854334
5,0.01,416,"(32, 32)",16.20145453999195
5,0.01,512,"(32, 32)",14.533111649901945
5,0.1,128,"(32, 32)",22.76540121729087
5,0.1,224,"(32, 32)",18.29792293997426
5,0.1,320,"(32, 32)",15.915469871916962
5,0.1,416,"(32, 32)",13.930556547790944
5,0.1,512,"(32, 32)",12.191045939735291
5,1.0,128,"(32, 32)",18.904026373626483
5,1.0,224,"(32, 32)",15.427121646824084
5,1.0,320,"(32, 32)",13.075964454105453
5,1.0,416,"(32, 32)",11.3282411766672
5,1.0,512,"(32, 32)",9.959885629204091
5,10.0,128,"(32, 32)",20.411095877743065
5,10.0,224,"(32, 32)",15.996284530303093
