rep,alp,num_cell,error
0,0.01,32,23.081319103659162
0,0.01,56,19.459922099413305
0,0.01,80,17.00434752578975
0,0.01,104,15.22019697826309
0,0.01,128,13.737742561232938
0,0.1,32,19.1906422580032
0,0.1,56,15.67154748789293
0,0.1,80,13.078046828096719
0,0.1,104,11.688285107685598
0,0.1,128,10.518425351786432
0,1.0,32,21.252726570683404
0,1.0,56,16.622116527176
0,1.0,80,13.674732262816585
0,1.0,104,11.883034648235773
0,1.0,128,10.414412129879743
0,10.0,32,22.9740577844926
0,10.0,56,17.644200681470053
0,10.0,80,14.41131727753671
0,10.0,104,12.422156295950217
0,10.0,128,10.81063932605003
1,0.01,32,23.34754473828879
1,0.01,56,19.594782605864598
1,0.01,80,17.02050431056859
1,0.01,104,15.289264223447274
1,0.01,128,14.131625216807533
1,0.1,32,19.025016377626205
1,0.1,56,15.615957588591595
1,0.1,80,13.36416301031638
1,0.1,104,11.670481485013418
1,0.1,128,10.514718774797828
1,1.0,32,21.159251328403954
1,1.0,56,16.84101927637796
1,1.0,80,13.65020254914074
1,1.0,104,11.912949326838353
1,1.0,128,10.334874889279057
1,10.0,32,22.672153126793784
1,10.0,56,17.311848101409602
1,10.0,80,14.191697898616834
1,10.0,104,12.352568979292672
1,10.0,128,10.930583925276352
2,0.01,32,23.21290837320525
2,0.01,56,19.46528352152216
2,0.01,80,17.0495169294281
2,0.01,104,15.308060481270715
2,0.01,128,13.944097214859454
2,0.1,32,19.248947709291514
2,0.1,56,15.774149107315248
2,0.1,80,13.459634975794872
2,0.1,104,11.723003622550245
2,0.1,128,10.424280440931241
2,1.0,32,21.186773867246885
2,1.0,56,16.686932729158787
2,1.0,80,13.753239475459443
2,1.0,104,11.914776810041616
2,1.0,128,10.409269427517401
2,10.0,32,22.609868168807175
2,10.0,56,17.41732955960922
2,10.0,80,14.585011776202407
2,10.0,104,12.315356702575444
2,10.0,128,10.725543746858314
3,0.01,32,23.058964569454997
3,0.01,56,19.626183249404583
3,0.01,80,17.210964429698347
3,0.01,104,15.13647353632023
3,0.01,128,13.810821431208801
3,0.1,32,19.29772383950351
3,0.1,56,15.512857088440759
3,0.1,80,13.13199450902856
3,0.1,104,11.7942821356355
3,0.1,128,10.463187034955784
3,1.0,32,21.469182661158378
3,1.0,56,16.77338701159728
3,1.0,80,13.831519379472617
3,1.0,104,11.76945151711293
3,1.0,128,10.440179537986902
3,10.0,32,22.867307693275045
3,10.0,56,17.473523956524296
3,10.0,80,14.603792251960712
3,10.0,104,12.325379272567902
3,10.0,128,10.81253545678119
4,0.01,32,23.44097386364887
4,0.01,56,19.5469273018385
4,0.01,80,17.20685755179781
4,0.01,104,15.250605461733738
4,0.01,128,13.866598661573866
4,0.1,32,19.264593661409236
4,0.1,56,15.575289331384752
4,0.1,80,13.515288984939817
4,0.1,104,11.649153198115059
4,0.1,128,10.503038784082975
4,1.0,32,21.390576671158424
4,1.0,56,16.41874268600249
4,1.0,80,13.83747476990699
4,1.0,104,11.803674539544796
4,1.0,128,10.427498234062988
4,10.0,32,22.50701277906645
4,10.0,56,17.477424665115986
4,10.0,80,14.54452308793481
4,10.0,104,12.291100664631125
4,10.0,128,10.911772720554131
5,0.01,32,23.224644689233937
5,0.01,56,19.557263730804227
5,0.01,80,17.0190622380221
5,0.01,104,15.369548296275429
5,0.01,128,13.797730018673828
5,0.1,32,19.190305125805928
5,0.1,56,15.534047786233954
5,0.1,80,13.414283888361274
5,0.1,104,11.837113828714553
5,0.1,128,10.386728849832904
5,1.0,32,21.28485740077986
5,1.0,56,16.454201687527355
5,1.0,80,13.807843972749014
5,1.0,104,11.92509303026679
5,1.0,128,10.475922726433927
5,10.0,32,22.542175860714963
5,10.0,56,17.493516429392624
5,10.0,80,14.418757175002279
5,10.0,104,12.373682896044542
5,10.0,128,10.963665514659501
6,0.01,32,23.082888308572123
6,0.01,56,19.591524085928626
6,0.01,80,17.297835656757847
6,0.01,104,15.317178190625997
6,0.01,128,13.964742269080576
6,0.1,32,19.14063835299279
6,0.1,56,15.683244834809663
6,0.1,80,13.318958417245415
6,0.1,104,11.699731800885287
6,0.1,128,10.579063114732705
6,1.0,32,21.060620866482978
6,1.0,56,16.584935147673598
6,1.0,80,13.797585422633666
6,1.0,104,11.835903014079298
6,1.0,128,10.35746220439301
6,10.0,32,22.674871035107127
6,10.0,56,17.40002417727139
6,10.0,80,14.46177805266628
6,10.0,104,12.328565156957467
6,10.0,128,10.785687138894094
7,0.01,32,23.179236489624575
7,0.01,56,19.601285176084737
7,0.01,80,17.150312886845512
7,0.01,104,15.161856269222593
7,0.01,128,13.946845646202725
7,0.1,32,19.344412796916828
7,0.1,56,15.623224020162409
7,0.1,80,13.298770612529848
7,0.1,104,11.631164557026812
7,0.1,128,10.466175821866768
7,1.0,32,21.158819180660178
7,1.0,56,16.610130142170583
7,1.0,80,13.603990648113335
7,1.0,104,11.806378105280372
7,1.0,128,10.413071238222885
7,10.0,32,22.45422581447622
7,10.0,56,17.579342948256958
7,10.0,80,14.419496085876423
7,10.0,104,12.382147834340175
7,10.0,128,10.894594276440136
8,0.01,32,23.35648538839879
8,0.01,56,19.60041269918865
8,0.01,80,17.05846002280421
8,0.01,104,15.270495415765657
8,0.01,128,14.087832272121975
8,0.1,32,19.285686062988944
8,0.1,56,15.524378647709574
8,0.1,80,13.263309631658831
8,0.1,104,11.711993494959625
8,0.1,128,10.524535259941132
8,1.0,32,21.163776450690108
8,1.0,56,16.635221967073324
8,1.0,80,13.943787118955525
8,1.0,104,11.996532575008588
8,1.0,128,10.30475468935402
8,10.0,32,22.87798694224518
8,10.0,56,17.342093063799886
8,10.0,80,14.296940370837572
8,10.0,104,12.487611506272598
8,10.0,128,10.779531856131486
9,0.01,32,23.20909885351616
9,0.01,56,19.57738564717149
9,0.01,80,17.176042767759753
9,0.01,104,15.340955180603048
9,0.01,128,13.761480913535205
9,0.1,32,19.377814106999523
9,0.1,56,15.727026518008563
9,0.1,80,13.261303093173156
9,0.1,104,11.686345497269151
9,0.1,128,10.52954721692751
9,1.0,32,21.43494820490871
9,1.0,56,16.6695447471254
9,1.0,80,13.787644059923528
9,1.0,104,11.902698537848892
9,1.0,128,10.392749173442034
9,10.0,32,22.82835861180518
9,10.0,56,17.417592816467597
9,10.0,80,14.354610412264439
9,10.0,104,12.30115850311664
9,10.0,128,10.977622418799372
