rep,alp,num_cell,filter_dim,error
0,0.01,8,,20.880898927068284
0,0.01,14,,18.109201320180688
0,0.01,20,,15.775449264585516
0,0.01,26,,14.282136651693488
0,0.01,32,,23.08131910365916
0,0.01,32,,12.998873295008966
0,0.01,56,,19.459922099413305
0,0.01,80,,17.00434752578975
0,0.01,104,,15.22019697826309
0,0.01,128,"(32, 32)",24.592540667609704
0,0.01,128,,13.737742561232938
0,0.01,224,"(32, 32)",20.801825641327905
0,0.01,320,"(32, 32)",18.05512633506334
0,0.01,416,"(32, 32)",16.172841390585006
0,0.01,512,"(32, 32)",14.580322361693463
0,0.1,8,,18.932734428031345
0,0.1,14,,15.277151981984863
0,0.1,20,,13.146274436325136
0,0.1,26,,11.476780878304387
0,0.1,32,,19.1906422580032
0,0.1,32,,10.07226619309917
0,0.1,56,,15.67154748789293
0,0.1,80,,13.07804682809672
0,0.1,104,,11.688285107685598
0,0.1,128,"(32, 32)",22.58899221805812
0,0.1,128,,10.518425351786432
0,0.1,224,"(32, 32)",18.51371123004573
0,0.1,320,"(32, 32)",15.60415247401707
0,0.1,416,"(32, 32)",13.89049839781662
0,0.1,512,"(32, 32)",12.249652779776971
0,1.0,8,,27.264559994422303
0,1.0,14,,20.167183209994604
0,1.0,20,,16.35282304755836
0,1.0,26,,13.767441524716007
0,1.0,32,,21.252726570683404
0,1.0,32,,11.96653053680886
0,1.0,56,,16.622116527176
0,1.0,80,,13.674732262816583
0,1.0,104,,11.883034648235771
0,1.0,128,"(32, 32)",19.17454275210226
0,1.0,128,,10.414412129879745
0,1.0,224,"(32, 32)",15.489085507767829
0,1.0,320,"(32, 32)",13.062949724988538
0,1.0,416,"(32, 32)",11.313628756866356
0,1.0,512,"(32, 32)",9.923194040643452
0,10.0,8,,31.656424127459463
0,10.0,14,,21.674985853496366
0,10.0,20,,16.815993729514886
0,10.0,26,,14.235112762594104
0,10.0,32,,22.9740577844926
0,10.0,32,,12.25014978434017
0,10.0,56,,17.644200681470053
0,10.0,80,,14.41131727753671
0,10.0,104,,12.422156295950217
0,10.0,128,"(32, 32)",20.7870990065334
0,10.0,128,,10.81063932605003
0,10.0,224,"(32, 32)",16.044960271751073
0,10.0,320,"(32, 32)",13.641257289988344
0,10.0,416,"(32, 32)",11.689754819362824
0,10.0,512,"(32, 32)",10.41150667689163
1,0.01,8,,20.998089748874936
1,0.01,14,,17.89839913652589
1,0.01,20,,15.93706987585947
1,0.01,26,,14.214866426412597
1,0.01,32,,23.34754473828879
1,0.01,32,,13.012219628090287
1,0.01,56,,19.5947826058646
1,0.01,80,,17.02050431056859
1,0.01,104,,15.289264223447274
1,0.01,128,"(32, 32)",24.882189147902405
1,0.01,128,,14.131625216807532
1,0.01,224,"(32, 32)",20.65043856175865
1,0.01,320,"(32, 32)",18.189707304207623
1,0.01,416,"(32, 32)",16.097902817701872
1,0.01,512,"(32, 32)",14.65214028721872
1,0.1,8,,18.686158811482088
1,0.1,14,,15.40112578500535
1,0.1,20,,12.8381212063767
1,0.1,26,,11.528092445664678
1,0.1,32,,19.025016377626205
1,0.1,32,,10.182110255870112
1,0.1,56,,15.615957588591597
1,0.1,80,,13.36416301031638
1,0.1,104,,11.670481485013418
1,0.1,128,"(32, 32)",22.70006312222884
1,0.1,128,,10.514718774797828
1,0.1,224,"(32, 32)",18.58150169800017
1,0.1,320,"(32, 32)",15.828906327118602
1,0.1,416,"(32, 32)",13.994065661871796
1,0.1,512,"(32, 32)",12.3363860364644
1,1.0,8,,27.56313366496744
1,1.0,14,,20.30223138506323
1,1.0,20,,16.306517574619573
1,1.0,26,,13.724628136327365
1,1.0,32,,21.159251328403958
1,1.0,32,,11.858227419207086
1,1.0,56,,16.84101927637796
1,1.0,80,,13.65020254914074
1,1.0,104,,11.912949326838351
1,1.0,128,"(32, 32)",19.22528451379148
1,1.0,128,,10.334874889279057
1,1.0,224,"(32, 32)",15.345739293938855
1,1.0,320,"(32, 32)",13.057030805922029
1,1.0,416,"(32, 32)",11.27310419151677
1,1.0,512,"(32, 32)",9.877355173990368
1,10.0,8,,31.96465411754058
1,10.0,14,,21.539233760823944
1,10.0,20,,16.897111323040765
1,10.0,26,,14.10463468525478
1,10.0,32,,22.672153126793784
1,10.0,32,,12.439969531693512
1,10.0,56,,17.311848101409602
1,10.0,80,,14.191697898616834
1,10.0,104,,12.352568979292672
1,10.0,128,"(32, 32)",20.46251144269042
1,10.0,128,,10.930583925276352
1,10.0,224,"(32, 32)",16.193371506938224
1,10.0,320,"(32, 32)",13.559782397569425
1,10.0,416,"(32, 32)",11.698232853127276
1,10.0,512,"(32, 32)",10.460932577073615
2,0.01,8,,21.11017201102836
2,0.01,14,,18.105198112695454
2,0.01,20,,15.791997592380886
2,0.01,26,,14.382283894669008
2,0.01,32,,23.21290837320525
2,0.01,32,,13.118351006040196
2,0.01,56,,19.46528352152216
2,0.01,80,,17.0495169294281
2,0.01,104,,15.308060481270717
2,0.01,128,"(32, 32)",25.00947688724384
2,0.01,128,,13.944097214859454
2,0.01,224,"(32, 32)",20.696491327405734
2,0.01,320,"(32, 32)",18.01153872781973
2,0.01,416,"(32, 32)",16.186929464411705
2,0.01,512,"(32, 32)",14.50390848559941
2,0.1,8,,18.63501096667312
2,0.1,14,,15.257692491847555
2,0.1,20,,13.089824515988555
2,0.1,26,,11.47225275002257
2,0.1,32,,19.248947709291517
2,0.1,32,,10.10343463776018
2,0.1,56,,15.774149107315248
2,0.1,80,,13.459634975794872
2,0.1,104,,11.723003622550245
2,0.1,128,"(32, 32)",22.921614132510328
2,0.1,128,,10.42428044093124
2,0.1,224,"(32, 32)",18.2858474036889
2,0.1,320,"(32, 32)",15.853039548144674
2,0.1,416,"(32, 32)",13.8011369872599
2,0.1,512,"(32, 32)",12.406086418553167
2,1.0,8,,27.03980358819899
2,1.0,14,,19.976091876880822
2,1.0,20,,16.427491016283888
2,1.0,26,,13.66106953020987
2,1.0,32,,21.186773867246885
2,1.0,32,,12.000886884340764
2,1.0,56,,16.686932729158787
2,1.0,80,,13.753239475459443
2,1.0,104,,11.914776810041616
2,1.0,128,"(32, 32)",19.092376210040047
2,1.0,128,,10.4092694275174
2,1.0,224,"(32, 32)",15.351904914279215
2,1.0,320,"(32, 32)",13.126436427396078
2,1.0,416,"(32, 32)",11.362252942579318
2,1.0,512,"(32, 32)",9.926803878474644
2,10.0,8,,31.74808826848655
2,10.0,14,,21.721612140687867
2,10.0,20,,16.87078318715229
2,10.0,26,,14.322677791568648
2,10.0,32,,22.60986816880717
2,10.0,32,,12.30454287489411
2,10.0,56,,17.41732955960922
2,10.0,80,,14.585011776202409
2,10.0,104,,12.315356702575444
2,10.0,128,"(32, 32)",20.420085895742503
2,10.0,128,,10.725543746858314
2,10.0,224,"(32, 32)",16.238692472278316
2,10.0,320,"(32, 32)",13.60236094682231
2,10.0,416,"(32, 32)",11.754734627516273
2,10.0,512,"(32, 32)",10.397115094525905
3,0.01,8,,21.239722964389244
3,0.01,14,,18.05363653434559
3,0.01,20,,15.905339842652024
3,0.01,26,,14.130749502855508
3,0.01,32,,23.058964569455
3,0.01,32,,13.039259975942455
3,0.01,56,,19.626183249404583
3,0.01,80,,17.210964429698347
3,0.01,104,,15.13647353632023
3,0.01,128,"(32, 32)",24.679359040183304
