rep,alp,num_cell,cell_size,sparse_freq,error
0,0.01,8,50,2,45.430291486876015
0,0.01,8,50,4,46.1403675892461
0,0.01,8,50,6,45.205582711120464
0,0.01,8,50,8,46.097244761252895
0,0.01,8,100,2,45.768356309463634
0,0.01,8,100,4,46.93534669368697
0,0.01,8,100,6,45.462724906526596
0,0.01,8,100,8,45.00036277624766
0,0.01,8,200,2,45.54447729169456
0,0.01,8,200,4,46.63239329937807
0,0.01,8,200,6,45.19080324881054
0,0.01,8,200,8,45.28180289342297
0,0.01,14,50,2,42.99325042802583
0,0.01,14,50,4,44.324334978600255
0,0.01,14,50,6,42.89593946540428
0,0.01,14,50,8,42.915587940670896
0,0.01,14,100,2,43.50691874060954
0,0.01,14,100,4,44.555943631400304
0,0.01,14,100,6,43.89819440148086
0,0.01,14,100,8,41.876427014077166
0,0.01,14,200,2,42.39203326216309
0,0.01,14,200,4,43.80982956522912
0,0.01,14,200,6,44.16928027115261
0,0.01,14,200,8,42.42442751910138
0,0.01,20,50,2,38.61111388233154
0,0.01,20,50,4,39.63395955452196
0,0.01,20,50,6,38.26948445032927
0,0.01,20,50,8,37.49531261394654
0,0.01,20,100,2,38.69873918948726
0,0.01,20,100,4,39.86688728675484
0,0.01,20,100,6,38.72734357466752
0,0.01,20,100,8,38.80493626016563
0,0.01,20,200,2,40.391604147872464
0,0.01,20,200,4,39.379281867799264
0,0.01,20,200,6,39.81058074780547
0,0.01,20,200,8,38.12731111119141
0,0.01,26,50,2,35.356112664697584
0,0.01,26,50,4,33.31130234961243
0,0.01,26,50,6,33.353934108313354
0,0.01,26,50,8,31.026060164025946
0,0.01,26,100,2,34.206149856696804
0,0.01,26,100,4,33.41395193157048
0,0.01,26,100,6,33.31570195882532
0,0.01,26,100,8,31.676718598841415
0,0.01,26,200,2,34.737744647108634
0,0.01,26,200,4,33.91247411460465
0,0.01,26,200,6,32.707482264110894
0,0.01,26,200,8,32.41013082664424
0,0.01,32,50,2,29.58340643931924
0,0.01,32,50,4,27.835232135016476
0,0.01,32,50,6,25.970783397329317
0,0.01,32,50,8,25.039937277523375
0,0.01,32,100,2,29.892084192770756
0,0.01,32,100,4,25.806679057764843
0,0.01,32,100,6,26.191169936830086
0,0.01,32,100,8,24.91606683763942
0,0.01,32,200,2,29.41437997836634
0,0.01,32,200,4,27.467152137848597
0,0.01,32,200,6,26.060613403830054
0,0.01,32,200,8,24.68342297847043
0,0.1,8,50,2,28.30451290151521
0,0.1,8,50,4,28.34640500588765
0,0.1,8,50,6,27.373903574825206
0,0.1,8,50,8,27.742602900341474
0,0.1,8,100,2,28.663295532845183
0,0.1,8,100,4,27.8592919537242
0,0.1,8,100,6,28.10959267651264
0,0.1,8,100,8,27.50960338410625
0,0.1,8,200,2,29.346299715753535
0,0.1,8,200,4,27.790725791213898
0,0.1,8,200,6,28.24896710963483
0,0.1,8,200,8,27.44406216295522
0,0.1,14,50,2,21.231956091529963
0,0.1,14,50,4,20.747608644500023
0,0.1,14,50,6,19.44024521064736
0,0.1,14,50,8,19.58899247667477
0,0.1,14,100,2,21.804711118034056
0,0.1,14,100,4,19.222722134615804
0,0.1,14,100,6,18.959229645832863
0,0.1,14,100,8,19.51969228345622
0,0.1,14,200,2,20.26351656566988
0,0.1,14,200,4,20.430472842816307
0,0.1,14,200,6,19.067407295318787
0,0.1,14,200,8,19.596852520829575
0,0.1,20,50,2,14.096202425513225
0,0.1,20,50,4,12.675244655918968
0,0.1,20,50,6,13.242201903568862
0,0.1,20,50,8,13.296320005998062
0,0.1,20,100,2,13.769700242757306
0,0.1,20,100,4,12.85480463473738
0,0.1,20,100,6,12.393130497687613
0,0.1,20,100,8,13.232774153521087
0,0.1,20,200,2,14.537813931435128
0,0.1,20,200,4,13.889432806596705
0,0.1,20,200,6,12.748074105609035
0,0.1,20,200,8,13.84076212377744
0,0.1,26,50,2,9.918645858939053
0,0.1,26,50,4,9.743268941831154
0,0.1,26,50,6,10.049805019631833
0,0.1,26,50,8,10.709320814464796
0,0.1,26,100,2,9.706225012104124
0,0.1,26,100,4,9.64535332316861
0,0.1,26,100,6,10.11412802135331
0,0.1,26,100,8,10.24109653741113
0,0.1,26,200,2,9.566082451645485
0,0.1,26,200,4,9.742963158902052
0,0.1,26,200,6,10.230425309842385
0,0.1,26,200,8,10.373102772985334
0,0.1,32,50,2,7.476258912494949
0,0.1,32,50,4,8.173610408166772
0,0.1,32,50,6,8.76787506980717
0,0.1,32,50,8,9.349478404138027
0,0.1,32,100,2,7.516201576116257
0,0.1,32,100,4,8.24240965340423
0,0.1,32,100,6,8.828776593763042
0,0.1,32,100,8,9.310384010729424
0,0.1,32,200,2,7.718190779100235
0,0.1,32,200,4,8.264413899931139
0,0.1,32,200,6,8.881609537469783
0,0.1,32,200,8,9.398747794973827
0,1.0,8,50,2,22.367673132471424
0,1.0,8,50,4,20.101564777254048
0,1.0,8,50,6,19.660674890399772
0,1.0,8,50,8,19.528106680654062
0,1.0,8,100,2,21.474641971467985
0,1.0,8,100,4,19.81383319785527
0,1.0,8,100,6,19.711392585257553
0,1.0,8,100,8,19.398813293971244
0,1.0,8,200,2,21.742141794861904
0,1.0,8,200,4,19.831455921891706
0,1.0,8,200,6,19.87371188613996
0,1.0,8,200,8,19.76250390300676
0,1.0,14,50,2,14.870726412261114
0,1.0,14,50,4,14.249804043677342
0,1.0,14,50,6,14.98073790705071
0,1.0,14,50,8,15.332335909592514
0,1.0,14,100,2,14.763002386758446
0,1.0,14,100,4,14.573303144818654
0,1.0,14,100,6,14.836826227536115
0,1.0,14,100,8,15.395708234155713
0,1.0,14,200,2,14.849715983439493
0,1.0,14,200,4,14.410523151164027
0,1.0,14,200,6,14.904319782161993
0,1.0,14,200,8,15.372083930146516
0,1.0,20,50,2,11.429771772427278
0,1.0,20,50,4,12.193828015881978
0,1.0,20,50,6,12.764038734446599
0,1.0,20,50,8,13.347537787327326
0,1.0,20,100,2,11.131748510011207
0,1.0,20,100,4,12.127442890536836
0,1.0,20,100,6,12.790923172573958
0,1.0,20,100,8,13.457782147500748
0,1.0,20,200,2,11.26473000789983
0,1.0,20,200,4,12.01521465260581
0,1.0,20,200,6,12.941172939952837
0,1.0,20,200,8,13.271026769612643
