rep,alp,num_cell,error,filter_dim
0,0.01,8,34.484093744870684,
0,0.01,14,28.972870732192824,
0,0.01,20,25.272353598038254,
0,0.01,26,22.19180582737977,
0,0.01,32,36.471431630315735,
0,0.01,32,19.548806855068857,
0,0.01,56,30.761345793870085,
0,0.01,80,26.64713817639604,
0,0.01,104,23.445379941615137,
0,0.01,128,38.22497892110978,"(32, 32)"
0,0.01,128,20.53293002380685,
0,0.01,224,32.288122843229864,"(32, 32)"
0,0.01,320,27.956696198499657,"(32, 32)"
0,0.01,416,24.57117470106355,"(32, 32)"
0,0.01,512,21.60036631026309,"(32, 32)"
0,0.1,8,32.90692381427065,
0,0.1,14,24.509823367331776,
0,0.1,20,20.18850970031413,
0,0.1,26,16.671721238747367,
0,0.1,32,31.217112210894808,
0,0.1,32,14.03889647795893,
0,0.1,56,25.01968204116347,
0,0.1,80,20.9333472845108,
0,0.1,104,17.198335207723925,
0,0.1,128,35.4652947040975,"(32, 32)"
0,0.1,128,14.56000402450506,
0,0.1,224,28.50063149271255,"(32, 32)"
0,0.1,320,24.30092433537183,"(32, 32)"
0,0.1,416,20.93447863286504,"(32, 32)"
0,0.1,512,17.650622958247364,"(32, 32)"
0,1.0,8,65.02056459686894,
0,1.0,14,30.27101861556168,
0,1.0,20,22.504708454419227,
0,1.0,26,18.060677301120112,
0,1.0,32,32.8283028468417,
0,1.0,32,13.985997145355864,
0,1.0,56,24.93706234808435,
0,1.0,80,19.470252993937937,
0,1.0,104,15.563859137202307,
0,1.0,128,30.208471054990927,"(32, 32)"
0,1.0,128,12.480542717895048,
0,1.0,224,23.18899794518737,"(32, 32)"
0,1.0,320,18.85006886274878,"(32, 32)"
0,1.0,416,15.187544206468583,"(32, 32)"
0,1.0,512,12.319446134131104,"(32, 32)"
0,10.0,8,90.5943872982688,
0,10.0,14,33.73350223403483,
0,10.0,20,24.15857506699388,
0,10.0,26,19.62776796295288,
0,10.0,32,35.55800580151832,
0,10.0,32,16.481930288394445,
0,10.0,56,26.28457609668217,
0,10.0,80,20.609275140874686,
0,10.0,104,16.910072331739105,
0,10.0,128,32.05225332018969,"(32, 32)"
0,10.0,128,14.463849615825952,
0,10.0,224,24.47978396239352,"(32, 32)"
0,10.0,320,19.237383485556485,"(32, 32)"
0,10.0,416,16.255325031768134,"(32, 32)"
0,10.0,512,14.273552687941752,"(32, 32)"
1,0.01,8,34.765210836279515,
1,0.01,14,28.650051499032543,
1,0.01,20,25.191954642401885,
1,0.01,26,22.5229177107361,
1,0.01,32,35.96940987360334,
1,0.01,32,19.538120568902997,
1,0.01,56,30.53839452544371,
1,0.01,80,26.76833563605719,
1,0.01,104,23.619320141264584,
1,0.01,128,38.27019575927682,"(32, 32)"
1,0.01,128,20.750471178702995,
1,0.01,224,32.12012964281876,"(32, 32)"
1,0.01,320,28.01481570230703,"(32, 32)"
1,0.01,416,24.566422011021142,"(32, 32)"
1,0.01,512,21.47588166635233,"(32, 32)"
1,0.1,8,32.11338031968358,
1,0.1,14,24.44511930902009,
1,0.1,20,19.957396525760213,
1,0.1,26,16.685616719134224,
1,0.1,32,30.748952646174303,
1,0.1,32,13.469898289988198,
1,0.1,56,24.684796303566777,
1,0.1,80,20.710100534767,
1,0.1,104,17.0946810118377,
1,0.1,128,35.139592570687775,"(32, 32)"
1,0.1,128,14.549931288094845,
1,0.1,224,28.480058352378474,"(32, 32)"
1,0.1,320,24.22178085558868,"(32, 32)"
1,0.1,416,20.77545351343659,"(32, 32)"
1,0.1,512,17.78801953755964,"(32, 32)"
1,1.0,8,68.70423478424615,
1,1.0,14,31.449970054915443,
1,1.0,20,23.097021632554224,
1,1.0,26,18.52675312925746,
1,1.0,32,33.38026209578061,
1,1.0,32,14.275887381902796,
1,1.0,56,24.632336448282107,
1,1.0,80,19.350413023806357,
1,1.0,104,15.645484253315775,
1,1.0,128,29.82652442278628,"(32, 32)"
1,1.0,128,12.540948401548532,
1,1.0,224,23.41604796256317,"(32, 32)"
1,1.0,320,18.46254165014529,"(32, 32)"
1,1.0,416,14.9261798181458,"(32, 32)"
1,1.0,512,12.13426185101283,"(32, 32)"
1,10.0,8,97.6993508597511,
1,10.0,14,33.9424195491222,
1,10.0,20,24.18951470710268,
1,10.0,26,19.690813930073077,
1,10.0,32,36.439036106296186,
1,10.0,32,16.323454587731554,
1,10.0,56,25.74306231620029,
1,10.0,80,20.514250849471424,
1,10.0,104,16.965686050785806,
1,10.0,128,32.050153351653435,"(32, 32)"
1,10.0,128,14.453404901217064,
1,10.0,224,24.610435012513022,"(32, 32)"
1,10.0,320,19.95515200984046,"(32, 32)"
1,10.0,416,16.232236220136116,"(32, 32)"
1,10.0,512,14.262245270897438,"(32, 32)"
2,0.01,8,34.241084643947744,
2,0.01,14,28.76920950632632,
2,0.01,20,25.567983025288587,
2,0.01,26,22.35067082706194,
2,0.01,32,36.38536207338976,
2,0.01,32,19.79484883743309,
2,0.01,56,30.80148124600897,
2,0.01,80,26.45353836304416,
2,0.01,104,23.41674748561755,
2,0.01,128,38.4933411921022,"(32, 32)"
2,0.01,128,20.694486792376697,
2,0.01,224,32.197036012033855,"(32, 32)"
2,0.01,320,27.82157595560619,"(32, 32)"
2,0.01,416,24.82309133639227,"(32, 32)"
2,0.01,512,21.60957906741136,"(32, 32)"
2,0.1,8,32.150063678684326,
2,0.1,14,24.272730841293825,
2,0.1,20,19.91355467336266,
2,0.1,26,16.40101095200545,
2,0.1,32,31.202854145767517,
2,0.1,32,13.768680021339348,
2,0.1,56,24.785630674759048,
2,0.1,80,20.76589981712432,
2,0.1,104,17.572274742620177,
2,0.1,128,35.34250957764388,"(32, 32)"
2,0.1,128,14.87484446211848,
2,0.1,224,28.6523131949607,"(32, 32)"
2,0.1,320,24.10409588969617,"(32, 32)"
2,0.1,416,20.795383964528707,"(32, 32)"
2,0.1,512,17.716932630770533,"(32, 32)"
2,1.0,8,65.48922378767374,
2,1.0,14,30.616669125073173,
2,1.0,20,22.446700141201244,
2,1.0,26,17.916533441565758,
2,1.0,32,33.03218081632549,
2,1.0,32,14.142735377526522,
2,1.0,56,24.67908614471436,
2,1.0,80,19.522945793221584,
2,1.0,104,15.462367118443334,
2,1.0,128,29.982080766413464,"(32, 32)"
2,1.0,128,12.456691944265778,
2,1.0,224,23.53594907572804,"(32, 32)"
2,1.0,320,18.573486673105965,"(32, 32)"
2,1.0,416,15.129585642867209,"(32, 32)"
2,1.0,512,12.182954380666713,"(32, 32)"
2,10.0,8,95.80017968162936,
2,10.0,14,34.62622316038501,
2,10.0,20,24.597230231194462,
2,10.0,26,19.067379286371317,
2,10.0,32,35.19722449457602,
2,10.0,32,16.313324889157606,
2,10.0,56,26.303898943690697,
2,10.0,80,20.21219572405603,
2,10.0,104,16.907634798263047,
2,10.0,128,32.33192866181094,"(32, 32)"
2,10.0,128,14.483778199510557,
2,10.0,224,24.61817922867482,"(32, 32)"
2,10.0,320,19.49041884354406,"(32, 32)"
2,10.0,416,16.564147291496315,"(32, 32)"
2,10.0,512,14.288464616600816,"(32, 32)"
3,0.01,8,34.432998390698245,
3,0.01,14,28.920255066418232,
3,0.01,20,25.02381533201426,
3,0.01,26,22.361783860895496,
3,0.01,32,36.01910571575174,
3,0.01,32,19.462569478816857,
3,0.01,56,30.520312627488572,
3,0.01,80,26.936441635263755,
3,0.01,104,23.486084734315785,
3,0.01,128,38.56451727291133,"(32, 32)"
3,0.01,128,20.685743551226043,
3,0.01,224,32.20548949984398,"(32, 32)"
3,0.01,320,28.119686862509788,"(32, 32)"
3,0.01,416,24.401170424233957,"(32, 32)"
3,0.01,512,21.589413771981448,"(32, 32)"
3,0.1,8,33.99416570533763,
3,0.1,14,24.507734128944065,
3,0.1,20,19.98921236930109,
3,0.1,26,16.473793024935635,
3,0.1,32,31.170579804017176,
3,0.1,32,13.81285847332483,
3,0.1,56,24.890376337010213,
3,0.1,80,20.47471454873183,
3,0.1,104,17.528382962770717,
3,0.1,128,34.967168559159575,"(32, 32)"
3,0.1,128,14.567300422784792,
3,0.1,224,28.981647011425576,"(32, 32)"
3,0.1,320,24.314842209363807,"(32, 32)"
3,0.1,416,20.571532888753488,"(32, 32)"
3,0.1,512,17.70134643347396,"(32, 32)"
3,1.0,8,66.07853332378939,
3,1.0,14,31.059679114360016,
3,1.0,20,22.948212910138405,
3,1.0,26,18.052478689834363,
3,1.0,32,33.13855388380008,
3,1.0,32,13.91104242276048,
3,1.0,56,25.356722558450844,
3,1.0,80,19.44457388456343,
3,1.0,104,15.31031366426864,
3,1.0,128,30.70680142588273,"(32, 32)"
3,1.0,128,12.42355485029982,
3,1.0,224,23.01139723307579,"(32, 32)"
3,1.0,320,18.655937869529584,"(32, 32)"
3,1.0,416,14.895086238594786,"(32, 32)"
3,1.0,512,12.166857330361168,"(32, 32)"
3,10.0,8,93.79020335477908,
3,10.0,14,34.16712235557796,
3,10.0,20,24.320685256664948,
3,10.0,26,19.32404374968137,
3,10.0,32,35.74109373326451,
3,10.0,32,16.197704383301307,
3,10.0,56,26.33790170501713,
3,10.0,80,20.64428724651805,
3,10.0,104,16.925722764330352,
3,10.0,128,31.913449542767232,"(32, 32)"
3,10.0,128,14.506623564006311,
3,10.0,224,24.822822864102843,"(32, 32)"
3,10.0,320,19.643290749259936,"(32, 32)"
3,10.0,416,16.291334547216987,"(32, 32)"
3,10.0,512,14.317099952284371,"(32, 32)"
4,0.01,8,34.12758869790323,
4,0.01,14,29.068761073200395,
4,0.01,20,25.71564732836974,
4,0.01,26,22.06691207211461,
4,0.01,32,36.082416396497806,
4,0.01,32,19.570891411722,
4,0.01,56,30.358436746671597,
4,0.01,80,26.81732041925505,
4,0.01,104,23.46744270594865,
4,0.01,128,38.36251767214967,"(32, 32)"
4,0.01,128,20.946059114438143,
4,0.01,224,32.440863286113256,"(32, 32)"
4,0.01,320,27.81884014429568,"(32, 32)"
4,0.01,416,24.55899232468438,"(32, 32)"
4,0.01,512,21.58248788756171,"(32, 32)"
4,0.1,8,33.057045845466845,
4,0.1,14,24.47423623503561,
4,0.1,20,19.700210101561208,
4,0.1,26,16.837263171053323,
4,0.1,32,30.878035793787497,
4,0.1,32,13.635876994841844,
4,0.1,56,24.83793670009291,
4,0.1,80,20.55325294977968,
4,0.1,104,17.531152191161258,
4,0.1,128,34.97699210197276,"(32, 32)"
4,0.1,128,14.773109436427196,
4,0.1,224,28.683440076979227,"(32, 32)"
4,0.1,320,24.119756415356537,"(32, 32)"
4,0.1,416,20.72904111993493,"(32, 32)"
4,0.1,512,18.028062138652,"(32, 32)"
4,1.0,8,67.15999493778975,
4,1.0,14,31.382236755574944,
4,1.0,20,23.4098948758978,
4,1.0,26,17.98333615269726,
4,1.0,32,32.69497694346923,
4,1.0,32,14.415074622536334,
4,1.0,56,24.88694920909912,
4,1.0,80,19.537573195190387,
4,1.0,104,15.701413371618973,
4,1.0,128,29.75615423323715,"(32, 32)"
4,1.0,128,12.477133931908607,
4,1.0,224,23.57206188028196,"(32, 32)"
4,1.0,320,18.67477116170087,"(32, 32)"
4,1.0,416,14.85479055898364,"(32, 32)"
4,1.0,512,12.209120914889995,"(32, 32)"
4,10.0,8,89.85794724782973,
4,10.0,14,33.982313941632,
4,10.0,20,24.32863303299029,
4,10.0,26,19.689224216101906,
4,10.0,32,35.550946388577835,
4,10.0,32,16.57784680160957,
4,10.0,56,26.270067518922183,
4,10.0,80,20.81182456996869,
4,10.0,104,17.10806606633343,
4,10.0,128,32.462742033927576,"(32, 32)"
4,10.0,128,14.383964596035408,
4,10.0,224,24.40779575820836,"(32, 32)"
4,10.0,320,19.586342806249608,"(32, 32)"
