rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",38.22497892110978
0,0.01,224,"(32, 32)",32.288122843229864
0,0.01,320,"(32, 32)",27.956696198499657
0,0.01,416,"(32, 32)",24.57117470106355
0,0.01,512,"(32, 32)",21.600366310263095
0,0.1,128,"(32, 32)",35.4652947040975
0,0.1,224,"(32, 32)",28.50063149271255
0,0.1,320,"(32, 32)",24.30092433537183
0,0.1,416,"(32, 32)",20.934478632865037
0,0.1,512,"(32, 32)",17.650622958247364
0,1.0,128,"(32, 32)",30.208471054990927
0,1.0,224,"(32, 32)",23.188997945187374
0,1.0,320,"(32, 32)",18.85006886274878
0,1.0,416,"(32, 32)",15.187544206468585
0,1.0,512,"(32, 32)",12.319446134131104
0,10.0,128,"(32, 32)",32.05225332018969
0,10.0,224,"(32, 32)",24.47978396239352
0,10.0,320,"(32, 32)",19.237383485556485
0,10.0,416,"(32, 32)",16.255325031768134
0,10.0,512,"(32, 32)",14.273552687941752
1,0.01,128,"(32, 32)",38.27019575927682
1,0.01,224,"(32, 32)",32.12012964281876
1,0.01,320,"(32, 32)",28.01481570230703
1,0.01,416,"(32, 32)",24.566422011021142
1,0.01,512,"(32, 32)",21.475881666352326
1,0.1,128,"(32, 32)",35.139592570687775
1,0.1,224,"(32, 32)",28.480058352378474
1,0.1,320,"(32, 32)",24.221780855588676
1,0.1,416,"(32, 32)",20.77545351343659
1,0.1,512,"(32, 32)",17.78801953755964
1,1.0,128,"(32, 32)",29.826524422786278
1,1.0,224,"(32, 32)",23.416047962563166
1,1.0,320,"(32, 32)",18.46254165014529
1,1.0,416,"(32, 32)",14.926179818145801
1,1.0,512,"(32, 32)",12.13426185101283
1,10.0,128,"(32, 32)",32.050153351653435
1,10.0,224,"(32, 32)",24.610435012513026
1,10.0,320,"(32, 32)",19.95515200984046
1,10.0,416,"(32, 32)",16.232236220136116
1,10.0,512,"(32, 32)",14.262245270897438
2,0.01,128,"(32, 32)",38.4933411921022
2,0.01,224,"(32, 32)",32.197036012033855
2,0.01,320,"(32, 32)",27.82157595560619
2,0.01,416,"(32, 32)",24.82309133639227
2,0.01,512,"(32, 32)",21.609579067411357
2,0.1,128,"(32, 32)",35.34250957764388
2,0.1,224,"(32, 32)",28.6523131949607
2,0.1,320,"(32, 32)",24.104095889696172
2,0.1,416,"(32, 32)",20.795383964528707
2,0.1,512,"(32, 32)",17.716932630770533
2,1.0,128,"(32, 32)",29.982080766413464
2,1.0,224,"(32, 32)",23.53594907572804
2,1.0,320,"(32, 32)",18.573486673105965
2,1.0,416,"(32, 32)",15.129585642867207
2,1.0,512,"(32, 32)",12.182954380666713
2,10.0,128,"(32, 32)",32.33192866181094
2,10.0,224,"(32, 32)",24.61817922867482
2,10.0,320,"(32, 32)",19.49041884354406
2,10.0,416,"(32, 32)",16.564147291496315
2,10.0,512,"(32, 32)",14.288464616600816
3,0.01,128,"(32, 32)",38.564517272911324
3,0.01,224,"(32, 32)",32.20548949984398
3,0.01,320,"(32, 32)",28.119686862509788
3,0.01,416,"(32, 32)",24.401170424233953
3,0.01,512,"(32, 32)",21.589413771981448
3,0.1,128,"(32, 32)",34.967168559159575
3,0.1,224,"(32, 32)",28.981647011425576
3,0.1,320,"(32, 32)",24.314842209363807
3,0.1,416,"(32, 32)",20.571532888753488
3,0.1,512,"(32, 32)",17.70134643347396
3,1.0,128,"(32, 32)",30.70680142588273
3,1.0,224,"(32, 32)",23.01139723307579
3,1.0,320,"(32, 32)",18.655937869529584
3,1.0,416,"(32, 32)",14.895086238594786
3,1.0,512,"(32, 32)",12.166857330361168
3,10.0,128,"(32, 32)",31.913449542767232
3,10.0,224,"(32, 32)",24.822822864102843
3,10.0,320,"(32, 32)",19.643290749259936
3,10.0,416,"(32, 32)",16.291334547216987
3,10.0,512,"(32, 32)",14.317099952284373
4,0.01,128,"(32, 32)",38.36251767214967
4,0.01,224,"(32, 32)",32.440863286113256
4,0.01,320,"(32, 32)",27.81884014429568
4,0.01,416,"(32, 32)",24.55899232468438
4,0.01,512,"(32, 32)",21.58248788756171
4,0.1,128,"(32, 32)",34.97699210197276
4,0.1,224,"(32, 32)",28.683440076979227
4,0.1,320,"(32, 32)",24.119756415356537
4,0.1,416,"(32, 32)",20.72904111993493
4,0.1,512,"(32, 32)",18.028062138651997
4,1.0,128,"(32, 32)",29.75615423323715
4,1.0,224,"(32, 32)",23.572061880281957
4,1.0,320,"(32, 32)",18.67477116170087
4,1.0,416,"(32, 32)",14.854790558983641
4,1.0,512,"(32, 32)",12.209120914889995
4,10.0,128,"(32, 32)",32.462742033927576
4,10.0,224,"(32, 32)",24.407795758208362
4,10.0,320,"(32, 32)",19.586342806249608
4,10.0,416,"(32, 32)",16.22459479767914
4,10.0,512,"(32, 32)",14.29487384069331
5,0.01,128,"(32, 32)",38.220646085203875
5,0.01,224,"(32, 32)",32.029286155975704
5,0.01,320,"(32, 32)",27.966986471658117
5,0.01,416,"(32, 32)",24.361782696392318
5,0.01,512,"(32, 32)",21.630050510412772
5,0.1,128,"(32, 32)",35.21300090721956
5,0.1,224,"(32, 32)",28.73138561536255
5,0.1,320,"(32, 32)",23.92418784553832
5,0.1,416,"(32, 32)",20.648682008667485
5,0.1,512,"(32, 32)",17.78497468523482
5,1.0,128,"(32, 32)",29.961278785641763
5,1.0,224,"(32, 32)",23.363238552904683
5,1.0,320,"(32, 32)",18.35400582227545
5,1.0,416,"(32, 32)",15.057955487648965
5,1.0,512,"(32, 32)",12.15609356698632
5,10.0,128,"(32, 32)",33.07665251210059
5,10.0,224,"(32, 32)",24.874733621522445
5,10.0,320,"(32, 32)",19.955565014369416
5,10.0,416,"(32, 32)",16.534877559368873
5,10.0,512,"(32, 32)",14.341338310199223
6,0.01,128,"(32, 32)",38.31666216248072
6,0.01,224,"(32, 32)",32.04772394581902
6,0.01,320,"(32, 32)",28.119454341494233
6,0.01,416,"(32, 32)",24.686148613749513
6,0.01,512,"(32, 32)",21.778838496207655
6,0.1,128,"(32, 32)",35.03129127084851
6,0.1,224,"(32, 32)",29.056049705794752
6,0.1,320,"(32, 32)",24.022956835892625
