rep,alp,num_cell,error,filter_dim
0,0.01,8,32.78393241155238,
0,0.01,14,27.808064927941697,
0,0.01,20,24.96587537658337,
0,0.01,26,22.573032953314577,
0,0.01,32,36.02462429721669,
0,0.01,32,20.660748290610837,
0,0.01,56,30.595635423241404,
0,0.01,80,27.50571943974913,
0,0.01,104,24.22085369202656,
0,0.01,128,38.66963895247909,"(32, 32)"
0,0.01,128,22.256123932307585,
0,0.01,224,32.20293890294512,"(32, 32)"
0,0.01,320,29.041268351891457,"(32, 32)"
0,0.01,416,25.36078715549824,"(32, 32)"
0,0.01,512,23.399936206437232,"(32, 32)"
0,0.1,8,29.955685692638752,
0,0.1,14,24.3728613282013,
0,0.1,20,21.394272264128777,
0,0.1,26,18.84762720609809,
0,0.1,32,31.695936475652577,
0,0.1,32,16.522980725623515,
0,0.1,56,25.964783146344008,
0,0.1,80,22.574705505140013,
0,0.1,104,19.72567042382676,
0,0.1,128,35.811550959982505,"(32, 32)"
0,0.1,128,17.63214421051646,
0,0.1,224,29.94510555618798,"(32, 32)"
0,0.1,320,25.42360463322199,"(32, 32)"
0,0.1,416,22.67178262682552,"(32, 32)"
0,0.1,512,20.47998232557607,"(32, 32)"
0,1.0,8,40.1026779783642,
0,1.0,14,30.161465240321387,
0,1.0,20,25.67112213535342,
0,1.0,26,21.913862051361544,
0,1.0,32,33.50789048374144,
0,1.0,32,18.576299810304903,
0,1.0,56,26.14305848573432,
0,1.0,80,22.004324054594573,
0,1.0,104,18.448411925905454,
0,1.0,128,30.82719655869565,"(32, 32)"
0,1.0,128,16.296559346288394,
0,1.0,224,24.68653547117003,"(32, 32)"
0,1.0,320,20.45214319167584,"(32, 32)"
0,1.0,416,17.736687301932488,"(32, 32)"
0,1.0,512,15.67776223504906,"(32, 32)"
0,10.0,8,47.96669074493786,
0,10.0,14,33.76894287867641,
0,10.0,20,26.63760715071037,
0,10.0,26,21.69695495828089,
0,10.0,32,36.02977475060178,
0,10.0,32,19.225993061584663,
0,10.0,56,28.248344170309483,
0,10.0,80,22.7790313603181,
0,10.0,104,18.87153017601069,
0,10.0,128,33.44458913789403,"(32, 32)"
0,10.0,128,16.889272235122508,
0,10.0,224,25.88597014441187,"(32, 32)"
0,10.0,320,21.75667066334533,"(32, 32)"
0,10.0,416,18.915076548869934,"(32, 32)"
0,10.0,512,16.163856117844798,"(32, 32)"
1,0.01,8,32.81475415434284,
1,0.01,14,28.024787421530476,
1,0.01,20,24.97556606258373,
1,0.01,26,23.01857538211412,
1,0.01,32,35.57183457940057,
1,0.01,32,20.37655671146446,
1,0.01,56,30.544458411743825,
1,0.01,80,27.161012993462798,
1,0.01,104,24.67386716273232,
1,0.01,128,38.80154460899965,"(32, 32)"
1,0.01,128,22.369245844181943,
1,0.01,224,32.47642172387624,"(32, 32)"
1,0.01,320,28.69630333622773,"(32, 32)"
1,0.01,416,25.54976696945793,"(32, 32)"
1,0.01,512,23.3527818644136,"(32, 32)"
1,0.1,8,29.937032166331694,
1,0.1,14,24.627463512833145,
1,0.1,20,20.87427048921785,
1,0.1,26,18.77441617055417,
1,0.1,32,31.663300854012043,
1,0.1,32,16.409194420493073,
