rep,alp,num_cell,error
0,0.01,32,36.02462429721669
0,0.01,56,30.595635423241404
0,0.01,80,27.505719439749132
0,0.01,104,24.22085369202656
0,0.01,128,22.256123932307585
0,0.1,32,31.695936475652577
0,0.1,56,25.964783146344008
0,0.1,80,22.574705505140013
0,0.1,104,19.725670423826756
0,0.1,128,17.63214421051646
0,1.0,32,33.50789048374144
0,1.0,56,26.143058485734322
0,1.0,80,22.004324054594573
0,1.0,104,18.448411925905454
0,1.0,128,16.296559346288394
0,10.0,32,36.02977475060178
0,10.0,56,28.248344170309483
0,10.0,80,22.7790313603181
0,10.0,104,18.87153017601069
0,10.0,128,16.889272235122508
1,0.01,32,35.57183457940057
1,0.01,56,30.544458411743825
1,0.01,80,27.161012993462794
1,0.01,104,24.673867162732318
1,0.01,128,22.369245844181943
1,0.1,32,31.663300854012043
1,0.1,56,26.085386770260886
1,0.1,80,22.206737162740477
1,0.1,104,19.573740986642235
1,0.1,128,17.661272749004986
1,1.0,32,33.85774585446738
1,1.0,56,26.463444525972033
1,1.0,80,21.91800408096199
1,1.0,104,18.6513920118771
1,1.0,128,16.01747095402203
1,10.0,32,37.19841958657343
1,10.0,56,28.425722135498344
1,10.0,80,22.982266846113905
1,10.0,104,19.32338025410099
1,10.0,128,17.223466230740687
2,0.01,32,36.36112454495636
2,0.01,56,30.552396012917335
2,0.01,80,27.393591711973883
2,0.01,104,24.21063876267776
2,0.01,128,22.19269099156895
2,0.1,32,31.438976033258072
2,0.1,56,25.727743437370297
2,0.1,80,22.390121379760107
2,0.1,104,19.707721703402694
2,0.1,128,17.67692751376506
2,1.0,32,33.383189364608654
2,1.0,56,26.4928353178959
2,1.0,80,22.050236305821716
2,1.0,104,18.386353183772943
2,1.0,128,16.112602850302377
2,10.0,32,36.9749696970023
2,10.0,56,27.850121245471286
2,10.0,80,22.758447273534415
2,10.0,104,19.34517042032219
2,10.0,128,16.837411342463902
3,0.01,32,35.61109658365124
3,0.01,56,30.82487892195164
3,0.01,80,27.653750342214018
