rep,alp,num_cell,filter_dim,error
0,0.01,128,"(32, 32)",38.66963895247909
0,0.01,224,"(32, 32)",32.20293890294512
0,0.01,320,"(32, 32)",29.041268351891457
0,0.01,416,"(32, 32)",25.360787155498237
0,0.01,512,"(32, 32)",23.399936206437232
0,0.1,128,"(32, 32)",35.811550959982505
0,0.1,224,"(32, 32)",29.94510555618798
0,0.1,320,"(32, 32)",25.42360463322199
0,0.1,416,"(32, 32)",22.671782626825518
0,0.1,512,"(32, 32)",20.47998232557607
0,1.0,128,"(32, 32)",30.82719655869565
0,1.0,224,"(32, 32)",24.68653547117003
0,1.0,320,"(32, 32)",20.45214319167584
0,1.0,416,"(32, 32)",17.736687301932488
0,1.0,512,"(32, 32)",15.677762235049059
0,10.0,128,"(32, 32)",33.44458913789403
0,10.0,224,"(32, 32)",25.88597014441187
0,10.0,320,"(32, 32)",21.756670663345332
0,10.0,416,"(32, 32)",18.915076548869934
0,10.0,512,"(32, 32)",16.163856117844798
1,0.01,128,"(32, 32)",38.80154460899965
1,0.01,224,"(32, 32)",32.47642172387624
1,0.01,320,"(32, 32)",28.696303336227732
1,0.01,416,"(32, 32)",25.54976696945793
1,0.01,512,"(32, 32)",23.3527818644136
1,0.1,128,"(32, 32)",36.05315152385774
1,0.1,224,"(32, 32)",29.25416978637638
1,0.1,320,"(32, 32)",25.691552578052764
1,0.1,416,"(32, 32)",22.32153735673826
1,0.1,512,"(32, 32)",20.3437171853734
1,1.0,128,"(32, 32)",30.375955951231756
1,1.0,224,"(32, 32)",25.05014799154275
1,1.0,320,"(32, 32)",20.87113094451463
1,1.0,416,"(32, 32)",17.687237093963162
1,1.0,512,"(32, 32)",15.576226366479919
1,10.0,128,"(32, 32)",33.9560542240885
1,10.0,224,"(32, 32)",26.187902916332828
1,10.0,320,"(32, 32)",21.39339855372369
1,10.0,416,"(32, 32)",18.61383920415702
1,10.0,512,"(32, 32)",16.188732203418645
2,0.01,128,"(32, 32)",38.43102650288157
2,0.01,224,"(32, 32)",32.728908823520534
2,0.01,320,"(32, 32)",28.44348054815654
2,0.01,416,"(32, 32)",25.637914538740315
2,0.01,512,"(32, 32)",23.458721918802837
2,0.1,128,"(32, 32)",36.02694800865879
2,0.1,224,"(32, 32)",29.528943879037193
2,0.1,320,"(32, 32)",25.38314019787409
2,0.1,416,"(32, 32)",22.57468987438819
2,0.1,512,"(32, 32)",20.12583210806431
2,1.0,128,"(32, 32)",30.657777147431645
2,1.0,224,"(32, 32)",24.902183593234984
2,1.0,320,"(32, 32)",20.95647779660037
2,1.0,416,"(32, 32)",17.567035238801648
2,1.0,512,"(32, 32)",15.528761113572845
2,10.0,128,"(32, 32)",33.17037269040199
2,10.0,224,"(32, 32)",26.410371176650973
2,10.0,320,"(32, 32)",21.763292131463338
2,10.0,416,"(32, 32)",18.169518249877104
2,10.0,512,"(32, 32)",16.235910146640837
3,0.01,128,"(32, 32)",38.79739356184102
3,0.01,224,"(32, 32)",32.888414728194796
3,0.01,320,"(32, 32)",28.648242426515765
3,0.01,416,"(32, 32)",25.436059784479575
3,0.01,512,"(32, 32)",23.378362158847327
