rep,dwt_type,lv,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,db2,1,0.01,128,50,2,"(32, 32)",224.1022876437196
0,db2,1,0.01,128,50,4,"(32, 32)",238.39584327472602
0,db2,1,0.01,128,50,6,"(32, 32)",239.44390251981457
0,db2,1,0.01,128,50,8,"(32, 32)",239.8159543549924
0,db2,1,0.01,128,100,2,"(32, 32)",223.96606664273
0,db2,1,0.01,128,100,4,"(32, 32)",238.07066474227275
0,db2,1,0.01,128,100,6,"(32, 32)",239.43204367207682
0,db2,1,0.01,128,100,8,"(32, 32)",239.77515250002176
0,db2,1,0.01,128,200,2,"(32, 32)",223.89102693971975
0,db2,1,0.01,128,200,4,"(32, 32)",237.9010736365062
0,db2,1,0.01,128,200,6,"(32, 32)",239.43778357990612
0,db2,1,0.01,128,200,8,"(32, 32)",239.77748597938208
0,db2,1,0.01,224,50,2,"(32, 32)",226.41926671026908
0,db2,1,0.01,224,50,4,"(32, 32)",238.07914483010362
0,db2,1,0.01,224,50,6,"(32, 32)",239.23852594459484
0,db2,1,0.01,224,50,8,"(32, 32)",239.5899653605402
0,db2,1,0.01,224,100,2,"(32, 32)",226.31361479485963
0,db2,1,0.01,224,100,4,"(32, 32)",237.85296392480575
0,db2,1,0.01,224,100,6,"(32, 32)",239.1194030617199
0,db2,1,0.01,224,100,8,"(32, 32)",239.63446506995865
0,db2,1,0.01,224,200,2,"(32, 32)",226.53569599997883
0,db2,1,0.01,224,200,4,"(32, 32)",237.97520711132182
0,db2,1,0.01,224,200,6,"(32, 32)",239.23629762162122
0,db2,1,0.01,224,200,8,"(32, 32)",239.56245708589594
0,db2,1,0.01,320,50,2,"(32, 32)",225.22180709785974
0,db2,1,0.01,320,50,4,"(32, 32)",236.77129961855402
0,db2,1,0.01,320,50,6,"(32, 32)",238.23023865634693
0,db2,1,0.01,320,50,8,"(32, 32)",238.88451041987315
0,db2,1,0.01,320,100,2,"(32, 32)",225.17561461003842
0,db2,1,0.01,320,100,4,"(32, 32)",236.77743585602536
0,db2,1,0.01,320,100,6,"(32, 32)",238.34495520721535
0,db2,1,0.01,320,100,8,"(32, 32)",238.71649522811393
0,db2,1,0.01,320,200,2,"(32, 32)",225.37667383978314
0,db2,1,0.01,320,200,4,"(32, 32)",236.58386446830607
0,db2,1,0.01,320,200,6,"(32, 32)",238.18921759453323
0,db2,1,0.01,320,200,8,"(32, 32)",238.69850225629955
0,db2,1,0.01,416,50,2,"(32, 32)",221.97690356452622
0,db2,1,0.01,416,50,4,"(32, 32)",234.16809583976723
0,db2,1,0.01,416,50,6,"(32, 32)",236.2133393761215
0,db2,1,0.01,416,50,8,"(32, 32)",236.9234131630599
0,db2,1,0.01,416,100,2,"(32, 32)",222.25002173819504
0,db2,1,0.01,416,100,4,"(32, 32)",234.09993225579012
0,db2,1,0.01,416,100,6,"(32, 32)",236.4471709945494
0,db2,1,0.01,416,100,8,"(32, 32)",237.09526327607315
0,db2,1,0.01,416,200,2,"(32, 32)",221.71900017948028
0,db2,1,0.01,416,200,4,"(32, 32)",233.87689285694867
0,db2,1,0.01,416,200,6,"(32, 32)",236.14546226424073
0,db2,1,0.01,416,200,8,"(32, 32)",236.95329823272237
0,db2,1,0.01,512,50,2,"(32, 32)",216.9923260206438
0,db2,1,0.01,512,50,4,"(32, 32)",229.2116839255225
0,db2,1,0.01,512,50,6,"(32, 32)",231.7444993881701
0,db2,1,0.01,512,50,8,"(32, 32)",233.46231707877092
0,db2,1,0.01,512,100,2,"(32, 32)",216.5344108651431
0,db2,1,0.01,512,100,4,"(32, 32)",228.70067566612124
0,db2,1,0.01,512,100,6,"(32, 32)",231.74711441663257
0,db2,1,0.01,512,100,8,"(32, 32)",233.26323368028062
0,db2,1,0.01,512,200,2,"(32, 32)",217.29013602966378
0,db2,1,0.01,512,200,4,"(32, 32)",228.94811748822877
0,db2,1,0.01,512,200,6,"(32, 32)",231.5986322504218
0,db2,1,0.01,512,200,8,"(32, 32)",233.61416776393378
0,db2,1,0.1,128,50,2,"(32, 32)",203.24277133450883
0,db2,1,0.1,128,50,4,"(32, 32)",225.38747360062627
0,db2,1,0.1,128,50,6,"(32, 32)",230.60441505758095
0,db2,1,0.1,128,50,8,"(32, 32)",232.95488230150994
0,db2,1,0.1,128,100,2,"(32, 32)",202.5637791636472
0,db2,1,0.1,128,100,4,"(32, 32)",225.3887595548074
0,db2,1,0.1,128,100,6,"(32, 32)",230.5983614374524
0,db2,1,0.1,128,100,8,"(32, 32)",232.55371656185363
0,db2,1,0.1,128,200,2,"(32, 32)",202.95095161239323
0,db2,1,0.1,128,200,4,"(32, 32)",225.19078026425
0,db2,1,0.1,128,200,6,"(32, 32)",230.82976908037918
0,db2,1,0.1,128,200,8,"(32, 32)",232.893381340354
0,db2,1,0.1,224,50,2,"(32, 32)",192.61556357923618
0,db2,1,0.1,224,50,4,"(32, 32)",212.01065815818896
0,db2,1,0.1,224,50,6,"(32, 32)",218.80566956952146
0,db2,1,0.1,224,50,8,"(32, 32)",222.1747813773472
0,db2,1,0.1,224,100,2,"(32, 32)",193.12411782270007
0,db2,1,0.1,224,100,4,"(32, 32)",211.79864803347394
0,db2,1,0.1,224,100,6,"(32, 32)",218.86591051400794
0,db2,1,0.1,224,100,8,"(32, 32)",222.2987124650729
0,db2,1,0.1,224,200,2,"(32, 32)",192.33750850612765
0,db2,1,0.1,224,200,4,"(32, 32)",211.64675522012791
0,db2,1,0.1,224,200,6,"(32, 32)",219.1055226088316
0,db2,1,0.1,224,200,8,"(32, 32)",222.4011788529089
0,db2,1,0.1,320,50,2,"(32, 32)",173.5729019405259
0,db2,1,0.1,320,50,4,"(32, 32)",182.3226014779135
0,db2,1,0.1,320,50,6,"(32, 32)",193.57520191172736
0,db2,1,0.1,320,50,8,"(32, 32)",200.01225049647167
0,db2,1,0.1,320,100,2,"(32, 32)",173.06868371630577
0,db2,1,0.1,320,100,4,"(32, 32)",182.02644634932238
0,db2,1,0.1,320,100,6,"(32, 32)",194.16918493556088
0,db2,1,0.1,320,100,8,"(32, 32)",200.13780166691873
0,db2,1,0.1,320,200,2,"(32, 32)",173.07856078065907
0,db2,1,0.1,320,200,4,"(32, 32)",182.30055196095753
0,db2,1,0.1,320,200,6,"(32, 32)",193.9501206584731
0,db2,1,0.1,320,200,8,"(32, 32)",200.93318657168314
0,db2,1,0.1,416,50,2,"(32, 32)",142.26790675135538
0,db2,1,0.1,416,50,4,"(32, 32)",134.63966262861246
0,db2,1,0.1,416,50,6,"(32, 32)",150.42852620776353
0,db2,1,0.1,416,50,8,"(32, 32)",159.72936965666116
0,db2,1,0.1,416,100,2,"(32, 32)",141.07206487446604
0,db2,1,0.1,416,100,4,"(32, 32)",133.71456883386534
0,db2,1,0.1,416,100,6,"(32, 32)",150.89404768279837
0,db2,1,0.1,416,100,8,"(32, 32)",161.98989830782065
0,db2,1,0.1,416,200,2,"(32, 32)",140.58720944044643
0,db2,1,0.1,416,200,4,"(32, 32)",134.35763050042132
0,db2,1,0.1,416,200,6,"(32, 32)",151.48296845891218
0,db2,1,0.1,416,200,8,"(32, 32)",159.87243293568363
0,db2,1,0.1,512,50,2,"(32, 32)",92.60169496159085
0,db2,1,0.1,512,50,4,"(32, 32)",84.8157331149816
0,db2,1,0.1,512,50,6,"(32, 32)",106.00990180785489
0,db2,1,0.1,512,50,8,"(32, 32)",120.25064437281164
0,db2,1,0.1,512,100,2,"(32, 32)",91.66511369487887
0,db2,1,0.1,512,100,4,"(32, 32)",83.4747523438652
0,db2,1,0.1,512,100,6,"(32, 32)",107.85417053761044
0,db2,1,0.1,512,100,8,"(32, 32)",121.83443695347796
0,db2,1,0.1,512,200,2,"(32, 32)",94.0378482388751
0,db2,1,0.1,512,200,4,"(32, 32)",85.05598253203443
0,db2,1,0.1,512,200,6,"(32, 32)",107.05463919923494
0,db2,1,0.1,512,200,8,"(32, 32)",120.96194937926487
0,db2,1,1.0,128,50,2,"(32, 32)",141.35187128836898
0,db2,1,1.0,128,50,4,"(32, 32)",128.67637281587878
0,db2,1,1.0,128,50,6,"(32, 32)",155.00794394040375
0,db2,1,1.0,128,50,8,"(32, 32)",173.09802023748838
0,db2,1,1.0,128,100,2,"(32, 32)",141.2916180899216
0,db2,1,1.0,128,100,4,"(32, 32)",128.66433791950433
0,db2,1,1.0,128,100,6,"(32, 32)",153.1390240160055
0,db2,1,1.0,128,100,8,"(32, 32)",174.63166803996884
0,db2,1,1.0,128,200,2,"(32, 32)",141.7038869514469
0,db2,1,1.0,128,200,4,"(32, 32)",129.7824946673804
0,db2,1,1.0,128,200,6,"(32, 32)",153.9742192697776
0,db2,1,1.0,128,200,8,"(32, 32)",174.40226390270405
