rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",192.28596067989744
0,db2,1,0.01,224,"(32, 32)",166.90699183662198
0,db2,1,0.01,320,"(32, 32)",145.14634265082987
0,db2,1,0.01,416,"(32, 32)",127.51380838157259
0,db2,1,0.01,512,"(32, 32)",112.63940471359113
0,db2,1,0.1,128,"(32, 32)",178.75813119173932
0,db2,1,0.1,224,"(32, 32)",155.29011587411415
0,db2,1,0.1,320,"(32, 32)",138.46120609162045
0,db2,1,0.1,416,"(32, 32)",124.12108904774774
0,db2,1,0.1,512,"(32, 32)",111.51810387037939
0,db2,1,1.0,128,"(32, 32)",200.24759512610953
0,db2,1,1.0,224,"(32, 32)",183.07734745515242
0,db2,1,1.0,320,"(32, 32)",167.64722797617532
0,db2,1,1.0,416,"(32, 32)",153.52770911259813
0,db2,1,1.0,512,"(32, 32)",140.0659627831076
0,db2,1,10.0,128,"(32, 32)",205.44832313096506
0,db2,1,10.0,224,"(32, 32)",187.7860767533259
0,db2,1,10.0,320,"(32, 32)",173.2634025883226
0,db2,1,10.0,416,"(32, 32)",159.55976092523628
0,db2,1,10.0,512,"(32, 32)",145.9621337358107
0,db2,2,0.01,128,"(32, 32)",131.4562597740981
0,db2,2,0.01,224,"(32, 32)",98.496976893163
0,db2,2,0.01,320,"(32, 32)",82.5436041994671
0,db2,2,0.01,416,"(32, 32)",70.65946411218971
0,db2,2,0.01,512,"(32, 32)",63.45252495589761
0,db2,2,0.1,128,"(32, 32)",121.86581317413535
0,db2,2,0.1,224,"(32, 32)",93.37284607554183
0,db2,2,0.1,320,"(32, 32)",75.75584552733392
0,db2,2,0.1,416,"(32, 32)",63.719747807733455
0,db2,2,0.1,512,"(32, 32)",55.883323954008695
0,db2,2,1.0,128,"(32, 32)",173.46173527931057
0,db2,2,1.0,224,"(32, 32)",137.03577529586025
0,db2,2,1.0,320,"(32, 32)",106.14059166561678
0,db2,2,1.0,416,"(32, 32)",83.97618666932163
0,db2,2,1.0,512,"(32, 32)",69.69894443845588
0,db2,2,10.0,128,"(32, 32)",192.09757795936736
0,db2,2,10.0,224,"(32, 32)",153.00336294280547
0,db2,2,10.0,320,"(32, 32)",115.01163332604006
0,db2,2,10.0,416,"(32, 32)",88.60963750136764
0,db2,2,10.0,512,"(32, 32)",72.2484853249145
0,db2,3,0.01,128,"(32, 32)",78.08615113191449
0,db2,3,0.01,224,"(32, 32)",63.318722719430056
0,db2,3,0.01,320,"(32, 32)",55.590168949645204
0,db2,3,0.01,416,"(32, 32)",50.48799727162641
0,db2,3,0.01,512,"(32, 32)",46.16477421670125
0,db2,3,0.1,128,"(32, 32)",71.08911984300052
0,db2,3,0.1,224,"(32, 32)",56.89933202716829
0,db2,3,0.1,320,"(32, 32)",49.171831478248734
0,db2,3,0.1,416,"(32, 32)",44.264435304758166
0,db2,3,0.1,512,"(32, 32)",40.738268140519516
0,db2,3,1.0,128,"(32, 32)",124.13601316092269
0,db2,3,1.0,224,"(32, 32)",89.24259982163677
0,db2,3,1.0,320,"(32, 32)",69.69830572403308
0,db2,3,1.0,416,"(32, 32)",59.15947371624684
0,db2,3,1.0,512,"(32, 32)",50.93236777071097
0,db2,3,10.0,128,"(32, 32)",147.41535394636503
0,db2,3,10.0,224,"(32, 32)",99.46299064949561
0,db2,3,10.0,320,"(32, 32)",74.07481072073683
0,db2,3,10.0,416,"(32, 32)",60.293884883305445
0,db2,3,10.0,512,"(32, 32)",52.63022016789075
1,db2,1,0.01,128,"(32, 32)",192.23334042080745
1,db2,1,0.01,224,"(32, 32)",166.97197901755425
1,db2,1,0.01,320,"(32, 32)",144.97045873747925
1,db2,1,0.01,416,"(32, 32)",128.26390043482476
1,db2,1,0.01,512,"(32, 32)",113.45503634844576
1,db2,1,0.1,128,"(32, 32)",179.10092586957464
1,db2,1,0.1,224,"(32, 32)",155.11116810870163
1,db2,1,0.1,320,"(32, 32)",138.29875460248067
1,db2,1,0.1,416,"(32, 32)",123.76996731975512
1,db2,1,0.1,512,"(32, 32)",112.48638815018236
1,db2,1,1.0,128,"(32, 32)",200.14765174854728
1,db2,1,1.0,224,"(32, 32)",182.98168815130094
1,db2,1,1.0,320,"(32, 32)",167.98414955979155
1,db2,1,1.0,416,"(32, 32)",153.36765686463903
1,db2,1,1.0,512,"(32, 32)",140.11329316129041
1,db2,1,10.0,128,"(32, 32)",205.22840857921636
1,db2,1,10.0,224,"(32, 32)",187.8961576323716
1,db2,1,10.0,320,"(32, 32)",173.38074295224473
1,db2,1,10.0,416,"(32, 32)",158.89289100930054
1,db2,1,10.0,512,"(32, 32)",145.83167776130801
1,db2,2,0.01,128,"(32, 32)",131.2465072457743
