rep,dwt_type,lv,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,db2,1,0.01,128,50,2,"(32, 32)",125.15006115645569
0,db2,1,0.01,128,50,4,"(32, 32)",134.6210300635903
0,db2,1,0.01,128,50,6,"(32, 32)",135.53541717209535
0,db2,1,0.01,128,50,8,"(32, 32)",135.65500243623205
0,db2,1,0.01,128,100,2,"(32, 32)",125.08079479639628
0,db2,1,0.01,128,100,4,"(32, 32)",134.45635662550734
0,db2,1,0.01,128,100,6,"(32, 32)",135.37090636991522
0,db2,1,0.01,128,100,8,"(32, 32)",135.65507696980723
0,db2,1,0.01,128,200,2,"(32, 32)",124.72133651188571
0,db2,1,0.01,128,200,4,"(32, 32)",134.4263068894915
0,db2,1,0.01,128,200,6,"(32, 32)",135.50402420655954
0,db2,1,0.01,128,200,8,"(32, 32)",135.64245172542041
0,db2,1,0.01,224,50,2,"(32, 32)",126.94937844531808
0,db2,1,0.01,224,50,4,"(32, 32)",134.3428203996936
0,db2,1,0.01,224,50,6,"(32, 32)",135.20046679512114
0,db2,1,0.01,224,50,8,"(32, 32)",135.52046074470283
0,db2,1,0.01,224,100,2,"(32, 32)",126.8066251774875
0,db2,1,0.01,224,100,4,"(32, 32)",134.31608976499086
0,db2,1,0.01,224,100,6,"(32, 32)",135.31068725781287
0,db2,1,0.01,224,100,8,"(32, 32)",135.42802196762574
0,db2,1,0.01,224,200,2,"(32, 32)",126.7755544510055
0,db2,1,0.01,224,200,4,"(32, 32)",134.3035403849445
0,db2,1,0.01,224,200,6,"(32, 32)",135.29191551894428
0,db2,1,0.01,224,200,8,"(32, 32)",135.52508539345968
0,db2,1,0.01,320,50,2,"(32, 32)",125.89074623695795
0,db2,1,0.01,320,50,4,"(32, 32)",133.36125262413012
0,db2,1,0.01,320,50,6,"(32, 32)",134.4080956160929
0,db2,1,0.01,320,50,8,"(32, 32)",134.8652244751611
0,db2,1,0.01,320,100,2,"(32, 32)",125.80161463818717
0,db2,1,0.01,320,100,4,"(32, 32)",133.30670569767324
0,db2,1,0.01,320,100,6,"(32, 32)",134.4557290374192
0,db2,1,0.01,320,100,8,"(32, 32)",134.83873373626952
0,db2,1,0.01,320,200,2,"(32, 32)",125.73906544948011
0,db2,1,0.01,320,200,4,"(32, 32)",133.27187137856447
0,db2,1,0.01,320,200,6,"(32, 32)",134.52610128476883
0,db2,1,0.01,320,200,8,"(32, 32)",134.8688405268246
0,db2,1,0.01,416,50,2,"(32, 32)",123.79047651990992
0,db2,1,0.01,416,50,4,"(32, 32)",131.2971852961792
0,db2,1,0.01,416,50,6,"(32, 32)",132.7378931361763
0,db2,1,0.01,416,50,8,"(32, 32)",133.48691237515257
0,db2,1,0.01,416,100,2,"(32, 32)",123.5430364643256
0,db2,1,0.01,416,100,4,"(32, 32)",131.50789195119347
0,db2,1,0.01,416,100,6,"(32, 32)",132.87418634375487
0,db2,1,0.01,416,100,8,"(32, 32)",133.46556418691102
0,db2,1,0.01,416,200,2,"(32, 32)",123.21017104992829
0,db2,1,0.01,416,200,4,"(32, 32)",131.04148421929318
0,db2,1,0.01,416,200,6,"(32, 32)",132.89774572098094
0,db2,1,0.01,416,200,8,"(32, 32)",133.40474807490716
0,db2,1,0.01,512,50,2,"(32, 32)",119.69829145341915
0,db2,1,0.01,512,50,4,"(32, 32)",127.41856697882574
0,db2,1,0.01,512,50,6,"(32, 32)",129.27040952766205
0,db2,1,0.01,512,50,8,"(32, 32)",130.5965952092045
0,db2,1,0.01,512,100,2,"(32, 32)",119.97530237991627
0,db2,1,0.01,512,100,4,"(32, 32)",127.22199179356866
0,db2,1,0.01,512,100,6,"(32, 32)",129.5968778557936
0,db2,1,0.01,512,100,8,"(32, 32)",130.5615166845769
0,db2,1,0.01,512,200,2,"(32, 32)",120.06627660607143
0,db2,1,0.01,512,200,4,"(32, 32)",127.5481162888796
0,db2,1,0.01,512,200,6,"(32, 32)",129.44490988615416
0,db2,1,0.01,512,200,8,"(32, 32)",130.5435248099729
0,db2,1,0.1,128,50,2,"(32, 32)",110.83418455059945
0,db2,1,0.1,128,50,4,"(32, 32)",125.3863126418458
0,db2,1,0.1,128,50,6,"(32, 32)",128.8941356168353
0,db2,1,0.1,128,50,8,"(32, 32)",130.3799460507015
0,db2,1,0.1,128,100,2,"(32, 32)",110.60900927129
0,db2,1,0.1,128,100,4,"(32, 32)",125.30638598512186
0,db2,1,0.1,128,100,6,"(32, 32)",129.01883073621383
0,db2,1,0.1,128,100,8,"(32, 32)",130.635590922465
0,db2,1,0.1,128,200,2,"(32, 32)",110.62465330597598
0,db2,1,0.1,128,200,4,"(32, 32)",125.49330530130106
0,db2,1,0.1,128,200,6,"(32, 32)",128.87645710991822
