rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",94.33138112945127
0,db2,1,0.01,224,"(32, 32)",84.42634026500255
0,db2,1,0.01,320,"(32, 32)",76.54038725731824
0,db2,1,0.01,416,"(32, 32)",69.52681804805223
0,db2,1,0.01,512,"(32, 32)",62.312954088888574
0,db2,1,0.1,128,"(32, 32)",94.64254527531571
0,db2,1,0.1,224,"(32, 32)",84.05641961212143
0,db2,1,0.1,320,"(32, 32)",75.80484858282188
0,db2,1,0.1,416,"(32, 32)",66.91409696187269
0,db2,1,0.1,512,"(32, 32)",56.59103513427157
0,db2,1,1.0,128,"(32, 32)",103.69909910290754
0,db2,1,1.0,224,"(32, 32)",96.31523048248542
0,db2,1,1.0,320,"(32, 32)",89.06379492102761
0,db2,1,1.0,416,"(32, 32)",81.07317706095725
0,db2,1,1.0,512,"(32, 32)",70.0668402764335
0,db2,1,10.0,128,"(32, 32)",107.02893537928354
0,db2,1,10.0,224,"(32, 32)",99.4014562550028
0,db2,1,10.0,320,"(32, 32)",92.10181931429041
0,db2,1,10.0,416,"(32, 32)",84.30582618174165
0,db2,1,10.0,512,"(32, 32)",73.87957264130667
0,db2,2,0.01,128,"(32, 32)",71.46949864417824
0,db2,2,0.01,224,"(32, 32)",58.353015394837705
0,db2,2,0.01,320,"(32, 32)",49.35032724969612
0,db2,2,0.01,416,"(32, 32)",41.97587296632913
0,db2,2,0.01,512,"(32, 32)",35.1718734815776
0,db2,2,0.1,128,"(32, 32)",70.43548692129967
0,db2,2,0.1,224,"(32, 32)",53.61885544223736
0,db2,2,0.1,320,"(32, 32)",39.537848145854355
0,db2,2,0.1,416,"(32, 32)",27.567938996750637
0,db2,2,0.1,512,"(32, 32)",18.508986378289574
0,db2,2,1.0,128,"(32, 32)",91.6332746571001
0,db2,2,1.0,224,"(32, 32)",73.47254983996794
0,db2,2,1.0,320,"(32, 32)",41.51564714447683
0,db2,2,1.0,416,"(32, 32)",24.20636402027432
0,db2,2,1.0,512,"(32, 32)",17.661825572404705
0,db2,2,10.0,128,"(32, 32)",98.93317267472554
