rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",100.38853357652467
0,db2,1,0.01,224,"(32, 32)",86.55985588139296
0,db2,1,0.01,320,"(32, 32)",75.21860153253323
0,db2,1,0.01,416,"(32, 32)",65.8019547667784
0,db2,1,0.01,512,"(32, 32)",58.51369912577806
0,db2,1,0.1,128,"(32, 32)",91.43741053318071
0,db2,1,0.1,224,"(32, 32)",79.36578517500669
0,db2,1,0.1,320,"(32, 32)",70.74607423060992
0,db2,1,0.1,416,"(32, 32)",63.60067691802622
0,db2,1,0.1,512,"(32, 32)",57.39275937949939
0,db2,1,1.0,128,"(32, 32)",102.46844272038118
0,db2,1,1.0,224,"(32, 32)",93.4349286698413
0,db2,1,1.0,320,"(32, 32)",85.60432311398311
0,db2,1,1.0,416,"(32, 32)",78.53407957092726
0,db2,1,1.0,512,"(32, 32)",71.45366754749226
0,db2,1,10.0,128,"(32, 32)",104.41502146681894
0,db2,1,10.0,224,"(32, 32)",95.52763284480766
0,db2,1,10.0,320,"(32, 32)",88.18396445364358
0,db2,1,10.0,416,"(32, 32)",81.11595202099109
0,db2,1,10.0,512,"(32, 32)",74.27917046177714
0,db2,2,0.01,128,"(32, 32)",67.5495363232266
0,db2,2,0.01,224,"(32, 32)",49.758363758734404
0,db2,2,0.01,320,"(32, 32)",40.21857903480502
0,db2,2,0.01,416,"(32, 32)",34.443090023223824
0,db2,2,0.01,512,"(32, 32)",30.185985392924408
0,db2,2,0.1,128,"(32, 32)",61.31731953475101
0,db2,2,0.1,224,"(32, 32)",46.97722309205726
0,db2,2,0.1,320,"(32, 32)",37.24003677767895
0,db2,2,0.1,416,"(32, 32)",30.642236335555584
0,db2,2,0.1,512,"(32, 32)",25.695620773011115
0,db2,2,1.0,128,"(32, 32)",89.2225309569561
0,db2,2,1.0,224,"(32, 32)",69.6735084617681
0,db2,2,1.0,320,"(32, 32)",51.90225180443143
0,db2,2,1.0,416,"(32, 32)",40.456859217358364
0,db2,2,1.0,512,"(32, 32)",32.59437684784922
0,db2,2,10.0,128,"(32, 32)",97.72781573025782
0,db2,2,10.0,224,"(32, 32)",76.97194289269163
0,db2,2,10.0,320,"(32, 32)",57.0263547034862
0,db2,2,10.0,416,"(32, 32)",42.771637554879476
0,db2,2,10.0,512,"(32, 32)",34.06890388976076
0,db2,3,0.01,128,"(32, 32)",36.93570778463575
0,db2,3,0.01,224,"(32, 32)",29.052400011206178
0,db2,3,0.01,320,"(32, 32)",24.840792651467922
0,db2,3,0.01,416,"(32, 32)",22.410565204157066
0,db2,3,0.01,512,"(32, 32)",20.235778524260198
0,db2,3,0.1,128,"(32, 32)",34.46260437947856
0,db2,3,0.1,224,"(32, 32)",25.83307225085171
0,db2,3,0.1,320,"(32, 32)",21.289246254224174
0,db2,3,0.1,416,"(32, 32)",18.96530718409048
0,db2,3,0.1,512,"(32, 32)",16.981445733698383
0,db2,3,1.0,128,"(32, 32)",62.04009888228524
0,db2,3,1.0,224,"(32, 32)",42.94433717000069
0,db2,3,1.0,320,"(32, 32)",31.587624338054002
0,db2,3,1.0,416,"(32, 32)",25.63111581160295
0,db2,3,1.0,512,"(32, 32)",21.650394853687004
0,db2,3,10.0,128,"(32, 32)",74.00947015323972
0,db2,3,10.0,224,"(32, 32)",47.63257328403213
0,db2,3,10.0,320,"(32, 32)",34.20341007119096
0,db2,3,10.0,416,"(32, 32)",27.48981287143554
0,db2,3,10.0,512,"(32, 32)",22.70647315942843
1,db2,1,0.01,128,"(32, 32)",100.53478510092567
1,db2,1,0.01,224,"(32, 32)",86.77849352768419
1,db2,1,0.01,320,"(32, 32)",75.48559427826267
1,db2,1,0.01,416,"(32, 32)",65.59314351303519
1,db2,1,0.01,512,"(32, 32)",58.076436615284855
1,db2,1,0.1,128,"(32, 32)",91.406668168114
1,db2,1,0.1,224,"(32, 32)",79.51927294527329
1,db2,1,0.1,320,"(32, 32)",70.70794757055174
1,db2,1,0.1,416,"(32, 32)",63.56813751996804
1,db2,1,0.1,512,"(32, 32)",57.07353449714095
1,db2,1,1.0,128,"(32, 32)",102.51745836397419
1,db2,1,1.0,224,"(32, 32)",93.73941940619406
1,db2,1,1.0,320,"(32, 32)",86.02231805107823
1,db2,1,1.0,416,"(32, 32)",78.38847919011295
1,db2,1,1.0,512,"(32, 32)",71.59492489713647
1,db2,1,10.0,128,"(32, 32)",104.38316766452773
1,db2,1,10.0,224,"(32, 32)",95.52654899932638
1,db2,1,10.0,320,"(32, 32)",88.00925217021114
