rep,dwt_type,lv,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,db2,1,0.01,128,50,2,"(32, 32)",124.99498430488879
0,db2,1,0.01,128,50,4,"(32, 32)",133.20212621051493
0,db2,1,0.01,128,50,6,"(32, 32)",134.20031581847186
0,db2,1,0.01,128,50,8,"(32, 32)",134.36045929060555
0,db2,1,0.01,128,100,2,"(32, 32)",124.80650876813233
0,db2,1,0.01,128,100,4,"(32, 32)",133.02997741735732
0,db2,1,0.01,128,100,6,"(32, 32)",134.2502961963533
0,db2,1,0.01,128,100,8,"(32, 32)",134.42098110123018
0,db2,1,0.01,128,200,2,"(32, 32)",124.94178687522627
0,db2,1,0.01,128,200,4,"(32, 32)",133.13289141122377
0,db2,1,0.01,128,200,6,"(32, 32)",134.114670738809
0,db2,1,0.01,128,200,8,"(32, 32)",134.4273899024129
0,db2,1,0.01,224,50,2,"(32, 32)",126.08189576500374
0,db2,1,0.01,224,50,4,"(32, 32)",132.98559558278228
0,db2,1,0.01,224,50,6,"(32, 32)",133.70414040373728
0,db2,1,0.01,224,50,8,"(32, 32)",134.1414059775651
0,db2,1,0.01,224,100,2,"(32, 32)",126.19246559141237
0,db2,1,0.01,224,100,4,"(32, 32)",133.04019019580673
0,db2,1,0.01,224,100,6,"(32, 32)",133.83567437626
0,db2,1,0.01,224,100,8,"(32, 32)",134.04265940287414
0,db2,1,0.01,224,200,2,"(32, 32)",126.16447150178108
0,db2,1,0.01,224,200,4,"(32, 32)",132.87489648996163
0,db2,1,0.01,224,200,6,"(32, 32)",133.67631975517338
0,db2,1,0.01,224,200,8,"(32, 32)",134.07650764751483
0,db2,1,0.01,320,50,2,"(32, 32)",125.28699796702219
0,db2,1,0.01,320,50,4,"(32, 32)",131.90544821164067
0,db2,1,0.01,320,50,6,"(32, 32)",132.9280645396398
0,db2,1,0.01,320,50,8,"(32, 32)",133.16582650280458
0,db2,1,0.01,320,100,2,"(32, 32)",125.51734887991591
0,db2,1,0.01,320,100,4,"(32, 32)",131.85110197796587
0,db2,1,0.01,320,100,6,"(32, 32)",132.78677722239004
0,db2,1,0.01,320,100,8,"(32, 32)",133.39041800794016
0,db2,1,0.01,320,200,2,"(32, 32)",125.3086908308506
0,db2,1,0.01,320,200,4,"(32, 32)",131.81758749609634
0,db2,1,0.01,320,200,6,"(32, 32)",132.92472409945603
0,db2,1,0.01,320,200,8,"(32, 32)",133.38118115360726
0,db2,1,0.01,416,50,2,"(32, 32)",123.51980308497254
0,db2,1,0.01,416,50,4,"(32, 32)",129.95704366654147
0,db2,1,0.01,416,50,6,"(32, 32)",131.1575985835313
0,db2,1,0.01,416,50,8,"(32, 32)",131.98062610055143
0,db2,1,0.01,416,100,2,"(32, 32)",123.65314842809471
0,db2,1,0.01,416,100,4,"(32, 32)",129.82004050264032
0,db2,1,0.01,416,100,6,"(32, 32)",131.29031289210891
0,db2,1,0.01,416,100,8,"(32, 32)",131.78291812932795
0,db2,1,0.01,416,200,2,"(32, 32)",123.64755689688577
