rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",104.36857139297537
0,db2,1,0.01,224,"(32, 32)",93.61309596170115
0,db2,1,0.01,320,"(32, 32)",84.94197323369346
0,db2,1,0.01,416,"(32, 32)",77.4813176679058
0,db2,1,0.01,512,"(32, 32)",69.6779786315358
0,db2,1,0.1,128,"(32, 32)",105.48394255449888
0,db2,1,0.1,224,"(32, 32)",93.84699275422325
0,db2,1,0.1,320,"(32, 32)",84.65855089724104
0,db2,1,0.1,416,"(32, 32)",74.77554515051945
0,db2,1,0.1,512,"(32, 32)",63.66027660490747
0,db2,1,1.0,128,"(32, 32)",116.19752934401436
0,db2,1,1.0,224,"(32, 32)",108.07472905538226
0,db2,1,1.0,320,"(32, 32)",100.00473329786105
0,db2,1,1.0,416,"(32, 32)",90.94810278257461
0,db2,1,1.0,512,"(32, 32)",78.9443483742077
0,db2,1,10.0,128,"(32, 32)",120.2295181850084
0,db2,1,10.0,224,"(32, 32)",111.96765587602442
0,db2,1,10.0,320,"(32, 32)",103.81505936620417
0,db2,1,10.0,416,"(32, 32)",95.63131862533457
0,db2,1,10.0,512,"(32, 32)",83.9292577814022
0,db2,2,0.01,128,"(32, 32)",78.3062146367223
0,db2,2,0.01,224,"(32, 32)",64.65004606429699
0,db2,2,0.01,320,"(32, 32)",54.581763084286315
0,db2,2,0.01,416,"(32, 32)",46.12405427619666
0,db2,2,0.01,512,"(32, 32)",38.95461312277305
0,db2,2,0.1,128,"(32, 32)",77.42002478119974
0,db2,2,0.1,224,"(32, 32)",59.214519645548314
0,db2,2,0.1,320,"(32, 32)",42.71086220798307
0,db2,2,0.1,416,"(32, 32)",26.398373917872526
0,db2,2,0.1,512,"(32, 32)",15.776801541770999
0,db2,2,1.0,128,"(32, 32)",102.69570628163615
0,db2,2,1.0,224,"(32, 32)",80.74989384977846
0,db2,2,1.0,320,"(32, 32)",41.86605511682372
0,db2,2,1.0,416,"(32, 32)",18.79538087305192
0,db2,2,1.0,512,"(32, 32)",12.486187589640068
0,db2,2,10.0,128,"(32, 32)",111.7726805028
0,db2,2,10.0,224,"(32, 32)",90.94249484577831
0,db2,2,10.0,320,"(32, 32)",44.88936748396386
0,db2,2,10.0,416,"(32, 32)",19.878909704140984
0,db2,2,10.0,512,"(32, 32)",14.640565593195909
0,db2,3,0.01,128,"(32, 32)",43.793656023005525
0,db2,3,0.01,224,"(32, 32)",32.800873184211554
0,db2,3,0.01,320,"(32, 32)",26.9473852442623
0,db2,3,0.01,416,"(32, 32)",22.079757468094016
0,db2,3,0.01,512,"(32, 32)",18.339344021912364
