rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",108.93866353116687
0,db2,1,0.01,224,"(32, 32)",95.02501834908348
0,db2,1,0.01,320,"(32, 32)",82.45104464302335
0,db2,1,0.01,416,"(32, 32)",72.24438903562925
0,db2,1,0.01,512,"(32, 32)",64.12356393258266
0,db2,1,0.1,128,"(32, 32)",102.30230287363179
0,db2,1,0.1,224,"(32, 32)",88.1472915267935
0,db2,1,0.1,320,"(32, 32)",78.60142957052236
0,db2,1,0.1,416,"(32, 32)",69.99940384202229
0,db2,1,0.1,512,"(32, 32)",62.6305143627745
0,db2,1,1.0,128,"(32, 32)",115.31779690287071
0,db2,1,1.0,224,"(32, 32)",105.12401125847752
0,db2,1,1.0,320,"(32, 32)",96.41345391708526
0,db2,1,1.0,416,"(32, 32)",88.00005286388543
0,db2,1,1.0,512,"(32, 32)",79.7176217388492
0,db2,1,10.0,128,"(32, 32)",117.75726195536774
0,db2,1,10.0,224,"(32, 32)",107.80855203227797
0,db2,1,10.0,320,"(32, 32)",99.05455871905818
0,db2,1,10.0,416,"(32, 32)",91.07449827304708
0,db2,1,10.0,512,"(32, 32)",83.07950474811399
0,db2,2,0.01,128,"(32, 32)",72.62570899183967
0,db2,2,0.01,224,"(32, 32)",52.9361848453882
0,db2,2,0.01,320,"(32, 32)",42.34866144616307
0,db2,2,0.01,416,"(32, 32)",36.25242501401765
0,db2,2,0.01,512,"(32, 32)",31.646817488159947
0,db2,2,0.1,128,"(32, 32)",67.52814089190443
0,db2,2,0.1,224,"(32, 32)",49.54566644682124
0,db2,2,0.1,320,"(32, 32)",38.60834828165216
0,db2,2,0.1,416,"(32, 32)",30.70993371845174
0,db2,2,0.1,512,"(32, 32)",25.012270014447605
0,db2,2,1.0,128,"(32, 32)",99.2541727106527
0,db2,2,1.0,224,"(32, 32)",76.05605946514693
0,db2,2,1.0,320,"(32, 32)",55.2330289986943
0,db2,2,1.0,416,"(32, 32)",41.3309366290172
0,db2,2,1.0,512,"(32, 32)",32.58098694010749
0,db2,2,10.0,128,"(32, 32)",109.7669341246166
0,db2,2,10.0,224,"(32, 32)",84.84993437819003
0,db2,2,10.0,320,"(32, 32)",61.48001170786819
0,db2,2,10.0,416,"(32, 32)",44.37075660725919
0,db2,2,10.0,512,"(32, 32)",33.72547326572409
0,db2,3,0.01,128,"(32, 32)",37.478753746914734
0,db2,3,0.01,224,"(32, 32)",27.60330895200968
0,db2,3,0.01,320,"(32, 32)",23.740931656897967
0,db2,3,0.01,416,"(32, 32)",20.882216982015688
0,db2,3,0.01,512,"(32, 32)",18.974298963299848
0,db2,3,0.1,128,"(32, 32)",34.151693502634686
0,db2,3,0.1,224,"(32, 32)",24.57674563660587
0,db2,3,0.1,320,"(32, 32)",19.864591164096463
0,db2,3,0.1,416,"(32, 32)",16.80426175240117
0,db2,3,0.1,512,"(32, 32)",14.611616874486122
0,db2,3,1.0,128,"(32, 32)",66.76433877846492
0,db2,3,1.0,224,"(32, 32)",44.10242422797667
0,db2,3,1.0,320,"(32, 32)",31.388711797914223
0,db2,3,1.0,416,"(32, 32)",24.707462323314545
0,db2,3,1.0,512,"(32, 32)",19.565055119675424
0,db2,3,10.0,128,"(32, 32)",80.22550019952
0,db2,3,10.0,224,"(32, 32)",50.93775608489836
0,db2,3,10.0,320,"(32, 32)",34.71062906709059
0,db2,3,10.0,416,"(32, 32)",26.502097712568034
0,db2,3,10.0,512,"(32, 32)",20.840091870447722
1,db2,1,0.01,128,"(32, 32)",109.11137684385939
1,db2,1,0.01,224,"(32, 32)",94.84216645127003
1,db2,1,0.01,320,"(32, 32)",82.30449767957613
1,db2,1,0.01,416,"(32, 32)",72.2348954670693
1,db2,1,0.01,512,"(32, 32)",64.02781278545372
1,db2,1,0.1,128,"(32, 32)",102.19709296972395
1,db2,1,0.1,224,"(32, 32)",88.39575335801464
1,db2,1,0.1,320,"(32, 32)",78.56256528379753
1,db2,1,0.1,416,"(32, 32)",70.05856118883409
1,db2,1,0.1,512,"(32, 32)",62.82079154938366
1,db2,1,1.0,128,"(32, 32)",115.3316567157604
1,db2,1,1.0,224,"(32, 32)",105.31333487431614
1,db2,1,1.0,320,"(32, 32)",96.3313454837582
1,db2,1,1.0,416,"(32, 32)",87.93848857310417
1,db2,1,1.0,512,"(32, 32)",79.62338827708776
1,db2,1,10.0,128,"(32, 32)",117.7417410122643
1,db2,1,10.0,224,"(32, 32)",107.93282471887055
1,db2,1,10.0,320,"(32, 32)",99.28024059979643
1,db2,1,10.0,416,"(32, 32)",91.18888727378707
1,db2,1,10.0,512,"(32, 32)",83.13660926920973
1,db2,2,0.01,128,"(32, 32)",72.6140743054089
1,db2,2,0.01,224,"(32, 32)",52.90213921445499
1,db2,2,0.01,320,"(32, 32)",42.62723023070011
1,db2,2,0.01,416,"(32, 32)",36.0357115366261
1,db2,2,0.01,512,"(32, 32)",31.299411680402343
1,db2,2,0.1,128,"(32, 32)",66.47297363062013
1,db2,2,0.1,224,"(32, 32)",49.439610490468255
1,db2,2,0.1,320,"(32, 32)",38.74797397362276
1,db2,2,0.1,416,"(32, 32)",30.586578682016587
1,db2,2,0.1,512,"(32, 32)",24.84434353101447
1,db2,2,1.0,128,"(32, 32)",99.54625795957818
1,db2,2,1.0,224,"(32, 32)",76.37153360395175
1,db2,2,1.0,320,"(32, 32)",55.7120743805237
1,db2,2,1.0,416,"(32, 32)",41.00679666892886
1,db2,2,1.0,512,"(32, 32)",33.029702373183504
1,db2,2,10.0,128,"(32, 32)",109.68239967247524
1,db2,2,10.0,224,"(32, 32)",85.54927668575041
1,db2,2,10.0,320,"(32, 32)",60.99874610862875
1,db2,2,10.0,416,"(32, 32)",44.142272378343606
1,db2,2,10.0,512,"(32, 32)",33.99728304161122
1,db2,3,0.01,128,"(32, 32)",37.064335589441875
1,db2,3,0.01,224,"(32, 32)",27.655575777445517
1,db2,3,0.01,320,"(32, 32)",23.880245251698106
1,db2,3,0.01,416,"(32, 32)",20.77613361446996
1,db2,3,0.01,512,"(32, 32)",18.903555080561908
1,db2,3,0.1,128,"(32, 32)",34.43838416762826
