rep,dwt_type,lv,alp,num_cell,cell_size,sparse_freq,filter_dim,error
0,db2,1,0.01,128,50,2,"(32, 32)",232.4064347960289
0,db2,1,0.01,128,50,4,"(32, 32)",245.48424692364864
0,db2,1,0.01,128,50,6,"(32, 32)",247.07974850743545
0,db2,1,0.01,128,50,8,"(32, 32)",247.5622253724626
0,db2,1,0.01,128,100,2,"(32, 32)",232.50722888660385
0,db2,1,0.01,128,100,4,"(32, 32)",245.5141013809557
0,db2,1,0.01,128,100,6,"(32, 32)",247.20167866201697
0,db2,1,0.01,128,100,8,"(32, 32)",247.7683782680142
0,db2,1,0.01,128,200,2,"(32, 32)",232.32219078330158
0,db2,1,0.01,128,200,4,"(32, 32)",245.43671707949338
0,db2,1,0.01,128,200,6,"(32, 32)",247.11719946351553
0,db2,1,0.01,128,200,8,"(32, 32)",247.3209552066674
0,db2,1,0.01,224,50,2,"(32, 32)",233.86324686502778
0,db2,1,0.01,224,50,4,"(32, 32)",245.39502912988127
0,db2,1,0.01,224,50,6,"(32, 32)",246.77443122693882
0,db2,1,0.01,224,50,8,"(32, 32)",247.42739588531546
0,db2,1,0.01,224,100,2,"(32, 32)",233.52357791900113
0,db2,1,0.01,224,100,4,"(32, 32)",245.3474328310436
0,db2,1,0.01,224,100,6,"(32, 32)",246.84646164133568
0,db2,1,0.01,224,100,8,"(32, 32)",247.12349248570052
0,db2,1,0.01,224,200,2,"(32, 32)",233.9462908704131
0,db2,1,0.01,224,200,4,"(32, 32)",245.2958172027487
0,db2,1,0.01,224,200,6,"(32, 32)",246.88756701968887
0,db2,1,0.01,224,200,8,"(32, 32)",247.1834315142401
0,db2,1,0.01,320,50,2,"(32, 32)",232.6984379544225
0,db2,1,0.01,320,50,4,"(32, 32)",244.11118013063333
0,db2,1,0.01,320,50,6,"(32, 32)",245.53233022744718
0,db2,1,0.01,320,50,8,"(32, 32)",246.26608511193962
0,db2,1,0.01,320,100,2,"(32, 32)",232.60362768616153
0,db2,1,0.01,320,100,4,"(32, 32)",243.85086081663604
0,db2,1,0.01,320,100,6,"(32, 32)",245.52880565295183
0,db2,1,0.01,320,100,8,"(32, 32)",246.18280479600475
0,db2,1,0.01,320,200,2,"(32, 32)",232.5411053652865
0,db2,1,0.01,320,200,4,"(32, 32)",243.86004766460795
0,db2,1,0.01,320,200,6,"(32, 32)",245.47384830573372
0,db2,1,0.01,320,200,8,"(32, 32)",246.19955980368462
0,db2,1,0.01,416,50,2,"(32, 32)",230.08573918487696
0,db2,1,0.01,416,50,4,"(32, 32)",241.236582376
0,db2,1,0.01,416,50,6,"(32, 32)",243.1910524679892
