rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",214.3697704689394
0,db2,1,0.01,224,"(32, 32)",190.36585599864392
0,db2,1,0.01,320,"(32, 32)",171.3877158980964
0,db2,1,0.01,416,"(32, 32)",156.59440207968902
0,db2,1,0.01,512,"(32, 32)",141.44767324799992
0,db2,1,0.1,128,"(32, 32)",217.38081824142796
0,db2,1,0.1,224,"(32, 32)",192.37737951362433
0,db2,1,0.1,320,"(32, 32)",172.85586853525933
0,db2,1,0.1,416,"(32, 32)",153.25354175302107
0,db2,1,0.1,512,"(32, 32)",130.8026952372517
0,db2,1,1.0,128,"(32, 32)",240.87777002045428
0,db2,1,1.0,224,"(32, 32)",223.406949235209
0,db2,1,1.0,320,"(32, 32)",206.90900639972463
0,db2,1,1.0,416,"(32, 32)",188.650078857551
0,db2,1,1.0,512,"(32, 32)",162.36411880319355
0,db2,1,10.0,128,"(32, 32)",251.1176840370158
0,db2,1,10.0,224,"(32, 32)",233.01090931218218
0,db2,1,10.0,320,"(32, 32)",216.38345945361897
0,db2,1,10.0,416,"(32, 32)",199.42145873817398
0,db2,1,10.0,512,"(32, 32)",175.24107110626755
0,db2,2,0.01,128,"(32, 32)",157.65827854390176
0,db2,2,0.01,224,"(32, 32)",128.52202013794894
0,db2,2,0.01,320,"(32, 32)",109.01060836685221
0,db2,2,0.01,416,"(32, 32)",94.10359653730617
0,db2,2,0.01,512,"(32, 32)",78.47107909713738
0,db2,2,0.1,128,"(32, 32)",158.0424867677954
0,db2,2,0.1,224,"(32, 32)",120.00846066848388
0,db2,2,0.1,320,"(32, 32)",87.76632660267347
0,db2,2,0.1,416,"(32, 32)",56.149858674629876
0,db2,2,0.1,512,"(32, 32)",32.32809030817677
0,db2,2,1.0,128,"(32, 32)",211.23066410755817
0,db2,2,1.0,224,"(32, 32)",163.18602957441087
0,db2,2,1.0,320,"(32, 32)",78.82658953650439
0,db2,2,1.0,416,"(32, 32)",28.171453404035653
0,db2,2,1.0,512,"(32, 32)",17.097650783747984
0,db2,2,10.0,128,"(32, 32)",233.41218250256946
0,db2,2,10.0,224,"(32, 32)",192.67254425222154
0,db2,2,10.0,320,"(32, 32)",83.36104088274357
0,db2,2,10.0,416,"(32, 32)",31.381900712381608
0,db2,2,10.0,512,"(32, 32)",21.988930865254087
0,db2,3,0.01,128,"(32, 32)",84.97451954565781
0,db2,3,0.01,224,"(32, 32)",62.93798794599867
