rep,dwt_type,lv,alp,num_cell,filter_dim,error
0,db2,1,0.01,128,"(32, 32)",218.45427325769373
0,db2,1,0.01,224,"(32, 32)",188.89604803891922
0,db2,1,0.01,320,"(32, 32)",164.98569725930906
0,db2,1,0.01,416,"(32, 32)",145.8107601344842
0,db2,1,0.01,512,"(32, 32)",129.0013325348865
0,db2,1,0.1,128,"(32, 32)",211.62456155946742
0,db2,1,0.1,224,"(32, 32)",181.98719785539328
0,db2,1,0.1,320,"(32, 32)",161.6454178731484
0,db2,1,0.1,416,"(32, 32)",143.1857444492386
0,db2,1,0.1,512,"(32, 32)",128.00949255196133
0,db2,1,1.0,128,"(32, 32)",239.6227307916134
0,db2,1,1.0,224,"(32, 32)",219.2723820657168
0,db2,1,1.0,320,"(32, 32)",200.39948218806023
0,db2,1,1.0,416,"(32, 32)",182.65220388298903
0,db2,1,1.0,512,"(32, 32)",164.7210783630133
0,db2,1,10.0,128,"(32, 32)",247.8342747476942
0,db2,1,10.0,224,"(32, 32)",225.97960709244379
0,db2,1,10.0,320,"(32, 32)",207.91281187756198
0,db2,1,10.0,416,"(32, 32)",190.5444356701981
0,db2,1,10.0,512,"(32, 32)",173.73774221529519
0,db2,2,0.01,128,"(32, 32)",145.0888924378148
0,db2,2,0.01,224,"(32, 32)",105.71583358706633
0,db2,2,0.01,320,"(32, 32)",84.26595567340928
0,db2,2,0.01,416,"(32, 32)",71.81841156135923
0,db2,2,0.01,512,"(32, 32)",64.04597416300291
0,db2,2,0.1,128,"(32, 32)",135.76346278304507
0,db2,2,0.1,224,"(32, 32)",99.16019727831163
0,db2,2,0.1,320,"(32, 32)",75.21143194210235
0,db2,2,0.1,416,"(32, 32)",59.57423610285548
0,db2,2,0.1,512,"(32, 32)",47.6312431588723
0,db2,2,1.0,128,"(32, 32)",202.3085891774602
0,db2,2,1.0,224,"(32, 32)",153.7650299417374
0,db2,2,1.0,320,"(32, 32)",111.07111393503283
0,db2,2,1.0,416,"(32, 32)",79.33450865743113
0,db2,2,1.0,512,"(32, 32)",61.93749254767472
0,db2,2,10.0,128,"(32, 32)",229.6974936375537
0,db2,2,10.0,224,"(32, 32)",176.92152386018776
0,db2,2,10.0,320,"(32, 32)",124.18778129280844
0,db2,2,10.0,416,"(32, 32)",88.12208941908496
0,db2,2,10.0,512,"(32, 32)",65.92677094008863
0,db2,3,0.01,128,"(32, 32)",70.61063966844662
0,db2,3,0.01,224,"(32, 32)",50.84760651033232
0,db2,3,0.01,320,"(32, 32)",42.976961129508055
0,db2,3,0.01,416,"(32, 32)",38.364744276002114
0,db2,3,0.01,512,"(32, 32)",34.766452270266136
0,db2,3,0.1,128,"(32, 32)",65.11861744244857
0,db2,3,0.1,224,"(32, 32)",44.523423577256445
0,db2,3,0.1,320,"(32, 32)",33.81872354653402
0,db2,3,0.1,416,"(32, 32)",28.29591978873763
0,db2,3,0.1,512,"(32, 32)",23.796461335943146
0,db2,3,1.0,128,"(32, 32)",130.94115862048122
